site,genotype,lon,lat,ann.mean.tmp,mean.diurn.rng,isotherm,tmp.seas,max.tmp.wrm.m,min.tmp.cld.m,tmp.ann.rng,mean.tmp.wet.q,mean.tmp.dry.q,mean.tmp.wrm.q,mean.tmp.cld.q,ann.prc,prc.wet.m,prc.dry.m,prc.seas,prc.wet.q,prc.dry.q,prc.wrm.q,prc.cld.q
AAFC04,1,-120.65,50.08,5.449999809265137,10.300000190734863,0.3030303120613098,759.5999755859375,24.149999618530273,-9.949999809265137,34.099998474121094,-3.3499999046325684,0.75,15.25,-3.950000047683716,339,40.900001525878906,16.799999237060547,27.299999237060547,105.80000305175781,58.599998474121094,91.5999984741211,92.69999694824219
AAFC05,2,-120.45,50.09,5.349999904632568,10.300000190734863,0.30334314703941345,760.29998779296875,23.950000762939453,-9.949999809265137,33.900001525878906,12.850000381469727,0.550000011920929,15.25,-4.050000190734863,375.3999938964844,50.900001525878906,19.899999618530273,27.799999237060547,125.0999984741211,63.20000076293945,113.69999694824219,93.80000305175781
AAFC06,3,-120.75,50.09,7.949999809265137,10.300000190734863,0.29525861144065857,783.29998779296875,26.850000381469727,-7.949999809265137,34.79999923706055,1.9500000476837158,3.3499999046325684,18.049999237060547,-1.75,303.70001220703125,35.900001525878906,14.899999618530273,27.399999618530273,97.4000015258789,53.5,78.80000305175781,84.5
AAFC07,4,-120.6,49.9,6.150000095367432,10.100000381469727,0.3028942048549652,739.0999755859375,24.549999237060547,-8.850000381469727,33.400001525878906,-2.3499999046325684,15.649999618530273,15.649999618530273,-2.950000047683716,435.5,53.400001525878906,22.299999237060547,29.600000381469727,152.60000610351562,80.5999984741211,102.19999694824219,136.5
AAFC08,5,-120.55,49.57,7.949999809265137,10.199999809265137,0.3153292238712311,699.29998779296875,26.149999618530273,-6.25,32.400001525878906,0.05000000074505806,17.25,17.25,-0.3499999940395355,601,94.0999984741211,30.399999618530273,37,234.3000030517578,97.69999694824219,97.69999694824219,215.89999389648438
AAFC09,6,-119.8,49.62,8.050000190734863,9.300000190734863,0.2825757563114166,781,26.350000381469727,-6.650000095367432,33,-0.75,2.950000047683716,18.350000381469727,-1.4500000476837158,424.20001220703125,50.70000076293945,24.5,23.799999237060547,134.5,84.69999694824219,85.0999984741211,126.5999984741211
AAFC10,7,-120.05,49.71,6.949999809265137,9.800000190734863,0.2954317331314087,747.79998779296875,25.649999618530273,-7.550000190734863,33.20000076293945,-1.5499999523162842,2.1500000953674316,16.75,-1.9500000476837158,476.29998779296875,58.900001525878906,26.100000381469727,25.899999618530273,145.5,86.80000305175781,137.60000610351562,135.89999389648438
Adler05,9,-111.87,40.79,11.050000190734863,11.899999618530273,0.3090277910232544,945.5999755859375,32.54999923706055,-5.849999904632568,38.400001525878906,9.949999809265137,23.149999618530273,23.350000381469727,-0.8500000238418579,571.4000244140625,71.4000015258789,19.399999618530273,31.5,196.60000610351562,81,89.0999984741211,145
Adler09,11,-112.27,43.31,10.550000190734863,12.300000190734863,0.3140373229980469,969.4000244140625,32.75,-6.550000190734863,39.29999923706055,14.850000381469727,22.75,23.049999237060547,-1.850000023841858,323.20001220703125,46.400001525878906,15.600000381469727,30.200000762939453,110.19999694824219,52.20000076293945,62.900001525878906,75.5
Adler13,14,-111.08,41.44,7.349999904632568,12.699999809265137,0.31566914916038513,983.0999755859375,29.75,-10.350000381469727,40.099998474121094,11.25,-4.949999809265137,20.049999237060547,-4.949999809265137,273.70001220703125,36.900001525878906,15.300000190734863,26.899999618530273,92.5999984741211,48.5,69,48.5
Adler14,15,-111.25,41.81,5.650000095367432,11.399999618530273,0.2979600727558136,971,27.149999618530273,-11.25,38.400001525878906,9.149999618530273,18.149999618530273,18.25,-6.349999904632568,445.29998779296875,56.29999923706055,26.100000381469727,20.700000762939453,138.8000030517578,94.4000015258789,95.19999694824219,100.19999694824219
Adler16,16,-110.2,41.78,7.949999809265137,12.699999809265137,0.31122031807899475,990,30.149999618530273,-10.550000190734863,40.70000076293945,12.350000381469727,-4.849999904632568,20.649999618530273,-4.849999904632568,223,32.29999923706055,10,32.5,78.5,34.099998474121094,61.400001525878906,34.099998474121094
Adler17,17,-110.11,41.44,7.449999809265137,13.800000190734863,0.3309352397918701,999.70001220703125,30.049999237060547,-11.649999618530273,41.70000076293945,11.949999809265137,-5.449999809265137,20.25,-5.449999809265137,224.89999389648438,31.399999618530273,10.300000190734863,29,77.0999984741211,37.79999923706055,59.599998474121094,37.79999923706055
Adler18,18,-114.22,40.86,13.050000190734863,12.399999618530273,0.310776948928833,994.9000244140625,34.54999923706055,-5.349999904632568,39.900001525878906,12.25,25.950000762939453,25.950000762939453,0.3499999940395355,175.3000030517578,22.200000762939453,9.899999618530273,24,57.400001525878906,36.70000076293945,36.70000076293945,37.70000076293945
BA,NA,-116.986919,43.286047,11.050000190734863,11.199999809265137,0.2983155846595764,912,32.54999923706055,-5.050000190734863,37.599998474121094,9.850000381469727,22.950000762939453,22.950000762939453,-0.25,366.70001220703125,46.599998474121094,10.600000381469727,40.400001525878906,123.9000015258789,35.599998474121094,35.599998474121094,116.30000305175781
Barnett01,19,-110.74,43.48,5.050000190734863,11.600000381469727,0.33647340536117554,791,24.149999618530273,-10.350000381469727,34.5,-4.050000190734863,15.149999618530273,15.149999618530273,-4.849999904632568,836.20001220703125,100.69999694824219,45.599998474121094,25.700000762939453,274,142.60000610351562,160.60000610351562,248.10000610351562
Baughman2,21,-118.87,43.05,11.149999618530273,11.800000190734863,0.3246096968650818,871.20001220703125,32.25,-4.050000190734863,36.29999923706055,9.550000190734863,22.649999618530273,22.649999618530273,0.550000011920929,281.1000061035156,40.099998474121094,9.100000381469727,39.400001525878906,98.4000015258789,29.399999618530273,29.399999618530273,77.4000015258789
Baughman3,20,-118.96,42.81,10.25,11.899999618530273,0.3226901888847351,881.79998779296875,31.549999237060547,-5.25,36.79999923706055,8.649999618530273,21.950000762939453,21.950000762939453,-0.44999998807907104,352.20001220703125,49.29999923706055,10.600000381469727,40.099998474121094,127.9000015258789,37,37,95.30000305175781
Baughman5,22,-120.08,42.72,9.25,11.800000190734863,0.3248392939567566,865.0999755859375,30.049999237060547,-6.25,36.29999923706055,7.550000190734863,20.75,20.75,-1.149999976158142,319.1000061035156,40.400001525878906,13.899999618530273,31.700000762939453,108.4000015258789,44.29999923706055,44.29999923706055,83.5
Blumenthal01,8,-104.9,41.18,9.149999618530273,12.600000381469727,0.358120858669281,828.5999755859375,29.450000762939453,-5.849999904632568,35.29999923706055,17.649999618530273,-0.949999988079071,20.149999618530273,-0.949999988079071,411.6000061035156,67.5999984741211,8.399999618530273,62.599998474121094,189.3000030517578,30,172.5,30
Blumenthal08,24,-104.56,40.64,11.25,14.5,0.3747841417789459,901.5,32.849998474121094,-5.75,38.599998474121094,20.549999237060547,-0.15000000596046448,22.950000762939453,-0.15000000596046448,367.5,64.9000015258789,7.400000095367432,64.4000015258789,170.8000030517578,23.899999618530273,155.3000030517578,23.899999618530273
Blumenthal10,105,-102.52,40.92,11.850000381469727,13.600000381469727,0.35297927260398865,951.70001220703125,33.54999923706055,-5.050000190734863,38.599998474121094,21.850000381469727,-0.3499999940395355,24.149999618530273,-0.3499999940395355,440.20001220703125,76.9000015258789,8.5,65.9000015258789,207.5,28,199.1999969482422,28
