"site","site_old","year","Treatment","Transect","Distance","Emerged","Reproduced","neighbors","Fecundity","Biomass","fecundityflag","notesFlag","Lat","Lon","annual","unknown","perennial","shrub","Type","plantID","albedo","x","y","genotype","block","plot","note_standard_harvest","note_standard_phen","Transect_Site_Year"
"Boise_High","Boise_High",2022,"control","S",0.2,"N","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,40,0,"Satellite","1",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",0.4,"N","N",0,0,NA,0,NA,43.20847803,-116.9951781,10,0,20,0,"Satellite","2",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",0.6,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,10,0,"Satellite","3",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",0.8,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,32,0,"Satellite","4",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",1,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,0,12,0,"Satellite","5",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",1.2,"N","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,5,60,0,"Satellite","6",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",1.4,"Y","Y",0,7,0.061,0,NA,43.20847803,-116.9951781,0,0,25,0,"Satellite","7",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",1.6,"Y","Y",0,35,0.061,0,NA,43.20847803,-116.9951781,15,0,30,0,"Satellite","8",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",1.8,"Y","Y",0,10,0.012,0,NA,43.20847803,-116.9951781,0,0,50,0,"Satellite","9",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",2,"Y","Y",0,19,0.015,0,NA,43.20847803,-116.9951781,0,0,80,0,"Satellite","10",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",2.2,"Y","Y",2,10,0.01,0,NA,43.20847803,-116.9951781,0,0,20,0,"Satellite","11",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",2.4,"Y","Y",0,54,0.085,0,NA,43.20847803,-116.9951781,0,0,27,0,"Satellite","12",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",2.6,"Y","Y",0,1,0.01,0,NA,43.20847803,-116.9951781,0,0,52,0,"Satellite","13",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",2.8,"Y","Y",2,27,0.057,0,NA,43.20847803,-116.9951781,10,0,20,0,"Satellite","14",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",3,"Y","Y",3,35,0.07,0,NA,43.20847803,-116.9951781,10,0,7,0,"Satellite","15",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",3.2,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,5,60,0,"Satellite","16",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",3.4,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,0,5,90,0,"Satellite","17",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",3.6,"Y","Y",0,57,0.097,0,NA,43.20847803,-116.9951781,5,0,0,0,"Satellite","18",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",3.8,"Y","Y",0,16,0.041,0,NA,43.20847803,-116.9951781,0,0,20,0,"Satellite","19",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",4,"Y","N",0,0,NA,0,"",43.20847803,-116.9951781,0,0,60,0,"Satellite","20",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",4.2,"Y","N",0,0,NA,0,NA,43.20847803,-116.9951781,5,0,10,0,"Satellite","21",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",4.4,"Y","Y",0,20,0.069,0,NA,43.20847803,-116.9951781,15,0,30,0,"Satellite","22",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",4.6,"Y","Y",0,7,0.02,0,NA,43.20847803,-116.9951781,5,0,20,0,"Satellite","23",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",4.8,"N","N",1,0,NA,0,NA,43.20847803,-116.9951781,10,0,20,0,"Satellite","24",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",5,"Y","Y",1,28,0.049,0,NA,43.20847803,-116.9951781,10,0,20,0,"Satellite","25",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",5.2,"Y","Y",0,11,0.024,0,NA,43.20847803,-116.9951781,0,0,15,0,"Satellite","26",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
"Boise_High","Boise_High",2022,"control","S",5.4,"Y","Y",0,4,0.005,0,NA,43.20847803,-116.9951781,0,0,10,0,"Satellite","27",NA,NA,NA,NA,NA,NA,NA,NA,"S - Boise_High - 2022"
