"site_year","Type","total_precip","MAT","seasonality","prcp.Spr","prcp.Sum","prcp.Win","prcp.Fall","tmean.Spr","tmean.Sum","tmean.Win","tmean.Fall","swe_mean.Spr","swe_mean.Sum","swe_mean.Win","swe_mean.Fall","prcp_center30d_mean","tmin_center30d_mean","tmax_center30d_mean","tavg_center30d_mean","tmin_center30d_min","tmax_center30d_max","pH","EC","OMpercent","Protein_g.kg","mean_neighbors"
"BA_black 2022","Common_Garden",436.55,9.57621917808219,144,179.29,8.36,95.2,153.7,10.2636813186813,22.0767222222222,1.25274193548387,5.03203296703297,0,0,10.2890322580645,1.85428571428572,1.39725806451613,-2.56879032258065,8.17540322580645,2.8033064516129,-12.29,19.91,NA,NA,NA,NA,2.93635382955771
"BA_white 2022","Common_Garden",436.55,7.57621917808219,144,179.29,8.36,95.2,153.7,8.26368131868132,20.0767222222222,-0.747258064516129,3.03203296703297,0,0,10.2890322580645,1.85428571428572,1.39725806451613,-4.56879032258065,6.17540322580645,0.8033064516129,-14.29,17.91,NA,NA,NA,NA,1.87706226716338
"CG PASTURE 2022","Satellite",589.24,8.71734246575343,1,133.5,260.84,118.46,76.44,11.5174725274725,20.0119444444444,-1.43489247311828,5.12208791208791,0.0689010989010989,0,3.61129032258065,0.267692307692308,0.858467741935484,-4.24201612903226,9.42387096774194,2.59092741935484,-13.81,25.22,5.89,168.233333333333,3.60666666666667,3.66666666666667,0.00671140939597315
"CG PASTURE 2023","Satellite",1130.76,7.1361095890411,1,517.94,441.1,116.82,54.9,11.2418131868132,18.4805555555556,-2.5860752688172,1.74648351648352,1.23934065934066,0,14.8322580645161,1.52263736263736,1.55193548387097,-1.78862903225806,13.0627419354839,5.6370564516129,-14.85,27,5.89,168.233333333333,3.60666666666667,3.66666666666667,0
"CH_black 2022","Common_Garden",589.24,9.71734246575343,1,133.5,260.84,118.46,76.44,12.5174725274725,21.0119444444444,-0.43489247311828,6.12208791208791,0.0689010989010989,0,3.61129032258065,0.267692307692308,0.873306451612903,-3.7333064516129,9.72056451612903,2.99362903225806,-22.61,23.7,5.89,168.233333333333,3.60666666666667,3.66666666666667,6.3453947368421
"CH_black 2023","Common_Garden",1130.76,8.1361095890411,1,517.94,441.1,116.82,54.9,12.2418131868132,19.4805555555556,-1.5860752688172,2.74648351648352,1.23934065934066,0,14.8322580645161,1.52263736263736,1.44282258064516,-1.51491935483871,13.3529838709677,5.91903225806452,-13.85,28,5.89,168.233333333333,3.60666666666667,3.66666666666667,6.78715980460572
"CH_white 2022","Common_Garden",589.24,7.71734246575343,1,133.5,260.84,118.46,76.44,10.5174725274725,19.0119444444444,-2.43489247311828,4.12208791208791,0.0689010989010989,0,3.61129032258065,0.267692307692308,0.873306451612903,-5.7333064516129,7.72056451612903,0.99362903225806,-24.61,21.7,5.89,168.233333333333,3.60666666666667,3.66666666666667,6.52963362068965
"CH_white 2023","Common_Garden",1130.76,6.1361095890411,1,517.94,441.1,116.82,54.9,10.2418131868132,17.4805555555556,-3.5860752688172,0.74648351648352,1.23934065934066,0,14.8322580645161,1.52263736263736,1.44282258064516,-3.51491935483871,11.3529838709677,3.91903225806452,-15.85,26,5.89,168.233333333333,3.60666666666667,3.66666666666667,7.08115543328748
"CaseAoyamaS1 2022","Satellite",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,0
"CaseAoyamaS1 2023","Satellite",820.94,6.92654794520548,21,205.14,125.04,267.74,223.02,11.4071428571429,18.4283333333333,-2.83467741935484,1.04631868131868,9.12362637362637,0,22.4212903225806,18.9137362637363,0.887983870967742,-3.305,11.673064516129,4.18403225806452,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,2
"CastValley 2021","Satellite",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,3.23026315789474
"EOARC 2022","Satellite",305.64,8.36628767123288,97,125.72,12.98,38.63,128.31,8.7543956043956,20.445,1.19069892473118,3.36549450549451,0.06,0,38.3755913978495,1.62835164835165,1.02661290322581,-4.30516129032258,9.6066129032258,2.65072580645161,-11.58,20.99,7.035,57.3766666666667,3.77666666666667,3.01166666666667,0.452702702702703
"EnsingS1 SuRDC 2022","Satellite",411.2,9.28017808219178,143,124.72,56.06,69.7,160.72,11.9593406593407,20.8791111111111,1.73559139784946,2.83994505494506,0,0,8.59903225806452,4.29626373626374,0.318306451612903,-1.50766129032258,9.25137096774194,3.87185483870968,-9.64,15.52,6.93666666666667,354.566666666667,2.01333333333333,5.06,20.44
"EnsingS2 Summerland-Princeton 2022","Satellite",517.22,7.02173972602739,143,161.71,65.61,89.4,200.5,9.31148351648352,18.7296111111111,-0.0372043010752687,0.366868131868131,0,0,48.5922580645161,7.20923076923077,0.891693548387097,0.994596774193548,13.8481451612903,7.42137096774194,-6.71,27,7.44,81.84,2.49666666666667,5.77,5.43181818181818
"EnsingS4 Lundbom 2022","Satellite",385.1,4.5121506849315,110,105.01,52.48,66.76,160.85,6.82752747252747,16.3296666666667,-1.68532258064516,-3.1571978021978,8.49505494505494,0,73.9478494623656,10.400989010989,0.185322580645161,-5.52951612903226,9.61854838709677,2.04451612903226,-17.06,27.01,6.42666666666667,126.513333333333,7.69,10.1266666666667,2.25925925925926
"FAR NORTH CPER 2022","Satellite",413.22,9.78530136986302,1,151.5,149.18,77.72,34.82,13.220989010989,21.3092777777778,-0.893924731182796,5.86620879120879,0.088901098901099,0,3.20537634408602,0,1.05556451612903,-1.12274193548387,15.3252419354839,7.10125,-14.19,28.13,5.62666666666667,195,2.59,2.94333333333333,0
"FAR NORTH CPER 2023","Satellite",856.019999999999,8.20927397260274,1,429.42,311.98,80.32,34.3,12.8094505494505,19.8367222222222,-1.8010752688172,2.33978021978022,0.393406593406594,0,7.09505376344086,0.594945054945055,0.692983870967742,-2.7366935483871,14.080564516129,5.67193548387097,-14.19,28.13,5.62666666666667,195,2.59,2.94333333333333,0
"FtK_Cottonwood_Coulee 2021","Satellite",441.14,9.00504109589041,1,155.42,155.5,48.62,81.6,14.1835164835165,21.7815,-2.13602150537634,2.57642857142857,0,0,3.22989247311828,1.23527472527473,0.300967741935484,-5.36548387096774,9.00056451612903,1.81754032258064,-18.54,25.35,6.05333333333333,64.28,2.29,3.19,5.27272727272727
"FtK_Cottonwood_Coulee 2022","Satellite",726.32,8.4678904109589,8,384.56,144.32,36.64,160.8,11.7697802197802,22.3762222222222,-2.34725806451613,2.46335164835165,1.40076923076923,0,9.39612903225806,1.12692307692308,0.663306451612903,-3.76693548387097,10.8106451612903,3.52185483870968,-16.38,30.91,6.05333333333333,64.28,2.29,3.19,7.33684210526316
"FtK_Lone_Pine 2021","Satellite",433.82,9.14893150684932,1,149.88,158.12,45.98,79.84,14.3831318681319,21.9717222222222,-2.05252688172043,2.68049450549451,0,0,2.37387096774194,0.732197802197802,0.187258064516129,-5.9266935483871,8.07887096774194,1.07608870967742,-18.52,24.47,5.98666666666667,302.833333333333,3.03333333333333,5.80666666666667,2.06
"FtK_Lone_Pine 2022","Satellite",739.8,8.59560273972603,1,384.3,150.9,36.54,168.06,11.9052747252747,22.4983333333333,-2.21924731182796,2.58851648351648,1.36054945054945,0,9.5931182795699,0.953296703296703,0.485241935483871,-3.945,11.2849193548387,3.66995967741935,-16.74,31.25,5.98666666666667,302.833333333333,3.03333333333333,5.80666666666667,2.578125
"GoeblS1 2024","Satellite",462.560001848936,11.288506857016,176,133.980001568794,86.2900007665157,173.009999513626,69.28,15.0547252703601,21.838555627399,2.06080641658236,6.51868131868132,0,0,1.50881722224656,0.251758241758242,1.8858064516129,-4.79177419354839,10.520564516129,2.86439516129032,-20.53,25.08,7.13333333333333,330.866666666667,3.62333333333333,3.67666666666667,0
"GreenCanyon 2022","Satellite",1618.68,8.65123287671233,1,410.64,350.7,177.36,679.98,11.5607692307692,21.2665,-1.84360215053763,3.99054945054945,0.0252747252747253,0,7.79903225806452,1.32967032967033,1.55532258064516,-1.5958064516129,11.7128225806452,5.05850806451613,-11.81,23.42,8.18333333333333,221.533333333333,3.21333333333333,3.32666666666667,0.798561151079137
"GreenCanyon 2023","Satellite",2162.97,7.32264383561644,1,444.63,391.38,884.4,442.56,12.2444505494506,20.1743888888889,-4.24231182795699,1.50945054945055,16.9498901098901,0,40.9775268817204,4.20318681318681,1.09895161290323,0.575403225806452,14.7540322580645,7.66471774193548,-11.81,27,8.18333333333333,221.533333333333,3.21333333333333,3.32666666666667,0.351724137931034
"HPGRS AGCR 2022","Satellite",543.14,8.84852054794521,1,120.62,262.26,110.88,49.38,11.6889010989011,20.1356111111111,-1.39268817204301,5.31137362637363,0.0253846153846154,0,3.77505376344086,0.0325274725274725,0.438709677419355,-9.42145161290323,3.3433064516129,-3.03907258064516,-27.43,17.76,6.76,347.433333333333,6.44333333333333,4.37333333333333,0
"HPGRS AGCR 2023","Satellite",1031.42,7.2858904109589,1,516.72,358.3,116.78,39.62,11.450989010989,18.6973888888889,-2.45715053763441,1.79186813186813,1.41571428571428,0,16.5374193548387,0.653076923076923,0.860887096774194,-4.19145161290323,9.92112903225807,2.86483870967742,-13.54,25.55,6.76,347.433333333333,6.44333333333333,4.37333333333333,0
"HardwareRanch 2022","Satellite",1017.58,7.52586301369863,1,238.84,189.26,138.36,451.12,10.008021978022,19.6208333333333,-2.45629032258065,3.28318681318681,1.14362637362637,0,29.557311827957,1.8110989010989,2.02758064516129,-4.58048387096774,7.11870967741936,1.26911290322581,-17.52,21.46,7.50333333333333,226.366666666667,7.43666666666667,6.89,0
"HardwareRanch 2023","Satellite",1226.16,6.05501369863014,1,222.04,180.1,508.06,315.96,10.333021978022,18.4502777777778,-4.84193548387097,0.654395604395603,27.4840659340659,0,39.3372043010753,7.25252747252748,1.14056451612903,-0.996854838709678,12.4891129032258,5.74612903225806,-13.4,24.69,7.50333333333333,226.366666666667,7.43666666666667,6.89,0
"MPG_IR 2021","Satellite",840.42,7.60706849315068,11,235.5,115.54,220.96,268.42,11.4931318681319,18.1853333333333,-0.657150537634408,1.70483516483517,0,0,14.9329032258065,3.09846153846154,0.751935483870968,-4.35129032258065,8.26548387096774,1.95709677419355,-16.36,20.28,6.12,225.133333333333,9.86,14.2266666666667,0.520547945205479
"MPG_IR 2022","Satellite",922.28,7.56487671232877,1,305.66,146.96,188.9,280.76,9.34115384615385,19.3013333333333,-0.915591397849463,2.84796703296703,1.61912087912088,0,61.6329032258065,1.20604395604396,0.6725,-4.08677419354839,8.65290322580645,2.28306451612903,-16.36,20.28,6.12,225.133333333333,9.86,14.2266666666667,0.463087248322148
"MPG_SR 2021","Satellite",796.84,7.67360273972603,1,213.52,118.44,212.64,252.24,11.5693956043956,18.2343333333333,-0.621129032258065,1.81016483516483,0,0,13.6181720430108,2.77131868131868,1.15153225806452,-7.25354838709677,2.36870967741935,-2.44241935483871,-25.78,14.53,6.36,182.133333333333,4.41666666666667,6.79666666666667,0.413793103448276
"MPG_SR 2022","Satellite",912.74,7.64167123287671,22,306.28,148.06,177.64,280.76,9.43010989010989,19.3138333333333,-0.816182795698924,2.95307692307692,0.814945054945054,0,57.8072043010753,1.03098901098901,0.762177419354839,-4.86620967741935,7.94604838709677,1.53991935483871,-16.3,20.4,6.36,182.133333333333,4.41666666666667,6.79666666666667,1.20134228187919
"MPG_TH 2021","Satellite",831.44,7.64180821917808,1,233.56,119.04,219.2,259.64,11.5347802197802,18.2113888888889,-0.646129032258065,1.76549450549451,0.00142857142857143,0,15.1216129032258,2.87263736263736,0.812903225806452,-6.12314516129032,6.63677419354839,0.256814516129032,-23.3,20.35,5.93666666666667,97.7966666666667,2.97,5.27666666666667,0.778571428571429
"MPG_TH 2022","Satellite",917.4,7.60693150684931,22,306.76,147.18,178.3,285.16,9.39120879120879,19.3023333333333,-0.860161290322581,2.90895604395604,1.12263736263736,0,59.4674193548387,1.19692307692308,0.738790322580645,-4.3516935483871,8.34161290322581,1.99495967741935,-16.32,20.35,5.93666666666667,97.7966666666667,2.97,5.27666666666667,0.925170068027211
"NEAR 4WAY CPER 2022","Satellite",412.02,9.98753424657535,1,156.52,153.08,74.04,28.38,13.5316483516484,21.5412777777778,-0.791021505376344,6.03208791208791,0,0,3.11612903225806,0,0.789596774193549,-1.61637096774194,15.5008064516129,6.94221774193548,-14.07,28.54,6.25,402,3.39333333333333,3.05333333333333,0
"NEAR 4WAY CPER 2023","Satellite",782.7,8.40821917808219,1,396.4,278.02,76.7,31.58,13.1056593406593,20.0723888888889,-1.67456989247312,2.47917582417582,0.358571428571428,0,6.19967741935484,0.653846153846154,1.55314516129032,0.599112903225806,16.2529838709677,8.42604838709677,-14.07,28.94,6.25,402,3.39333333333333,3.05333333333333,0
"NEAR HQ CPER 2022","Satellite",422.04,9.82420547945206,1,148.88,159.2,76.42,37.54,13.2577472527473,21.3301666666667,-0.853172043010752,5.92318681318681,0.0235164835164835,0,2.73989247311828,0,1.87895161290323,3.59854838709677,18.956935483871,11.2777419354839,-6.43,30.33,5.77666666666667,212.533333333333,3.83666666666667,6.39666666666667,0.0504201680672269
"NEAR HQ CPER 2023","Satellite",852.02,8.25842465753424,1,440.12,299.32,79.64,32.94,12.8525274725275,19.8667222222222,-1.72360215053763,2.385,0.33978021978022,0,5.28430107526882,0.44967032967033,1.71209677419355,1.23782258064516,16.7022580645161,8.97004032258065,-14.23,28.54,5.77666666666667,212.533333333333,3.83666666666667,6.39666666666667,0
"NEAR NUTNET 2022","Satellite",404.58,9.87024657534247,12,151.18,150.84,74.18,28.38,13.3503846153846,21.4063333333333,-0.850430107526882,5.93708791208791,0.0798901098901099,0,2.86215053763441,0,1.67185483870968,1.68120967741936,17.2909677419355,9.48608870967742,-14.14,28.73,5.40666666666667,177.666666666667,2.63,3.69666666666667,0
"NEAR NUTNET 2023","Satellite",817.64,8.29320547945205,1,422.4,288.24,75.92,31.08,12.9347252747253,19.9353888888889,-1.74548387096774,2.39675824175824,0.296263736263737,0,5.66548387096774,0.451428571428571,1.62241935483871,0.81491935483871,16.4078225806452,8.61137096774194,-14.14,28.62,5.40666666666667,177.666666666667,2.63,3.69666666666667,0
"OttS1 2022","Satellite",446.63,9.82054794520548,248,148.71,169.15,16.3,112.47,12.7840659340659,22.9079444444444,-1.23978494623656,5.21686813186813,0,0,21.8427956989247,0.154285714285714,0.576612903225806,-5.25354838709677,8.20677419354839,1.47661290322581,-19.18,22.34,6.37,60.7066666666667,3.61,5.49333333333333,1.77118644067797
"PMR- Brome 2021","Satellite",1035.64,7.99669863013699,1,484.98,121.24,306.84,122.58,11.2132417582418,19.1776666666667,-1.50822580645161,3.43587912087912,14.0375824175824,0,35.9477419354839,4.14956043956044,1.86346774193548,-4.97395161290323,8.55862903225806,1.79233870967742,-20.08,22.04,6.195,288.866666666667,9.30833333333333,15.6333333333333,0.0212765957446809
"PMR- Brome 2022","Satellite",867.56,8.75775342465754,1,276.22,342,200.38,48.96,11.547032967033,19.5465,-1.03731182795699,5.30862637362637,0,0,21.79,0.0757142857142858,2.94959677419355,-0.647983870967742,13.3263709677419,6.3391935483871,-15.27,25.27,6.195,288.866666666667,9.30833333333333,15.6333333333333,0
"PMR- Pine 2021","Satellite",1035.64,7.99669863013699,1,484.98,121.24,306.84,122.58,11.2132417582418,19.1776666666667,-1.50822580645161,3.43587912087912,14.0375824175824,0,35.9477419354839,4.14956043956044,1.86346774193548,-4.97395161290323,8.55862903225806,1.79233870967742,-20.08,22.04,5.68833333333333,235.933333333333,4.42833333333333,12.3566666666667,0.216417910447761
"PMR- Pine 2022","Satellite",867.56,8.75775342465754,1,276.22,342,200.38,48.96,11.547032967033,19.5465,-1.03731182795699,5.30862637362637,0,0,21.79,0.0757142857142858,2.94959677419355,-0.647983870967742,13.3263709677419,6.3391935483871,-15.27,25.27,5.68833333333333,235.933333333333,4.42833333333333,12.3566666666667,0.0381679389312977
"Pearlwise 2024","Satellite",499.619998417199,10.3924657436258,140,102.899999141693,38.2700009346008,239.059998340905,119.39,12.619945100785,21.1767221530279,2.45854837074716,5.60752747252747,0,0,2.77688173981764,4.0167032967033,1.27137096774194,-3.16370967741936,8.88088709677419,2.85858870967742,-13.72,21.89,6.09333333333333,96.0733333333333,3.66333333333333,2.80666666666667,4.71428571428571
"Peavine 2022","Satellite",630.88,10.3699452054795,7,44.8,81.92,19.62,484.54,11.6958241758242,21.0681111111111,3.36102150537634,5.62642857142857,0,0,0.116989247311828,0.491758241758242,0.560725806451612,-4.93475806451613,7.97983870967742,1.52254032258065,-15.9,18.99,6.29333333333333,459.833333333333,4.62666666666667,4.93666666666667,3.78947368421053
"Peavine 2024","Satellite",320.219999670982,9.65124731241612,137,17.9199998378754,10.6599999666214,191.639999866486,100,13.3284066511052,20.426555718316,2.50398938165066,6.17565934065934,0.0692307700167646,0,2.52255319082673,0,0.899435483870968,-2.79685483870968,9.19935483870968,3.20125,-11.5,21.94,6.29333333333333,459.833333333333,4.62666666666667,4.93666666666667,5.17857142857143
"Plymouth 2022","Satellite",580.96,11.6405616438356,11,35.26,26.16,26.2,493.34,13.474010989011,22.1426666666667,4.18908602150538,7.03565934065934,0,0,0.185806451612903,0.506923076923077,1.85516129032258,-3.51346774193548,11.1285483870968,3.80754032258065,-14.16,25.41,5.76,68.6,1.65333333333333,2.65333333333333,4.18918918918919
"Plymouth 2024","Satellite",358.079999732971,10.6074070188666,140,15.8000001907349,22.2799996137619,217.199999928474,102.8,14.6354395610454,21.0737778676881,3.65010637739356,7.01104395604396,0,0,0.392978729085719,0.0145054945054945,1.05588709677419,-5.19895161290323,10.6472580645161,2.72415322580645,-14.16,21.23,5.76,68.6,1.65333333333333,2.65333333333333,3.52222222222222
"RedBluff 2023","Satellite",626.66,6.38260273972602,235,268.82,115.26,119.62,122.96,11.3299450549451,18.0137222222222,-3.23209677419355,-0.242032967032967,2.95681318681319,0,14.1148387096774,19.39,1.79717741935484,-1.41983870967742,12.5889516129032,5.5845564516129,-12.74,26.47,7.65666666666667,191.133333333333,4.29,5.87,5.70731707317073
"SSHQ 2022","Satellite",865.38,6.63157534246575,1,297.99,161.25,28.26,377.88,9.9743956043956,20.3635,-4.87623655913978,1.46846153846154,0.542197802197802,0,20.9861290322581,1.25604395604396,0.331532258064516,-3.9691935483871,9.10145161290323,2.56612903225806,-12.62,21.14,8.16666666666667,164.566666666667,4.00333333333333,3.74333333333333,0.673469387755102
"SSHQ 2023","Satellite",1222.68,5.13135616438356,1,306.15,291.81,302.28,322.44,10.6225274725275,18.3630555555556,-6.63145161290323,-1.42478021978022,10.0562637362637,0,16.848064516129,4.62384615384615,0.376370967741935,0.208306451612903,14.9599193548387,7.58411290322581,-10.94,26.37,8.16666666666667,164.566666666667,4.00333333333333,3.74333333333333,2.03424657534247
"SSHQ 2024","Satellite",319.929999232292,5.6025683044321,154,66.7599997222424,64.2699994444847,96.6500000655651,92.25,11.4737362483373,19.0504999756813,-2.25984207659764,1.94813186813187,0,0,2.80473682102012,0.303076923076923,0.745322580645161,-4.36209677419355,7.8216935483871,1.72979838709677,-15.66,21.14,8.16666666666667,164.566666666667,4.00333333333333,3.74333333333333,6.83941605839416
"SSHigh 2022","Satellite",1269.6,5.81271232876712,1,402.21,236.4,56.04,574.95,8.55571428571428,19.3040555555556,-5.03978494623656,0.817637362637362,14.1243956043956,0,69.6635483870968,2.64,0.57241935483871,-3.7333064516129,8.86612903225807,2.56641129032258,-13.36,18.47,6.57,259.49,5.47666666666667,6.39666666666667,0
"SSHigh 2023","Satellite",1608.21,4.57297260273972,1,345.42,343.26,419.94,499.59,9.64818681318681,17.3055,-6.57177419354839,-1.70516483516483,29.5414285714286,0,34.6715053763441,21.3713186813187,0.57766129032258,0.0428225806451615,13.6443548387097,6.84358870967742,-9.37,24.09,6.57,259.49,5.47666666666667,6.39666666666667,0
"SSHigh 2024","Satellite",535.669998664856,4.91366119891366,130,91.599999666214,97.5100003480912,159.539998650551,187.02,10.1521428530974,18.0438333074252,-2.85863156943729,1.54351648351648,0.244175817940261,0,12.4617894863329,0.987472527472528,0.631854838709677,-2.60338709677419,10.553064516129,3.97483870967742,-13.36,24.09,6.57,259.49,5.47666666666667,6.39666666666667,0
"SS_black 2022","Common_Garden",576.92,7.63157534246575,1,198.66,107.5,18.84,251.92,10.9743956043956,21.3635,-3.87623655913978,2.46846153846154,0.542197802197802,0,20.9861290322581,1.25604395604396,0.339112903225807,-2.84596774193548,10.3387903225806,3.74641129032258,-11.62,22.14,8.07333333333333,217.633333333333,3.96333333333333,3.43333333333333,8.63251287922152
"SS_black 2023","Common_Garden",815.12,6.13135616438356,1,204.1,194.54,201.52,214.96,11.6225274725275,19.3630555555556,-5.63145161290323,-0.42478021978022,10.0562637362637,0,16.848064516129,4.62384615384615,0.401370967741935,-0.5091935483871,13.7071774193548,6.59899193548387,-10.08,27.37,8.07333333333333,217.633333333333,3.96333333333333,3.43333333333333,9.61994421199442
"SS_white 2022","Common_Garden",576.92,5.63157534246575,1,198.66,107.5,18.84,251.92,8.9743956043956,19.3635,-5.87623655913978,0.46846153846154,0.542197802197802,0,20.9861290322581,1.25604395604396,0.339112903225807,-4.84596774193548,8.33879032258064,1.74641129032258,-13.62,20.14,8.07333333333333,217.633333333333,3.96333333333333,3.43333333333333,8.16456582633053
"SS_white 2023","Common_Garden",815.12,4.13135616438356,1,204.1,194.54,201.52,214.96,9.6225274725275,17.3630555555556,-7.63145161290323,-2.42478021978022,10.0562637362637,0,16.848064516129,4.62384615384615,0.401370967741935,-2.5091935483871,11.7071774193548,4.59899193548387,-12.08,25.37,8.07333333333333,217.633333333333,3.96333333333333,3.43333333333333,10.3587731811698
"Symstad1 2021","Satellite",908.2,9.0673698630137,1,465.76,205.68,170.32,66.44,13.2362087912088,21.7058888888889,-1.98924731182796,3.69851648351648,0,0,7.3916129032258,0.996373626373626,1.67887096774194,-2.6416935483871,13.5813709677419,5.46983870967742,-18.49,28.39,8.03,209.233333333333,4.68,3.72666666666667,0.00694444444444444
"Symstad1 2022","Satellite",861.48,9.63649315068493,1,418,183.94,79.44,180.1,12.3905494505495,22.508,-1.06591397849462,5.09,0.286483516483516,0,3.17752688172043,0.492747252747253,1.7258064516129,-3.82201612903226,12.0799193548387,4.12895161290323,-18.49,28.35,8.03,209.233333333333,4.68,3.72666666666667,0.0466666666666667
"Symstad2 2022","Satellite",425.34,9.71339726027397,220,206.7,90.7,39.19,88.75,12.4920879120879,22.6081111111111,-1.01440860215054,5.14527472527473,0.286373626373626,0,3.09709677419355,0.476043956043956,1.57806451612903,-3.98120967741936,11.8495967741935,3.9341935483871,-18.51,28.56,7.70666666666667,283.6,6.86,6.32666666666667,0
"TB FIRE 2022","Satellite",580.44,8.4881095890411,1,197.66,179.18,53.5,150.1,11.0630769230769,21.2807222222222,-2.07672043010753,4.05813186813187,0.209230769230769,0,2.94677419354839,1.42714285714286,0.873951612903225,-6.30806451612903,8.64443548387097,1.16818548387097,-23.82,25.02,5.4,119.1,3.31666666666667,4.40666666666667,0.726666666666667
"TB FIRE 2023","Satellite",810.98,7.0033698630137,1,425.3,247.68,120.78,17.22,12.365989010989,19.9309444444444,-3.85177419354839,-0.0510439560439554,4.91901098901099,0,15.9682795698925,1.06868131868132,0.952822580645161,-4.38362903225806,11.8918548387097,3.75411290322581,-21.93,25.1,5.4,119.1,3.31666666666667,4.40666666666667,1.23741007194245
