PopNum,NewSiteCode,Latitude,Longitude,range,region,countryORstate,SeedSource,
2,HorseneckBeach1,41.507373,-71.059003,invaded,ENA,Massachusetts,field,
5,IslandBeach1,39.799971,-74.093647,invaded,ENA,New_Jersey,field,
7,ShaversFork1,38.91184,-79.741269,invaded,ENA,West_Virginia,field,
8,Jonesboro1,35.843205,-90.680971,invaded,ENA,Arkansas,field,
9,Carlyle1,38.008612,-95.393791,invaded,ENA,Kansas,field,
10,Fredericksburg1,30.274167,-98.871944,invaded,ENA,Texas,field,
12,Springer2,36.426194,-99.397131,invaded,ENA,Oklahoma,field,
14,Springer4,35.290937,-99.505347,invaded,ENA,Oklahoma,field,
15,Springer5,36.61421,-99.571242,invaded,ENA,Oklahoma,field,
18,Glyndon1,46.846183,-96.476555,invaded,ENA,Minnesota,field,
19,Roosevelt1,30.49524167,-100.0180417,invaded,ENA,Texas,field,
20,Troy1,31.842615,-85.892871,invaded,ENA,Alabama,field,
27,Carlisle1,40.206715,-77.186863,invaded,ENA,Pennsylvania,field,
28,Milford1,42.153639,-71.489122,invaded,ENA,Massachusetts,field,
29,Vernon1,42.737524,-72.470337,invaded,ENA,Vermont,field,
30,WRJ1,43.647715,-72.317936,invaded,ENA,New_Hampshire,field,
31,Libbytown1,43.64944444,-70.28491667,invaded,ENA,Maine,field,
32,Edmonton1,53.517284,-113.494199,invaded,ENA,Alberta,field,
33,Port Clinton1,41.539096,-82.861798,invaded,ENA,Ohio,field,
34,MillikenMills1,43.837838,-79.305063,invaded,ENA,Ontario,ghS1,
35,Birchmount1,43.826133,-79.318092,invaded,ENA,Ontario,field,
38,GinBeach1,41.07747,-71.93631,invaded,ENA,New_York,field,
41,Oshkosh1,44.1,-88.63,invaded,ENA,Wisconsin,field,
46,Van01,42.640529,-84.503669,invaded,ENA,Michigan,field,
47,Kingsville1,42.025824,-82.73703,invaded,ENA,Ontario,ghS1,
48,Mississauga1,43.552569,-79.780876,invaded,ENA,Ontario,ghS1,
55,Duluth,46.976943,-92.196293,invaded,ENA,Minnesota,field,
56,StevensPoint,44.526111,-89.571111,invaded,ENA,Wisconsin,field,
63,Pyle 026-1,50.897413,-111.9489833,invaded,ENA,Alberta,field,
76,Truro1,45.36558,-63.26265,invaded,ENA,Nova_Scotia,field,
111,PI 483443,41.878003,-93.097702,invaded,ENA,Iowa,GRIN,
132,Blumenthal1,41.18,-104.9,invaded,ENA,Wyoming,ghS1,
136,Blumenthal8,40.64,-104.56,invaded,ENA,Colorado,ghS1,
137,Blumenthal10,40.92,-102.52,invaded,ENA,Colorado,ghS1,
167,Hufft2,39.547444,-105.102111,invaded,ENA,Colorado,ghS1,
168,JackieOtt1,43.65,-102.97,invaded,ENA,South_Dakota,ghS1,
169,JackieOtt2,43.71,-102.32,invaded,ENA,South_Dakota,ghS1,
170,JackieOtt5,43.78,-102.61,invaded,ENA,South_Dakota,ghS1,
171,JackieOtt6,43.84,-101.94,invaded,ENA,South_Dakota,ghS1,
172,JackieOtt7,43.82,-101.94,invaded,ENA,South_Dakota,ghS1,
183,Porensky1,43.24,-105.18,invaded,ENA,Wyoming,ghS1,
184,Porensky12,43.55,-105.1,invaded,ENA,Wyoming,ghS1,
185,Porensky17,43.34,-105.13,invaded,ENA,Wyoming,ghS1,
209,Symstad4,43.71,-102.58,invaded,ENA,South_Dakota,ghS1,
210,Symstad5,43.7,-102.58,invaded,ENA,South_Dakota,ghS1,
211,Symstad6,41.83,-103.71,invaded,ENA,Nebraska,ghS1,
217,Hufbauer1,40.559085,-105.144169,invaded,ENA,Colorado,ghS1,
257,Lathrop_CO,37.61027,-104.82936,invaded,ENA,Colorado,field,
258,Pakowki1,49.39317,-111.104537,invaded,ENA,Alberta,field,
260,Wellfleet1,40.802,-100.679,invaded,ENA,Nebraska,field,
262,SouthCharleston1,38.366662,-81.687081,invaded,ENA,West_Virginia,field,
263,Lexington1,38.05641,-84.51888,invaded,ENA,Kentucky,field,
264,TailOfTheDragon1,35.50371,-83.97611,invaded,ENA,Tennessee,field,
266,Gadsden1,33.9958,-86.08133,invaded,ENA,Alabama,field,
267,Etowah1,34.125153,-84.807382,invaded,ENA,Georgia,field,
268,BrownStreet1,35.78389,-80.26138,invaded,ENA,North_Carolina,field,
269,Richmond1,37.53666,-77.42661,invaded,ENA,Virginia,field,
270,ChesapeakeBeach1,36.91339,-76.071514,invaded,ENA,Virginia,field,
273,ElkBisonPrairie1,36.790864,-88.06507,invaded,ENA,Kentucky,field,
275,OFallon1,38.5987833,-89.9200742,invaded,ENA,Illinois,field,
276,Waterloo1,41.28668333,-96.24690333,invaded,ENA,Nebraska,field,
277,Thomas01,44.951503,-74.932863,invaded,ENA,New_York,field,
285,MurraySettlement1,46.81907,-65.48459,invaded,ENA,New_Brunswick,field,
296,Donnelly02,39.101222,-96.607987,invaded,ENA,Kansas,field,
297,Martin02,35.5851836,-97.6058834,invaded,ENA,Oklahoma,field,
329,Regina_SK,50.484577,-104.61705,invaded,ENA,Saskatchewan,field,
330,Webb_SK,50.209213,-108.163071,invaded,ENA,Saskatchewan,field,
17,DryLakes1,34.55595,-119.243453,invaded,WNA,California,field,
22,PagosaSpgs_CO,37.28137,-107.06855,invaded,WNA,Colorado,field,
23,MesaVerde_CO,37.15607,-108.4634,invaded,WNA,Colorado,field,
24,IceCaves_NM,35.00007,-108.07323,invaded,WNA,New_Mexico,field,
25,IronCreek_NM,32.90961,-107.8039,invaded,WNA,New_Mexico,field,
26,GilaSpgs_NM,33.23028,-108.25768,invaded,WNA,New_Mexico,field,
37,ClevelandNF1,32.867867,-116.46128,invaded,WNA,California,field,
39,Comox1,49.739722,-124.924412,invaded,WNA,British_Columbia,ghS1,
40,ClarkIsland1,48.68,-122.795,invaded,WNA,Washington,field,
42,SuciaIsland1,48.750956,-122.89384,invaded,WNA,Washington,ghS1,
43,FinelyNWR1,44.396573,-123.321829,invaded,WNA,Oregon,field,
44,FrazierMt1,34.774768,-118.969192,invaded,WNA,California,field,
45,RockyPrairie1,46.91135,-122.85905,invaded,WNA,Washington,field,
61,Pyle 022-1,49.45603169,-114.409728,invaded,WNA,Alberta,field,
62,Pyle 021-1,49.582467,-114.2063567,invaded,WNA,Alberta,field,
78,Mancillas01,32.368,-106.56,invaded,WNA,New_Mexico,ghS1,
112,AAFC2,49.94,-119.51,invaded,WNA,British_Columbia,ghS2,
113,AAFC4,50.08,-120.65,invaded,WNA,British_Columbia,ghS1,
114,AAFC5,50.09,-120.45,invaded,WNA,British_Columbia,ghS1,
115,AAFC6,50.09,-120.75,invaded,WNA,British_Columbia,ghS1,
116,AAFC8,49.57,-120.55,invaded,WNA,British_Columbia,ghS1,
117,AAFC9,49.62,-119.8,invaded,WNA,British_Columbia,ghS1,
118,AAFC10,49.71,-120.05,invaded,WNA,British_Columbia,ghS1,
119,Adler2,41.05,-112.25,invaded,WNA,Utah,ghS1,
121,Adler5,40.79,-111.87,invaded,WNA,Utah,ghS1,
122,Adler11,38.83,-112.05,invaded,WNA,Utah,ghS1,
123,Adler13,41.44,-111.08,invaded,WNA,Utah,ghS1,
124,Adler14,41.81,-111.25,invaded,WNA,Utah,ghS1,
125,Adler16,41.78,-110.2,invaded,WNA,Wyoming,ghS1,
126,Adler17,41.44,-110.11,invaded,WNA,Wyoming,ghS1,
127,Adler18,40.86,-114.22,invaded,WNA,Nevada,ghS1,
128,Barnett1,43.48,-110.74,invaded,WNA,Wyoming,ghS1,
129,Baughman2,43.05,-118.87,invaded,WNA,Oregon,ghS1,
130,Baughman3,42.81,-118.96,invaded,WNA,Oregon,ghS1,
131,Baughman5,42.72,-120.08,invaded,WNA,Oregon,ghS1,
133,Blumenthal4,40.7,-106.24,invaded,WNA,Colorado,ghS1,
135,Blumenthal7,41.54,-106.39,invaded,WNA,Wyoming,ghS1,
138,Board1,38.84,-117.57,invaded,WNA,Nevada,ghS1,
139,Bradford1,35.23,-111.62,invaded,WNA,Arizona,ghS1,
140,Chambers1,39.55,-119.58,invaded,WNA,Nevada,ghS1,
141,Chambers2,39.95,-118.76,invaded,WNA,Nevada,ghS1,
142,Chambers4,41.31,-117.63,invaded,WNA,Nevada,ghS1,
143,Chambers5,41.54,-117.75,invaded,WNA,Nevada,ghS1,
144,Chambers6,41.54,-117.78,invaded,WNA,Nevada,ghS1,
145,Chambers7,43.94,-116.19,invaded,WNA,Idaho,ghS1,
146,Chambers8,42.24,-114.57,invaded,WNA,Idaho,ghS1,
147,Chambers9,40.66,-116.73,invaded,WNA,Nevada,ghS1,
148,Copeland1,43.7,-117.33,invaded,WNA,Oregon,ghS1,
149,Copeland5,42.27,-118.71,invaded,WNA,Oregon,ghS1,
150,Copeland9,43.47,-119.68,invaded,WNA,Oregon,ghS1,
151,Copeland10,42.77,-118.74,invaded,WNA,Oregon,ghS1,
152,Davies03,42.68,-118.68,invaded,WNA,Oregon,field,
153,Downs1,46.38145,-119.430272,invaded,WNA,Washington,ghS1,
154,Downs2,46.25045,-119.53334,invaded,WNA,Washington,ghS1,
155,Downs3,45.9663,-120.3671,invaded,WNA,Washington,ghS1,
156,Downs4,46.73598,-120.82735,invaded,WNA,Washington,ghS1,
157,Eshleman1,42.9,-107.71,invaded,WNA,Wyoming,ghS1,
158,Fleishman1,38.47,-119.49,invaded,WNA,California,ghS1,
159,Fleishman3,38.58,-118.83,invaded,WNA,Nevada,ghS1,
160,Fleishman5,39.12,-117.27,invaded,WNA,Nevada,ghS1,
161,Fleishman7,39.17,-117.44,invaded,WNA,Nevada,ghS1,
162,Getts1,41.17,-120.5,invaded,WNA,California,ghS1,
163,Getts3,40.43,-120.67,invaded,WNA,California,ghS1,
164,Getts4,41.71,-120.28,invaded,WNA,California,ghS1,
165,Holdrege1,41.61,-111.57,invaded,WNA,Utah,ghS1,
166,Hufft1,38.6701,-108.3286,invaded,WNA,Colorado,ghS1,
173,Lavin1,44.68,-109.07,invaded,WNA,Wyoming,ghS1,
174,Lavin2,45.67,-111.03,invaded,WNA,Montana,ghS1,
175,Lee1,36.82340833,-116.0163889,invaded,WNA,Nevada,ghS1,
176,Lee2,35.3984,-115.7845,invaded,WNA,California,ghS1,
177,Lee3,36.5247,-115.8987,invaded,WNA,Nevada,ghS1,
178,Lee4,35.4564,-115.52,invaded,WNA,California,ghS1,
179,Lee5,35.3153,-115.5544,invaded,WNA,California,ghS1,
180,Leger1,39.49,-119.84,invaded,WNA,Nevada,ghS1,
181,Maron1,46.68,-114.03,invaded,WNA,Montana,ghS1,
182,Maron2,46.64,-113.23,invaded,WNA,Montana,ghS1,
186,Porensky30,40.63,-105.27,invaded,WNA,Colorado,ghS1,
187,Pyke21,47.61803776,-119.6830115,invaded,WNA,Washington,ghS1,
188,Pyke3,44.60456358,-120.1924183,invaded,WNA,Oregon,ghS1,
189,Pyke8,46.74830998,-119.361636,invaded,WNA,Washington,ghS1,
190,Pyle1,42.35,-118.65,invaded,WNA,Oregon,ghS1,
191,Pyle9,43.42,-119.62,invaded,WNA,Oregon,ghS1,
192,Pyle10,43.19,-120,invaded,WNA,Oregon,ghS1,
193,Pyle12,43.24,-120.4,invaded,WNA,Oregon,ghS2,
194,Pyle15,43.8,-119,invaded,WNA,Oregon,ghS1,
195,Pyle17,44.36,-118.93,invaded,WNA,Oregon,ghS1,
196,Pyle19,44.57,-119.65,invaded,WNA,Oregon,ghS1,
197,Reed1,38.52,-109.47,invaded,WNA,Utah,ghS1,
198,Reed3,38.75,-109.79,invaded,WNA,Utah,ghS1,
200,Schupp1,39.85,-112.15,invaded,WNA,Utah,ghS1,
201,Schupp2,40.2,-112.46,invaded,WNA,Utah,ghS1,
202,Schupp3,38.6,-113.79,invaded,WNA,Utah,ghS1,
203,Schupp4,38.52,-113.55,invaded,WNA,Utah,ghS1,
204,Schupp5,39.11,-112.74,invaded,WNA,Utah,ghS1,
205,Shriver2,48,-114.04,invaded,WNA,Montana,ghS1,
206,Symstad1,44.59,-104.71,invaded,WNA,Wyoming,ghS1,
207,Symstad2,43.87,-103.46,invaded,WNA,South_Dakota,ghS1,
208,Symstad3,43.62,-103.47,invaded,WNA,South_Dakota,ghS1,
