"site_clean","lg_row","row_index","genotype","site"
"AAFC4",1,1,"1","AAFC4"
"AAFC5",2,2,"2","AAFC5"
"AAFC6",3,3,"3","AAFC6"
"AAFC8",4,4,"5","AAFC8"
"AAFC9",5,5,"6","AAFC9"
"AAFC10",6,6,"7","AAFC10"
"Adler5",7,7,"9","Adler5"
"Adler13",8,10,"14","Adler13"
"Adler16",9,11,"16","Adler16"
"Adler17",10,12,"17","Adler17"
"Adler18",11,13,"18","Adler18"
"Barnett1",12,14,"19","Barnett1"
"Baughman2",13,16,"21","Baughman2"
"Baughman3",14,15,"20","Baughman3"
"Board1",15,18,"27","Board1"
"Bradford1",16,19,"28","Bradford1"
"Chambers1",17,20,"29","Chambers1"
"Chambers2",18,21,"30","Chambers2"
"Chambers4",19,23,"32","Chambers4"
"Chambers5",20,24,"33","Chambers5"
"Chambers6",21,25,"34","Chambers6"
"Chambers7",22,26,"35","Chambers7"
"Chambers8",23,27,"36","Chambers8"
"Chambers9",24,28,"37","Chambers9"
"Copeland1",25,29,"38","Copeland1"
"Copeland5",26,30,"39","Copeland5"
"Copeland9",27,31,"40","Copeland9"
"Downs1",28,32,"42","Downs1"
"Downs2",29,33,"43","Downs2"
"Downs3",30,34,"44","Downs3"
"Fleishman1",31,35,"45","Fleishman1"
"Fleishman5",32,36,"46","Fleishman5"
"Fleishman7",33,37,"47","Fleishman7"
"Getts1",34,38,"48","Getts1"
"Getts3",35,39,"49","Getts3"
"Holdrege1",36,40,"51","Holdrege1"
"Hufft1",37,41,"52","Hufft1"
"Lavin1",38,42,"59","Lavin1"
"Lavin2",39,43,"60","Lavin2"
"Lee1",40,44,"61","Lee1"
"Lee2",41,45,"62","Lee2"
"Lee3",42,46,"63","Lee3"
"Lee4",43,47,"64","Lee4"
"Leger1",44,48,"65","Leger1"
"Maron1",45,49,"66","Maron1"
"Maron2",46,50,"67","Maron2"
"Porensky30",47,51,"71","Porensky30"
"Pyke21",48,54,"74","Pyke21"
"Pyke3",49,52,"72","Pyke3"
"Pyke8",50,53,"73","Pyke8"
"Pyle1",51,55,"75","Pyle1"
"Pyle9",52,56,"76","Pyle9"
"Pyle10",53,57,"77","Pyle10"
"Pyle17",54,59,"81","Pyle17"
"Pyle19",55,60,"82","Pyle19"
"Reed1",56,61,"83","Reed1"
"Reed3",57,62,"84","Reed3"
"Schupp1",58,9,"13","Schupp1"
"Schupp2",59,8,"12","Schupp2"
"Schupp3",60,63,"86","Schupp3"
"Schupp4",61,64,"87","Schupp4"
"Schupp5",62,65,"88","Schupp5"
"Shriver2",63,76,"102","Shriver2"
"Symstad1",64,66,"89","Symstad1"
"Symstad2",65,67,"90","Symstad2"
"Symstad3",66,68,"91","Symstad3"
"Urza1",67,22,"31","Urza1"
"Urza2",68,69,"93","Urza2"
"Wilcox2",69,70,"95","Wilcox2"
"Chynoweth1",70,17,"26","Chynoweth1"
"Chynoweth2",71,71,"96","Chynoweth2"
"Chynoweth5",72,73,"98","Chynoweth5"
"Chynoweth7",73,74,"99","Chynoweth7"
"Chynoweth8",74,75,"100","Chynoweth8"
"GerminoBOP1",75,78,"104","GerminoBOP1"
"Mancillas1",76,79,"150","Mancillas1"
"Davies3",77,77,"103","Davies3"
"Pyle15",78,58,"79","Pyle15"
"Chynoweth3",79,72,"97","Chynoweth3"
"BoiseHigh",80,80,"G200","BoiseHigh"
"BoiseLow",81,81,"G201","BoiseLow"
"CaseAoyamaS1",82,83,"G203","CaseAoyamaS1"
"CastValley",83,84,"G204","CastValley"
"CGPASTURE",84,82,"G202","CGPASTURE"
"dino",85,121,"G241","dino"
"EnsingS1SuRDC",86,86,"G206","EnsingS1SuRDC"
"EnsingS2Summerland-Princeton",87,87,"G207","EnsingS2Summerland-Princeton"
"EnsingS3BearCreek",88,88,"G208","EnsingS3BearCreek"
"EnsingS4Lundbom",89,89,"G209","EnsingS4Lundbom"
"EOARC",90,85,"G205","EOARC"
"FARNORTHCPER",91,90,"G210","FARNORTHCPER"
"FtKCottonwoodCoulee",92,91,"G211","FtKCottonwoodCoulee"
"FtKLonePine",93,92,"G212","FtKLonePine"
"GoeblS1",94,93,"G213","GoeblS1"
"GreenCanyon",95,94,"G214","GreenCanyon"
"HardwareRanch",96,96,"G216","HardwareRanch"
"HPGRSAGCR",97,95,"G215","HPGRSAGCR"
"K1vanDiepen",98,97,"G217","K1vanDiepen"
"L1vanDiepen",99,98,"G218","L1vanDiepen"
"MPGIR",100,99,"G219","MPGIR"
"MPGSR",101,100,"G220","MPGSR"
"MPGTH",102,101,"G221","MPGTH"
"NEAR4WAYCPER",103,102,"G222","NEAR4WAYCPER"
"NEARHQCPER",104,103,"G223","NEARHQCPER"
"NEARNUTNET",105,104,"G224","NEARNUTNET"
"OttS1",106,105,"G225","OttS1"
"Pearlwise",107,107,"G227","Pearlwise"
"Peavine",108,108,"G228","Peavine"
"Plymouth",109,109,"G229","Plymouth"
"PMR-Brome",110,106,"G226","PMR-Brome"
"RedBluff",111,110,"G230","RedBluff"
"RushValley",112,111,"G231","RushValley"
"SouthEden",113,114,"G234","SouthEden"
"SSHigh",114,113,"G233","SSHigh"
"SSHQ",115,112,"G232","SSHQ"
"Symstad1",116,66,"89","Symstad1"
"Symstad2",117,67,"90","Symstad2"
"TBFIRE",118,117,"G237","TBFIRE"
"TBLCControl",119,118,"G238","TBLCControl"
"TBPRAIRIEDOG",120,119,"G239","TBPRAIRIEDOG"
"Woodruff",121,120,"G240","Woodruff"
