"","AAFC4","AAFC5","AAFC6","AAFC8","AAFC9","AAFC10","Adler5","Schupp2","Schupp1","Adler13","Adler16","Adler17","Adler18","Barnett1","Baughman3","Baughman2","Chynoweth1","Board1","Bradford1","Chambers1","Chambers2","Urza1","Chambers4","Chambers5","Chambers6","Chambers7","Chambers8","Chambers9","Copeland1","Copeland5","Copeland9","Downs1","Downs2","Downs3","Fleishman1","Fleishman5","Fleishman7","Getts1","Getts3","Holdrege1","Hufft1","Lavin1","Lavin2","Lee1","Lee2","Lee3","Lee4","Leger1","Maron1","Maron2","Porensky30","Pyke3","Pyke8","Pyke21","Pyle1","Pyle9","Pyle10","Pyle15","Pyle17","Pyle19","Reed1","Reed3","Schupp3","Schupp4","Schupp5","Symstad1","Symstad2","Symstad3","Urza2","Wilcox2","Chynoweth2","Chynoweth3","Chynoweth5","Chynoweth7","Chynoweth8","Shriver2","Davies3","GerminoBOP1","Mancillas1","BoiseHigh","BoiseLow","CGPASTURE","CaseAoyamaS1","CastValley","EOARC","EnsingS1SuRDC","EnsingS2Summerland-Princeton","EnsingS3BearCreek","EnsingS4Lundbom","FARNORTHCPER","FtKCottonwoodCoulee","FtKLonePine","GoeblS1","GreenCanyon","HPGRSAGCR","HardwareRanch","K1vanDiepen","L1vanDiepen","MPGIR","MPGSR","MPGTH","NEAR4WAYCPER","NEARHQCPER","NEARNUTNET","OttS1","PMR-Brome","Pearlwise","Peavine","Plymouth","RedBluff","RushValley","SSHQ","SSHigh","SouthEden","Symstad1","Symstad2","TBFIRE","TBLCControl","TBPRAIRIEDOG","Woodruff","dino"
"AAFC4",1,0.86,0.877142857142857,0.84047619047619,0.838095238095238,0.84,0.782380952380952,0.791904761904762,0.787142857142857,0.798095238095238,0.829047619047619,0.810952380952381,0.831428571428571,0.832380952380952,0.786666666666667,0.83047619047619,0.796666666666667,0.82952380952381,0.791428571428571,0.823809523809524,0.815238095238095,0.815714285714286,0.815238095238095,0.74047619047619,0.746666666666667,0.747619047619048,0.74,0.736666666666667,0.831904761904762,0.794285714285714,0.83,0.83047619047619,0.786190476190476,0.829047619047619,0.832380952380952,0.758095238095238,0.794761904761905,0.761428571428571,0.77047619047619,0.763809523809524,0.835714285714286,0.79,0.790952380952381,0.815714285714286,0.852857142857143,0.748095238095238,0.740952380952381,0.747619047619048,0.726666666666667,0.742380952380952,0.831904761904762,0.805714285714286,0.81952380952381,0.834761904761905,0.751904761904762,0.7,0.833333333333333,0.797619047619048,0.796190476190476,0.852857142857143,0.78952380952381,0.798095238095238,0.843333333333333,0.803809523809524,0.830952380952381,0.790952380952381,0.811428571428571,0.769047619047619,0.764761904761905,0.82952380952381,0.799047619047619,0.815714285714286,0.83047619047619,0.796190476190476,0.820952380952381,0.829047619047619,0.82,0.837142857142857,0.71,0.810241198075556,0.828340814071212,0.813894901785493,0.804072505647462,0.853826927050894,0.790575198876779,0.874511183531892,0.886073594774333,0.889919702451126,0.840292344665613,0.825767519842162,0.843354127023302,0.850249179537128,0.828307919826803,0.842996302331095,0.847412725545507,0.836405449193593,0.86974010253192,0.850671837651862,0.80497066935388,0.76953048941347,0.762242343880669,0.799023495150356,0.804119711538417,0.76676781296565,0.811222061209893,0.832652018842831,0.865677125596541,0.787089131228073,0.766460345594946,0.791048539659169,0.80843998063069,0.812323765388807,0.830278093795019,0.812579717559719,0.833315441185303,0.848366789443059,0.844661761288504,0.83615247595322,0.825802485594076,0.771645035370116,0.81233407320087
"AAFC5",0.86,1,0.78952380952381,0.870952380952381,0.899047619047619,0.900952380952381,0.816190476190476,0.799047619047619,0.779047619047619,0.836666666666667,0.820952380952381,0.798571428571429,0.8,0.800952380952381,0.823333333333333,0.79952380952381,0.78952380952381,0.827619047619048,0.793809523809524,0.853809523809524,0.835714285714286,0.84,0.835238095238095,0.754285714285714,0.764761904761905,0.765714285714286,0.758571428571429,0.755714285714286,0.826666666666667,0.818095238095238,0.81047619047619,0.81047619047619,0.838095238095238,0.798095238095238,0.873333333333333,0.773809523809524,0.836190476190476,0.785714285714286,0.778571428571429,0.772857142857143,0.821904761904762,0.833809523809524,0.783809523809524,0.80952380952381,0.889047619047619,0.765714285714286,0.758095238095238,0.765714285714286,0.747619047619048,0.759047619047619,0.8,0.817142857142857,0.843809523809524,0.876190476190476,0.764285714285714,0.694285714285714,0.801428571428571,0.790952380952381,0.789047619047619,0.9,0.769047619047619,0.801428571428571,0.83952380952381,0.798571428571429,0.810952380952381,0.835714285714286,0.820952380952381,0.801904761904762,0.773333333333333,0.81,0.79952380952381,0.836666666666667,0.81047619047619,0.78952380952381,0.797142857142857,0.820952380952381,0.86952380952381,0.813333333333333,0.718095238095238,0.820256330579902,0.826449833160026,0.811251286970127,0.848501538754409,0.876243797107351,0.803164434755775,0.874636411474643,0.86607494235887,0.87139469712664,0.821505107775885,0.836258141873072,0.84748581655923,0.813887635312561,0.848276307435318,0.804530960084715,0.85073487797156,0.803839312908629,0.841663534644309,0.843703603840408,0.761784400100955,0.727788347229747,0.737533129291525,0.816883230784317,0.834037628744862,0.815150813153593,0.806132632608247,0.847487681738415,0.840145170593701,0.796876186356556,0.826538996436499,0.79539039042503,0.868865622880715,0.851824902797075,0.800794682440744,0.841678198533211,0.797780796431263,0.82619451049352,0.839763489836759,0.828400937320071,0.791038799045973,0.86430506991454,0.865027818367992
"AAFC6",0.877142857142857,0.78952380952381,1,0.811904761904762,0.768571428571429,0.76952380952381,0.779047619047619,0.813333333333333,0.848571428571429,0.797142857142857,0.82,0.82952380952381,0.837619047619048,0.838095238095238,0.783333333333333,0.837619047619048,0.803809523809524,0.835714285714286,0.801428571428571,0.790952380952381,0.79047619047619,0.807619047619048,0.79047619047619,0.736190476190476,0.745238095238095,0.746190476190476,0.74,0.736190476190476,0.836190476190476,0.802857142857143,0.829047619047619,0.828571428571429,0.76952380952381,0.836190476190476,0.8,0.767619047619048,0.775238095238095,0.754761904761905,0.764761904761905,0.776666666666667,0.842857142857143,0.777619047619048,0.807619047619048,0.827142857142857,0.80047619047619,0.747142857142857,0.737142857142857,0.746666666666667,0.727142857142857,0.738571428571429,0.837619047619048,0.803809523809524,0.8,0.801428571428571,0.770952380952381,0.68952380952381,0.838571428571429,0.804761904761905,0.803333333333333,0.793809523809524,0.856190476190476,0.822857142857143,0.805238095238095,0.82047619047619,0.83,0.778571428571429,0.826666666666667,0.787619047619048,0.777619047619048,0.829047619047619,0.804761904761905,0.791428571428571,0.828571428571429,0.803333333333333,0.840952380952381,0.82047619047619,0.786190476190476,0.83047619047619,0.720952380952381,0.812550261207933,0.808812839995382,0.803291010246424,0.838119369046122,0.853611633303637,0.830457268105621,0.876859757248119,0.809302259257149,0.86983464540932,0.83078475929674,0.80090739736609,0.87307425528554,0.870424576295235,0.82037126425785,0.842424020462773,0.837612654264929,0.862678119095581,0.867842099170912,0.860885863823426,0.78111567742967,0.704714262095691,0.78888323022029,0.817727729650819,0.781877788868649,0.789771972942161,0.769102936180396,0.823872146498075,0.83083254171447,0.756284028531374,0.796251267520655,0.730672804787269,0.826200351856758,0.843233661382893,0.821514995001494,0.784676107376024,0.837509965871651,0.813920959893297,0.830473538319705,0.823778098267503,0.856316727004663,0.817071386951556,0.82147497453457
"AAFC8",0.84047619047619,0.870952380952381,0.811904761904762,1,0.844285714285714,0.846190476190476,0.82047619047619,0.816190476190476,0.814285714285714,0.838571428571429,0.841904761904762,0.832857142857143,0.854285714285714,0.855238095238095,0.804285714285714,0.853333333333333,0.794761904761905,0.846666666666667,0.813333333333333,0.826666666666667,0.813809523809524,0.856666666666667,0.814285714285714,0.750952380952381,0.755714285714286,0.756666666666667,0.756190476190476,0.752857142857143,0.851428571428571,0.816190476190476,0.840952380952381,0.84,0.823809523809524,0.851904761904762,0.839047619047619,0.781904761904762,0.811428571428571,0.788571428571429,0.801904761904762,0.79,0.866666666666667,0.824285714285714,0.808095238095238,0.84952380952381,0.855714285714286,0.756666666666667,0.755714285714286,0.756666666666667,0.74047619047619,0.756666666666667,0.855238095238095,0.823809523809524,0.835714285714286,0.841904761904762,0.778095238095238,0.691904761904762,0.855714285714286,0.796190476190476,0.794285714285714,0.860952380952381,0.798571428571429,0.817142857142857,0.833809523809524,0.822857142857143,0.841428571428571,0.826190476190476,0.842380952380952,0.804761904761905,0.790952380952381,0.84047619047619,0.800952380952381,0.815714285714286,0.840952380952381,0.795714285714286,0.834285714285714,0.841428571428571,0.87047619047619,0.833809523809524,0.726666666666667,0.788576788635324,0.778060783304465,0.805052071811811,0.831999956196172,0.876664454243897,0.824092104725766,0.862721418778916,0.810507031807066,0.894285725362323,0.825880490169608,0.845191368979517,0.872205681183332,0.835380676681274,0.849982983734479,0.785602999709089,0.836836540778653,0.801359422134615,0.850396767701143,0.780072081957005,0.763346416114455,0.755299255956346,0.673751747481256,0.825386129146727,0.836283190686432,0.830366669433798,0.819300713271512,0.842481507768958,0.788473054235666,0.78128956727878,0.800893127777276,0.773741353651994,0.87096833763565,0.791052184862477,0.791289646919945,0.848635568302562,0.825180287677874,0.810355710891192,0.821309627491015,0.859033904203568,0.839426138673367,0.861584352505819,0.836308591054169
"AAFC9",0.838095238095238,0.899047619047619,0.768571428571429,0.844285714285714,1,0.992380952380952,0.815714285714286,0.785238095238095,0.762380952380952,0.844761904761905,0.811428571428571,0.781428571428571,0.793809523809524,0.794761904761905,0.814761904761905,0.793333333333333,0.773809523809524,0.818571428571429,0.782380952380952,0.842857142857143,0.831904761904762,0.823333333333333,0.831904761904762,0.749047619047619,0.758095238095238,0.759047619047619,0.754285714285714,0.750952380952381,0.809047619047619,0.801904761904762,0.800952380952381,0.80047619047619,0.851904761904762,0.791904761904762,0.865714285714286,0.766190476190476,0.827142857142857,0.786190476190476,0.772380952380952,0.77,0.811428571428571,0.834761904761905,0.767142857142857,0.801428571428571,0.858095238095238,0.76047619047619,0.754285714285714,0.76,0.745238095238095,0.756190476190476,0.793809523809524,0.818095238095238,0.836666666666667,0.868095238095238,0.761428571428571,0.691904761904762,0.795238095238095,0.775238095238095,0.773333333333333,0.866666666666667,0.753333333333333,0.797142857142857,0.829047619047619,0.79047619047619,0.802380952380952,0.837142857142857,0.807619047619048,0.796190476190476,0.77047619047619,0.80047619047619,0.785714285714286,0.831904761904762,0.800952380952381,0.773809523809524,0.788571428571429,0.811428571428571,0.842857142857143,0.808571428571429,0.717619047619048,0.837204025023311,0.783207398594141,0.824309403038247,0.817697711779473,0.858075993515937,0.864462096612735,0.897849859742177,0.859705564418227,0.865060737717286,0.845712234722796,0.817201363910699,0.818224929266097,0.833989443289693,0.821717443278794,0.81788812504334,0.839152417961914,0.819605106999802,0.818713175621516,0.871963023796128,0.785110010253371,0.764969216548073,0.758954932400908,0.837878519380267,0.802784067050062,0.85124843660011,0.799770111787594,0.791724578401979,0.776491782598842,0.866953002023817,0.820805330536192,0.710458155070593,0.831535804039908,0.832110082722442,0.805516503995445,0.898491648688542,0.848752244817463,0.818890263914892,0.84399644133963,0.768459207796495,0.788780086387507,0.845397392118744,0.848169817575427
"AAFC10",0.84,0.900952380952381,0.76952380952381,0.846190476190476,0.992380952380952,1,0.816190476190476,0.786666666666667,0.763809523809524,0.845714285714286,0.812857142857143,0.783333333333333,0.795238095238095,0.796190476190476,0.815714285714286,0.794761904761905,0.775238095238095,0.819047619047619,0.783809523809524,0.842857142857143,0.831428571428571,0.823809523809524,0.831428571428571,0.748571428571429,0.758095238095238,0.759047619047619,0.754285714285714,0.751904761904762,0.81047619047619,0.802857142857143,0.803333333333333,0.802857142857143,0.852857142857143,0.793333333333333,0.866190476190476,0.767142857142857,0.828095238095238,0.787142857142857,0.774285714285714,0.771428571428571,0.812857142857143,0.836190476190476,0.767619047619048,0.802380952380952,0.858571428571429,0.75952380952381,0.755714285714286,0.76,0.746190476190476,0.755714285714286,0.795238095238095,0.81952380952381,0.837619047619048,0.87047619047619,0.762857142857143,0.691904761904762,0.796666666666667,0.776666666666667,0.774761904761905,0.868095238095238,0.754761904761905,0.798571428571429,0.83,0.791904761904762,0.803809523809524,0.838571428571429,0.809047619047619,0.796666666666667,0.771904761904762,0.802857142857143,0.787142857142857,0.832380952380952,0.803333333333333,0.775238095238095,0.79047619047619,0.812857142857143,0.844761904761905,0.80952380952381,0.718095238095238,0.85394845529932,0.840373348322975,0.805595221290705,0.841914019895981,0.847116877608344,0.790339995840153,0.891276425783623,0.863170028669387,0.897509000899761,0.862112660739789,0.797735121994586,0.863530764570474,0.862268523422752,0.833849105837977,0.798810128050544,0.820719949534624,0.810858743024265,0.842421800430663,0.838933315740118,0.810055541607683,0.774877398023585,0.731745752148165,0.836623318063633,0.841003110242149,0.84677699056114,0.831271333806066,0.837421051172581,0.805228616865821,0.840112374674256,0.813582989839627,0.783787030519582,0.800219701918777,0.83337446110957,0.775579278508159,0.866841746417305,0.869881307438605,0.830582126303546,0.835483186679655,0.81114828442545,0.847076655537758,0.842774954677818,0.827727762189973
"Adler5",0.782380952380952,0.816190476190476,0.779047619047619,0.82047619047619,0.815714285714286,0.816190476190476,1,0.797619047619048,0.77,0.880952380952381,0.802380952380952,0.782380952380952,0.800952380952381,0.801904761904762,0.861428571428571,0.80047619047619,0.777142857142857,0.803809523809524,0.78952380952381,0.844761904761905,0.823809523809524,0.87952380952381,0.822857142857143,0.757619047619048,0.76952380952381,0.771904761904762,0.761428571428571,0.758095238095238,0.813809523809524,0.847619047619048,0.79952380952381,0.799047619047619,0.906666666666667,0.799047619047619,0.79047619047619,0.784761904761905,0.821428571428571,0.770952380952381,0.8,0.762380952380952,0.818571428571429,0.93952380952381,0.778571428571429,0.818095238095238,0.80047619047619,0.773333333333333,0.756666666666667,0.772857142857143,0.751428571428571,0.759047619047619,0.801428571428571,0.842380952380952,0.890952380952381,0.793333333333333,0.754285714285714,0.711428571428571,0.802380952380952,0.778095238095238,0.776666666666667,0.821904761904762,0.759047619047619,0.812380952380952,0.780952380952381,0.787619047619048,0.80047619047619,0.94,0.8,0.776666666666667,0.763333333333333,0.799047619047619,0.779047619047619,0.823333333333333,0.79952380952381,0.776666666666667,0.787142857142857,0.802857142857143,0.835238095238095,0.79952380952381,0.756190476190476,0.82780344821508,0.81823053753937,0.784374910322431,0.852269725781667,0.854920149868266,0.854161968844521,0.728842646172268,0.79407727850681,0.759738158844921,0.811310172053627,0.817792906438134,0.852086936185311,0.798632236755156,0.834323656007323,0.794518223091212,0.801261387919526,0.71878576199276,0.830878829562024,0.843597708282096,0.783002523132754,0.798747329688473,0.786258324829733,0.753943996048958,0.788254140630096,0.802429427757962,0.788063166761022,0.770842456827074,0.7766331779779,0.757453011604256,0.794677842604279,0.809146393156851,0.827914884401901,0.815841795302446,0.810217073962937,0.783033400643154,0.763837180240233,0.783919389732807,0.818810059468838,0.772377390606445,0.857321560457806,0.813864187769461,0.84092167093043
"Schupp2",0.791904761904762,0.799047619047619,0.813333333333333,0.816190476190476,0.785238095238095,0.786666666666667,0.797619047619048,1,0.810952380952381,0.812857142857143,0.822380952380952,0.828571428571429,0.817142857142857,0.818571428571429,0.833809523809524,0.817142857142857,0.884761904761905,0.835238095238095,0.844285714285714,0.787142857142857,0.797142857142857,0.812857142857143,0.796666666666667,0.753809523809524,0.762380952380952,0.762857142857143,0.761428571428571,0.758095238095238,0.86047619047619,0.838571428571429,0.82047619047619,0.82,0.796190476190476,0.815714285714286,0.814285714285714,0.81,0.808571428571429,0.773333333333333,0.787142857142857,0.837142857142857,0.833809523809524,0.795714285714286,0.844761904761905,0.866190476190476,0.814285714285714,0.763333333333333,0.755714285714286,0.763333333333333,0.752380952380952,0.757142857142857,0.818095238095238,0.823809523809524,0.801428571428571,0.817142857142857,0.799047619047619,0.732857142857143,0.819047619047619,0.886190476190476,0.883809523809524,0.79952380952381,0.802857142857143,0.825238095238095,0.83952380952381,0.86,0.821428571428571,0.796190476190476,0.857619047619048,0.823809523809524,0.838095238095238,0.82,0.892857142857143,0.797619047619048,0.82047619047619,0.884761904761905,0.807619047619048,0.822857142857143,0.819047619047619,0.840952380952381,0.712857142857143,0.781655393045012,0.797359077241475,0.823725717497778,0.831196262453188,0.831165987119024,0.849546800643625,0.766076911153277,0.830481718760848,0.831226383541152,0.831413286084969,0.822450069005415,0.860872344111053,0.797458670018859,0.808226669734244,0.763980730712824,0.815229442571662,0.796580887299303,0.855773430815821,0.846741003260132,0.769190525578895,0.776359892114256,0.793372543991415,0.834124793989915,0.848582328270142,0.827966913047107,0.792265820887954,0.874291433986962,0.825798580594973,0.773720477470273,0.817864475964986,0.852225838797215,0.807718009333488,0.766753573684772,0.824566564292838,0.810731627570467,0.763150475295718,0.793559880310305,0.818499243488047,0.770429200647296,0.805618508529904,0.791323167492961,0.857169589144938
"Schupp1",0.787142857142857,0.779047619047619,0.848571428571429,0.814285714285714,0.762380952380952,0.763809523809524,0.77,0.810952380952381,1,0.787619047619048,0.853333333333333,0.817142857142857,0.838095238095238,0.83952380952381,0.77952380952381,0.838571428571429,0.783809523809524,0.83047619047619,0.796666666666667,0.765714285714286,0.784285714285714,0.808571428571429,0.784285714285714,0.72,0.723333333333333,0.724285714285714,0.72,0.717142857142857,0.824285714285714,0.785238095238095,0.835238095238095,0.834285714285714,0.763333333333333,0.837142857142857,0.80952380952381,0.753809523809524,0.767142857142857,0.754761904761905,0.784761904761905,0.77952380952381,0.847619047619048,0.765714285714286,0.791428571428571,0.82952380952381,0.802857142857143,0.724761904761905,0.724285714285714,0.724285714285714,0.721904761904762,0.725238095238095,0.84,0.797142857142857,0.771428571428571,0.812380952380952,0.765714285714286,0.673333333333333,0.84,0.784761904761905,0.783809523809524,0.786666666666667,0.942857142857143,0.832380952380952,0.774285714285714,0.810952380952381,0.836666666666667,0.767142857142857,0.81047619047619,0.804285714285714,0.780952380952381,0.835714285714286,0.784285714285714,0.785238095238095,0.835238095238095,0.783333333333333,0.867619047619048,0.853809523809524,0.784761904761905,0.820952380952381,0.71,0.808826252254544,0.77523536862469,0.831667336412549,0.845839132130152,0.81616543247898,0.845697968651281,0.808955251118933,0.792673998161537,0.806836317287509,0.762421965394977,0.817563708777539,0.766980109988339,0.825709071345546,0.856728296946641,0.761491350152932,0.818223302515012,0.746551276679973,0.832330294205892,0.855557726990401,0.745184330423171,0.824143931804697,0.790764522508978,0.862635359113742,0.820645952663413,0.79720565192759,0.75844376889311,0.849234799606979,0.805495515347819,0.8134339899145,0.788841295924487,0.75266080164683,0.747657188886385,0.755929600262027,0.771172208881316,0.792787887568689,0.837498955554726,0.808311273923253,0.813917948670855,0.815214341966518,0.808206669970287,0.8324488244847,0.802368117032341
"Adler13",0.798095238095238,0.836666666666667,0.797142857142857,0.838571428571429,0.844761904761905,0.845714285714286,0.880952380952381,0.812857142857143,0.787619047619048,1,0.804285714285714,0.807142857142857,0.804761904761905,0.805714285714286,0.85,0.803809523809524,0.785238095238095,0.836190476190476,0.797619047619048,0.865238095238095,0.840952380952381,0.88047619047619,0.84047619047619,0.762857142857143,0.776190476190476,0.777619047619048,0.769047619047619,0.765238095238095,0.830952380952381,0.87,0.807142857142857,0.806666666666667,0.898095238095238,0.802380952380952,0.812380952380952,0.822380952380952,0.847619047619048,0.801428571428571,0.828571428571429,0.786190476190476,0.828571428571429,0.909047619047619,0.797619047619048,0.822857142857143,0.821428571428571,0.777619047619048,0.762380952380952,0.778095238095238,0.765714285714286,0.762857142857143,0.805238095238095,0.869047619047619,0.88952380952381,0.814285714285714,0.784285714285714,0.713333333333333,0.806190476190476,0.786666666666667,0.784761904761905,0.837619047619048,0.777619047619048,0.816666666666667,0.799047619047619,0.813333333333333,0.808095238095238,0.911904761904762,0.818571428571429,0.793809523809524,0.786666666666667,0.806666666666667,0.796190476190476,0.84,0.807142857142857,0.785238095238095,0.792380952380952,0.804285714285714,0.837142857142857,0.807619047619048,0.751428571428571,0.826742056787623,0.818644655239145,0.782881301569554,0.852727817950706,0.828986887668643,0.844625866026724,0.768069080864469,0.828185981994519,0.79781788982459,0.788955603749888,0.789237161115727,0.818531048187343,0.79658211082656,0.80286382764078,0.832388573480715,0.766160850033534,0.762072238412144,0.82032790190263,0.819849187992384,0.801226649284216,0.726502241874184,0.723554967483749,0.749694160844808,0.737999088272113,0.73436708727699,0.812856233283411,0.772038298632568,0.81557448475455,0.822405244811868,0.780989776994238,0.799110748632035,0.829929662838556,0.763658754800627,0.771953520651798,0.870782442176202,0.809858553159494,0.799873102825523,0.779720175961006,0.831806432138553,0.829862263144151,0.808854230479253,0.798070263539502
