"Category","ID","Latitude","Longitude","Date","SMAP_Tile","SPL3SMP_E_006_Line_Y_9km","SPL3SMP_E_006_Sample_X_9km","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_dca","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_scah","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_scav","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_surface_temperature","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_clay_fraction_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_dca_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_error_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_scah_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_scav_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_surface_temperature_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_vegetation_water_content_pm"
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-01","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-02","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-03","h00v00",255,674,0.1589968,0.1589968,0.0979115,0.1390097,274.6867981,0.2238095,0.2094363,-9999,0.2094363,0.1310106,0.1791496,275.0047607,0.3133022
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-04","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.2322111,-9999,0.2322111,0.1315012,0.1909678,275.082489,0.3126929
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-05","h00v00",255,674,-9999,-9999,-9999,-9999,275.0809326,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-06","h00v00",255,674,-9999,-9999,-9999,-9999,274.5689697,0.2238095,-9999,-9999,-9999,-9999,-9999,275.1185303,0.3117524
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-07","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-08","h00v00",255,674,0.162369,0.162369,0.0913634,0.1389549,275.1078796,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-09","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,-9999,-9999,-9999,-9999,-9999,275.1984253,0.3106613
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-10","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
