"Date","Hour","Site","ambient","hourlyairTemp_C","DayNight","Black","White"
2021-10-01,"0","SheepStation",7.7875,4.277777778,"Night",9.693749905,7.125
2021-10-01,"1","SheepStation",6.8375,3.555555556,"Night",8.6875,6.299999992
2021-10-01,"10","SheepStation",11.4625,14.44444444,"Day",12.91249996,9.866666635
2021-10-01,"11","SheepStation",16.125,15.72222222,"Day",18.09375,13.80833324
2021-10-01,"12","SheepStation",19.075,16.77777778,"Day",21.44375002,16.49166671
2021-10-01,"13","SheepStation",21.6625,17.55555556,"Day",24.17500019,18.72499991
2021-10-01,"14","SheepStation",23.4625,18.61111111,"Day",25.99374998,20.33333333
2021-10-01,"15","SheepStation",24.6375,19.05555556,"Day",27.17499995,21.33333349
2021-10-01,"16","SheepStation",24.9625,18.83333333,"Day",27.35625017,21.48333343
2021-10-01,"17","SheepStation",23.825,17.66666667,"Day",26.19374991,20.5333333
2021-10-01,"18","SheepStation",21.2875,14.83333333,"Day",23.84375,18.60833343
2021-10-01,"19","SheepStation",17.175,12.83333333,"Night",20.10624993,15.36666664
2021-10-01,"2","SheepStation",6.0625,2.611111111,"Night",7.762499958,5.541666667
2021-10-01,"20","SheepStation",13.45,10,"Night",16.50624996,12.24166671
2021-10-01,"21","SheepStation",11.6,9,"Night",14.25624996,10.56666676
2021-10-01,"22","SheepStation",10.65,9.555555556,"Night",12.91250008,9.675000111
2021-10-01,"23","SheepStation",10.075,8.277777778,"Night",12.08124989,9.224999984
2021-10-01,"3","SheepStation",5.4625,2.5,"Night",7.056250036,5.008333286
2021-10-01,"4","SheepStation",5.1,1.777777778,"Night",6.53125,4.650000016
2021-10-01,"5","SheepStation",4.7,1.944444444,"Night",6.075000018,4.308333317
2021-10-01,"6","SheepStation",4.4,2.388888889,"Night",5.706250012,4.041666667
2021-10-01,"7","SheepStation",4.1875,4.333333333,"Day",5.431250006,3.891666631
2021-10-01,"8","SheepStation",4.5375,9.333333333,"Day",5.837499976,4.274999996
2021-10-01,"9","SheepStation",7.15,12.61111111,"Day",8.46875006,6.399999976
2021-10-02,"0","SheepStation",9.6375,8.444444444,"Night",11.45624989,8.891666572
2021-10-02,"1","SheepStation",9.1,7.666666667,"Night",10.81875002,8.48333327
2021-10-02,"10","SheepStation",12.6625,14.88888889,"Day",14.39999998,11.01666673
2021-10-02,"11","SheepStation",16.5625,16.44444444,"Day",18.78125,14.40833338
2021-10-02,"12","SheepStation",20.025,17.55555556,"Day",22.45624995,17.42500011
2021-10-02,"13","SheepStation",22.775,18.55555556,"Day",25.23749995,19.78333299
2021-10-02,"14","SheepStation",24.65,19.27777778,"Day",27.09375012,21.39999994
2021-10-02,"15","SheepStation",25.5625,20,"Day",27.94374991,22.10833327
2021-10-02,"16","SheepStation",25.6375,20,"Day",27.97500002,22.09166654
2021-10-02,"17","SheepStation",24.275,18.72222222,"Day",26.55624998,21.04166667
2021-10-02,"18","SheepStation",21.8125,14.66666667,"Day",24.21249986,19.14166657
2021-10-02,"19","SheepStation",17.875,11.88888889,"Night",20.68124998,15.95833341
2021-10-02,"2","SheepStation",8.7625,7.666666667,"Night",10.33124989,8.216666698
2021-10-02,"20","SheepStation",14.425,11.55555556,"Night",17.29375005,13.13333321
2021-10-02,"21","SheepStation",12.275,10.22222222,"Night",14.96875012,11.24166656
2021-10-02,"22","SheepStation",10.8125,8.833333333,"Night",13.23125005,9.85833327
2021-10-02,"23","SheepStation",9.65,8.333333333,"Night",11.85000002,8.799999952
2021-10-02,"3","SheepStation",8.6625,7.166666667,"Night",10.09375,8.150000016
2021-10-02,"4","SheepStation",8.025,6.166666667,"Night",9.4375,7.558333317
2021-10-02,"5","SheepStation",7.575,5.777777778,"Night",8.925000012,7.150000016
2021-10-02,"6","SheepStation",7.0125,5.055555556,"Night",8.356250048,6.674999992
2021-10-02,"7","SheepStation",6.5375,6.222222222,"Day",7.84375003,6.216666699
2021-10-02,"8","SheepStation",6.55,10.44444444,"Day",7.931250006,6.258333325
