Date,Site,graveltrt,n_sensors,n_dailytimepoints,avgmindailyvwc,avgmaxdailyvwc,VWC.avg,sd_vwc.avg,threeormoresensors,alldailytimepoints
9/30/2021,Sheep Station,Black,4,32,0.10750076,0.120390363,0.113945561,0.016785341,1,0
9/30/2021,Sheep Station,White,3,32,0.08582665,0.093384129,0.08960539,0.005344715,1,0
10/1/2021,Sheep Station,Black,4,96,0.10360717,0.121814912,0.112711041,0.017091755,1,1
10/1/2021,Sheep Station,White,3,96,0.08328641,0.093389226,0.088337818,0.004779393,1,1
10/2/2021,Sheep Station,Black,4,96,0.104640948,0.121476831,0.113058889,0.017218491,1,1
10/2/2021,Sheep Station,White,3,96,0.083926233,0.0932321,0.088579167,0.004503236,1,1
10/3/2021,Sheep Station,Black,4,96,0.102673799,0.120126335,0.111400067,0.017666598,1,1
10/3/2021,Sheep Station,White,3,96,0.082493203,0.092294427,0.087393815,0.004318124,1,1
10/4/2021,Sheep Station,Black,4,96,0.101983752,0.119006708,0.11049523,0.017621749,1,1
10/4/2021,Sheep Station,White,3,96,0.08185673,0.092136917,0.086996824,0.004235825,1,1
10/5/2021,Sheep Station,Black,4,96,0.101051135,0.116199261,0.108625198,0.017824944,1,1
10/5/2021,Sheep Station,White,3,96,0.08185673,0.090723909,0.08629032,0.004241295,1,1
10/6/2021,Sheep Station,Black,4,96,0.102214359,0.113854237,0.108034298,0.017239307,1,1
10/6/2021,Sheep Station,White,3,96,0.080904605,0.088995491,0.084950048,0.002971617,1,1
10/7/2021,Sheep Station,Black,4,96,0.100955781,0.175749924,0.138352852,0.022491971,1,1
10/7/2021,Sheep Station,White,3,96,0.079940848,0.146746735,0.113343791,0.007423544,1,1
10/8/2021,Sheep Station,Black,4,96,0.171683021,0.264602352,0.218142686,0.017741422,1,1
10/8/2021,Sheep Station,White,3,96,0.145084947,0.230837067,0.187961007,0.014152494,1,1
10/9/2021,Sheep Station,Black,4,96,0.227689609,0.246852916,0.237271262,0.021304034,1,1
10/9/2021,Sheep Station,White,3,96,0.184038594,0.20666343,0.195351012,0.010137903,1,1
10/10/2021,Sheep Station,Black,4,96,0.215053629,0.229369558,0.222211594,0.024412067,1,1
10/10/2021,Sheep Station,White,3,96,0.170221349,0.183779503,0.177000426,0.009823294,1,1
10/11/2021,Sheep Station,Black,4,96,0.212064296,0.237203892,0.224634094,0.022201678,1,1
10/11/2021,Sheep Station,White,3,96,0.169685716,0.191610292,0.180648004,0.008355493,1,1
10/12/2021,Sheep Station,Black,4,96,0.211102929,0.228205394,0.219654161,0.024595144,1,1
10/12/2021,Sheep Station,White,3,96,0.164518858,0.179956332,0.172237595,0.009518645,1,1
10/13/2021,Sheep Station,Black,4,96,0.209304407,0.216857724,0.213081066,0.023761722,1,1
10/13/2021,Sheep Station,White,3,96,0.164537619,0.171056171,0.167796895,0.006926648,1,1
10/14/2021,Sheep Station,Black,4,96,0.20389203,0.215137504,0.209514767,0.022720981,1,1
10/14/2021,Sheep Station,White,3,96,0.161811431,0.169169957,0.165490694,0.005733508,1,1
10/15/2021,Sheep Station,Black,4,96,0.194112666,0.20706353,0.200588098,0.021062676,1,1
10/15/2021,Sheep Station,White,3,96,0.151253526,0.162091563,0.156672545,0.004415287,1,1
10/16/2021,Sheep Station,Black,4,96,0.188863892,0.202683028,0.19577346,0.018559215,1,1
10/16/2021,Sheep Station,White,3,96,0.147732809,0.15906621,0.15339951,0.003410811,1,1
10/17/2021,Sheep Station,Black,4,96,0.184742082,0.197025061,0.190883571,0.016842046,1,1
10/17/2021,Sheep Station,White,3,96,0.148302401,0.156573996,0.152438199,0.002557551,1,1
10/18/2021,Sheep Station,Black,4,96,0.180941962,0.192843053,0.186892508,0.015395631,1,1
10/18/2021,Sheep Station,White,3,96,0.146318942,0.154207458,0.1502632,0.002321206,1,1
