Date,Site,graveltrt,n_sensors,n_dailytimepoints,avgmindailyTemp_C,avgmaxdailyTemp_C,avg_Temp_C,sd_Temp_C.avg,threeormoresensors,alldailytimepoints,DailyTdiff,Possiblesnowcover_2degrees,Possiblesnowcover_1degree,Year,Month,quarter,Experimentyear,Frostheaveissue
9/30/2021,Sheep Station,Black,4,32,10.29999995,26.82500029,18.56250012,0.394493667,1,0,16.52500033,0,0,2021,Sep,Q3,Year1,NA
9/30/2021,Sheep Station,White,3,32,7.566666762,22.13333257,14.84999967,0.346410244,1,0,14.56666581,0,0,2021,Sep,Q3,Year1,NA
10/1/2021,Sheep Station,Black,4,96,5.325000048,27.4749999,16.39999998,0.437797273,1,1,22.14999986,0,0,2021,Oct,Q4,Year1,NA
10/1/2021,Sheep Station,White,3,96,3.866666635,21.56666692,12.71666678,0.160727755,1,1,17.70000029,0,0,2021,Oct,Q4,Year1,NA
10/2/2021,Sheep Station,Black,4,96,7.550000191,28.19999981,17.875,0.462781485,1,1,20.64999962,0,0,2021,Oct,Q4,Year1,NA
10/2/2021,Sheep Station,White,3,96,5.966666698,22.29999987,14.13333329,0.12583047,1,1,16.33333317,0,0,2021,Oct,Q4,Year1,NA
10/3/2021,Sheep Station,Black,4,96,5.949999928,27.79999971,16.87499982,0.436844554,1,1,21.84999979,0,0,2021,Oct,Q4,Year1,NA
10/3/2021,Sheep Station,White,3,96,4.133333365,21.96666718,13.05000027,0.180277656,1,1,17.83333381,0,0,2021,Oct,Q4,Year1,NA
10/4/2021,Sheep Station,Black,4,96,6.875,28.30000019,17.5875001,0.451617611,1,1,21.42500019,0,0,2021,Oct,Q4,Year1,NA
10/4/2021,Sheep Station,White,3,96,5.066666603,22.63333321,13.8499999,0.173205329,1,1,17.5666666,0,0,2021,Oct,Q4,Year1,NA
10/5/2021,Sheep Station,Black,4,96,7.299999952,26.95000029,17.12500012,0.483907728,1,1,19.65000033,0,0,2021,Oct,Q4,Year1,NA
10/5/2021,Sheep Station,White,3,96,5.466666698,21.76666641,13.61666656,0.225462378,1,1,16.29999971,0,0,2021,Oct,Q4,Year1,NA
10/6/2021,Sheep Station,Black,4,96,11.20000005,24.7249999,17.96249998,0.193110819,1,1,13.52499986,0,0,2021,Oct,Q4,Year1,NA
10/6/2021,Sheep Station,White,3,96,9.23333327,19.83333333,14.5333333,0.202072343,1,1,10.60000006,0,0,2021,Oct,Q4,Year1,NA
10/7/2021,Sheep Station,Black,4,96,9.849999905,15.75,12.79999995,0.158113883,1,1,5.900000095,0,0,2021,Oct,Q4,Year1,NA
10/7/2021,Sheep Station,White,3,96,8.76666673,13.33333333,11.05000003,0.100000143,1,1,4.566666603,0,0,2021,Oct,Q4,Year1,NA
10/8/2021,Sheep Station,Black,4,96,9.375,16.07500005,12.72500002,0.184842228,1,1,6.700000048,0,0,2021,Oct,Q4,Year1,NA
10/8/2021,Sheep Station,White,3,96,8.699999809,13.39999994,11.04999987,0.049999952,1,1,4.700000127,0,0,2021,Oct,Q4,Year1,NA
10/9/2021,Sheep Station,Black,4,96,8.024999857,17.375,12.69999993,0.168325016,1,1,9.350000143,0,0,2021,Oct,Q4,Year1,NA
10/9/2021,Sheep Station,White,3,96,7.566666603,14.0666666,10.8166666,0.076376423,1,1,6.5,0,0,2021,Oct,Q4,Year1,NA
10/10/2021,Sheep Station,Black,4,96,6.924999952,14.625,10.77499998,0.189296806,1,1,7.700000048,0,0,2021,Oct,Q4,Year1,NA
10/10/2021,Sheep Station,White,3,96,6.133333206,11.23333359,8.683333397,0.076376189,1,1,5.100000381,0,0,2021,Oct,Q4,Year1,NA
10/11/2021,Sheep Station,Black,4,96,2.274999976,7.625,4.949999988,0.367423506,1,1,5.350000024,0,0,2021,Oct,Q4,Year1,NA
10/11/2021,Sheep Station,White,3,96,1.899999976,6.666666508,4.283333242,0.028867486,1,1,4.766666532,0,0,2021,Oct,Q4,Year1,NA
10/12/2021,Sheep Station,Black,4,96,1.625,4.499999881,3.06249994,0.278013763,1,1,2.874999881,0,0,2021,Oct,Q4,Year1,NA
10/12/2021,Sheep Station,White,3,96,1.5,3.166666667,2.333333333,0.076376254,1,1,1.666666667,1,0,2021,Oct,Q4,Year1,NA
10/13/2021,Sheep Station,Black,4,96,1.699999988,6.125000119,3.912500054,0.2174665,1,1,4.425000131,0,0,2021,Oct,Q4,Year1,NA
10/13/2021,Sheep Station,White,3,96,1.600000024,4.26666673,2.933333377,0.028867624,1,1,2.666666706,0,0,2021,Oct,Q4,Year1,NA
10/14/2021,Sheep Station,Black,4,96,1.949999958,13.5250001,7.737500027,0.256173848,1,1,11.57500014,0,0,2021,Oct,Q4,Year1,NA
10/14/2021,Sheep Station,White,3,96,1.733333349,9.46666654,5.599999944,0.180277425,1,1,7.73333319,0,0,2021,Oct,Q4,Year1,NA
10/15/2021,Sheep Station,Black,4,96,1.275000006,15.62499976,8.449999884,0.141421376,1,1,14.34999976,0,0,2021,Oct,Q4,Year1,NA
10/15/2021,Sheep Station,White,3,96,0.933333337,10.36666679,5.650000066,0.132287428,1,1,9.433333457,0,0,2021,Oct,Q4,Year1,NA
10/16/2021,Sheep Station,Black,4,96,1.449999988,19.07500029,10.26250014,0.074999988,1,1,17.6250003,0,0,2021,Oct,Q4,Year1,NA
10/16/2021,Sheep Station,White,3,96,0.933333337,13.03333314,6.98333324,0.144337473,1,1,12.09999981,0,0,2021,Oct,Q4,Year1,NA
10/17/2021,Sheep Station,Black,4,96,2.424999952,18.72500038,10.57500017,0.049999873,1,1,16.30000043,0,0,2021,Oct,Q4,Year1,NA
10/17/2021,Sheep Station,White,3,96,1.700000008,13.99999968,7.849999845,0.17320507,1,1,12.29999967,0,0,2021,Oct,Q4,Year1,NA
10/18/2021,Sheep Station,Black,4,96,4.850000024,20.19999981,12.52499992,0.275378705,1,1,15.34999979,0,0,2021,Oct,Q4,Year1,NA
10/18/2021,Sheep Station,White,3,96,3.700000048,15.23333295,9.4666665,0.288675135,1,1,11.5333329,0,0,2021,Oct,Q4,Year1,NA
10/19/2021,Sheep Station,Black,4,96,6.575000048,17.19999981,11.88749993,0.075000048,1,1,10.62499976,0,0,2021,Oct,Q4,Year1,NA
10/19/2021,Sheep Station,White,3,96,5.033333302,14,9.516666651,0.202072402,1,1,8.966666698,0,0,2021,Oct,Q4,Year1,NA
10/20/2021,Sheep Station,Black,4,96,5.575000048,15.125,10.35000002,0.135400746,1,1,9.549999952,0,0,2021,Oct,Q4,Year1,NA
10/20/2021,Sheep Station,White,3,96,4.666666508,11.63333321,8.149999857,0.173205122,1,1,6.966666698,0,0,2021,Oct,Q4,Year1,NA
10/21/2021,Sheep Station,Black,4,96,4.700000048,19.0250001,11.86250007,0.110867836,1,1,14.32500005,0,0,2021,Oct,Q4,Year1,NA
10/21/2021,Sheep Station,White,3,96,3.799999952,14.70000013,9.25000004,0.22912867,1,1,10.90000017,0,0,2021,Oct,Q4,Year1,NA
10/22/2021,Sheep Station,Black,4,96,3.725000024,18.92500067,11.32500035,0.184842303,1,1,15.20000064,0,0,2021,Oct,Q4,Year1,NA
10/22/2021,Sheep Station,White,3,96,2.833333333,14.76666641,8.799999873,0.264575082,1,1,11.93333308,0,0,2021,Oct,Q4,Year1,NA
10/23/2021,Sheep Station,Black,4,96,5.950000048,13.52499986,9.737499952,0.110867782,1,1,7.574999809,0,0,2021,Oct,Q4,Year1,NA
10/23/2021,Sheep Station,White,3,96,4.800000032,10.76666673,7.783333381,0.125830564,1,1,5.966666698,0,0,2021,Oct,Q4,Year1,NA
10/24/2021,Sheep Station,Black,4,96,4.675000072,9.125,6.900000036,0.212132132,1,1,4.449999928,0,0,2021,Oct,Q4,Year1,NA
10/24/2021,Sheep Station,White,3,96,3.800000032,7.666666667,5.733333349,0.028867589,1,1,3.866666635,0,0,2021,Oct,Q4,Year1,NA
10/25/2021,Sheep Station,Black,4,96,6.125,8.125000119,7.12500006,0.155456284,1,1,2.000000119,0,0,2021,Oct,Q4,Year1,NA
10/25/2021,Sheep Station,White,3,96,5.933333397,7.699999968,6.816666683,0.057735041,1,1,1.766666571,1,0,2021,Oct,Q4,Year1,NA
10/26/2021,Sheep Station,Black,4,96,3.699999988,13.9000001,8.800000042,0.191485291,1,1,10.20000011,0,0,2021,Oct,Q4,Year1,NA
10/26/2021,Sheep Station,White,3,96,2.966666698,10.5,6.733333349,0.284311995,1,1,7.533333302,0,0,2021,Oct,Q4,Year1,NA
10/27/2021,Sheep Station,Black,4,96,2.800000012,15.14999986,8.974999934,0.104083287,1,1,12.34999985,0,0,2021,Oct,Q4,Year1,NA
10/27/2021,Sheep Station,White,3,96,2.400000095,10.89999994,6.650000016,0.149999857,1,1,8.499999841,0,0,2021,Oct,Q4,Year1,NA
10/28/2021,Sheep Station,Black,4,96,3,14.20000029,8.600000143,0.122474516,1,1,11.20000029,0,0,2021,Oct,Q4,Year1,NA
10/28/2021,Sheep Station,White,3,96,2.366666714,10.09999975,6.23333323,0.144337636,1,1,7.733333031,0,0,2021,Oct,Q4,Year1,NA
10/29/2021,Sheep Station,Black,4,96,5.974999905,16.07500005,11.02499998,0.184842378,1,1,10.10000014,0,0,2021,Oct,Q4,Year1,NA
10/29/2021,Sheep Station,White,3,96,4.76666673,12.03333314,8.399999936,0.180277524,1,1,7.266666412,0,0,2021,Oct,Q4,Year1,NA
10/30/2021,Sheep Station,Black,4,96,5.349999905,19.57499981,12.46249986,0.275000225,1,1,14.2249999,0,0,2021,Oct,Q4,Year1,NA
10/30/2021,Sheep Station,White,3,96,4.366666794,14.5666666,9.466666698,0.292973168,1,1,10.19999981,0,0,2021,Oct,Q4,Year1,NA
10/31/2021,Sheep Station,Black,4,96,3.050000012,10.54999995,6.799999982,0.108012426,1,1,7.49999994,0,0,2021,Oct,Q4,Year1,NA
10/31/2021,Sheep Station,White,3,96,2.566666603,8.266666571,5.416666587,0.144337498,1,1,5.699999968,0,0,2021,Oct,Q4,Year1,NA
11/1/2021,Sheep Station,Black,4,96,2.574999928,12.95000005,7.762499988,0.160077978,1,1,10.37500012,0,0,2021,Nov,Q4,Year1,NA
11/1/2021,Sheep Station,White,3,96,2.166666667,9.899999936,6.033333302,0.144337636,1,1,7.73333327,0,0,2021,Nov,Q4,Year1,NA
11/2/2021,Sheep Station,Black,4,96,5.899999976,13.25000024,9.575000107,0.155456387,1,1,7.350000262,0,0,2021,Nov,Q4,Year1,NA
11/2/2021,Sheep Station,White,3,96,5.133333206,10.43333308,7.783333143,0.152752508,1,1,5.299999873,0,0,2021,Nov,Q4,Year1,NA
11/3/2021,Sheep Station,Black,4,96,5.449999928,11.57500005,8.512499988,0.170171483,1,1,6.125000119,0,0,2021,Nov,Q4,Year1,NA
11/3/2021,Sheep Station,White,3,96,4.533333302,9.333333333,6.933333317,0.12583058,1,1,4.800000032,0,0,2021,Nov,Q4,Year1,NA
11/4/2021,Sheep Station,Black,4,96,3.175000012,16.10000038,9.637500197,0.085391425,1,1,12.92500037,0,0,2021,Nov,Q4,Year1,NA
11/4/2021,Sheep Station,White,3,96,2.766666651,11.96666686,7.366666754,0.175594186,1,1,9.200000207,0,0,2021,Nov,Q4,Year1,NA
11/5/2021,Sheep Station,Black,4,96,3.299999952,14.74999976,9.024999857,0.049999952,1,1,11.44999981,0,0,2021,Nov,Q4,Year1,NA
11/5/2021,Sheep Station,White,3,96,2.733333349,10.83333333,6.783333341,0.125830675,1,1,8.099999984,0,0,2021,Nov,Q4,Year1,NA
11/6/2021,Sheep Station,Black,4,96,2.600000024,9.650000095,6.12500006,0.155456412,1,1,7.050000072,0,0,2021,Nov,Q4,Year1,NA
11/6/2021,Sheep Station,White,3,96,2.066666603,7,4.533333302,0.057734972,1,1,4.933333397,0,0,2021,Nov,Q4,Year1,NA
11/7/2021,Sheep Station,Black,4,96,2.050000012,12.67500019,7.362500101,0.149303974,1,1,10.62500018,0,0,2021,Nov,Q4,Year1,NA
11/7/2021,Sheep Station,White,3,96,1.433333317,9.399999936,5.416666627,0.125830442,1,1,7.966666619,0,0,2021,Nov,Q4,Year1,NA
11/8/2021,Sheep Station,Black,4,96,-0.625,8.400000095,3.887500048,0.110867621,1,1,9.025000095,0,0,2021,Nov,Q4,Year1,NA
11/8/2021,Sheep Station,White,3,96,-0.533333346,2.899999936,1.183333295,0.104083309,1,1,3.433333283,0,0,2021,Nov,Q4,Year1,NA
11/9/2021,Sheep Station,Black,4,96,-0.150000004,1.450000018,0.650000007,0.177951296,1,1,1.600000022,1,0,2021,Nov,Q4,Year1,NA
11/9/2021,Sheep Station,White,3,96,-0.433333342,0.700000008,0.133333333,0.144337572,1,1,1.13333335,1,0,2021,Nov,Q4,Year1,NA
11/10/2021,Sheep Station,Black,4,96,0.650000006,9.600000143,5.125000075,0.253311322,1,1,8.950000137,0,0,2021,Nov,Q4,Year1,NA
11/10/2021,Sheep Station,White,3,96,0.366666675,3.966666698,2.166666687,0.057734998,1,1,3.600000024,0,0,2021,Nov,Q4,Year1,NA
11/11/2021,Sheep Station,Black,4,96,-0.125000002,7.125000119,3.500000059,0.204124181,1,1,7.250000121,0,0,2021,Nov,Q4,Year1,NA
11/11/2021,Sheep Station,White,3,96,-0.366666675,1.566666683,0.600000004,0.086602527,1,1,1.933333357,1,0,2021,Nov,Q4,Year1,NA
