site,year,albedo,genotype,plot_unique,plantID,density,block,plot,x,y,emergence,first_flower,v_phen,last_phen_status,note_standard_phen,live_harvest,v_harvest,tillers,veg_mass,inflor_mass,seed_count_total,note_standard_harvest,seed_count,survived_to_flower,possible_neighbors,neighbors,prop_survived,new_neighbors,clim_dist,PC1,vwc_avg,temp_surv,temp_fecun
BA,2022,black,45,BA_10_3,Boise2022_3828,hi,10,3,3,8,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,50,11,0.2191780821917808,21.958904109589042,2.923822777751333,2.1620731384149563,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,104,BA_8_4,Boise2022_3167,hi,8,4,7,7,Y,158,FG,Y,herbivory,Y,FB,1,0.036,0,0,physical_damage,0,N,73,23,0.30434782608695654,31.217391304347828,-1.6509554083850633,-2.41270504772144,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,12,BA_2_1,Boise2022_473,hi,2,1,8,3,Y,144,FG,Y,NA,Y,FB,3,0.037,0.035,11,NA,11,Y,49,15,0.2564102564102564,28.076923076923077,0.2574436585187869,-0.5043059808175898,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,28,BA_2_4,Boise2022_782,lo,2,4,17,2,Y,NA,NA,N,frost_heave,N,NA,0,0,0,0,NA,0,N,3,0,0.16091954022988506,0.16091954022988506,3.6480985956448593,2.8863489563084825,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,103,BA_7_2,Boise2022_2571,hi,7,2,8,1,Y,158,FG,Y,herbivory,Y,FB,2,0.14,0.015,5,physical_damage,5,Y,40,16,0.4823529411764706,44.94117647058823,4.3894935993429325,3.6277439600065553,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,101,BA_4_1,Boise2022_1228,hi,4,1,3,8,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,51,17,0.32926829268292684,33.13414634146342,-5.0721964139226845,-5.833946053259061,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,36,BA_2_1,Boise2022_450,hi,2,1,5,10,Y,144,FG,Y,NA,Y,FP,2,0.047,0.021,9,physical_damage,9,Y,45,10,0.2564102564102564,24.102564102564102,0.2112922608269474,-0.5504573785094293,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,26,BA_7_3,Boise2022_2619,lo,7,3,4,4,Y,NA,V3,N,herbivory,N,NA,0,0,0,0,NA,0,N,2,0,0.2916666666666667,0.5833333333333334,1.2578527268098365,0.49610308747345977,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,34,BA_1_4,Boise2022_317,hi,1,4,2,7,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,57,19,0.3522727272727273,34.14772727272727,-1.7214988229613506,-2.4832484622977273,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,42,BA_5_1,Boise2022_1603,lo,5,1,1,3,Y,NA,V0,N,NA,N,NA,0,0,0,0,NA,0,N,2,0,0.05970149253731343,0.11940298507462686,-2.9518574938699658,-3.7136071332063425,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,30,BA_1_4,Boise2022_367,hi,1,4,7,7,Y,131,FG,Y,herbivory,Y,FP/FB,2,0.011,0.05,23,NA,23,Y,73,27,0.3522727272727273,36.51136363636364,-3.132323613130964,-3.894073252467341,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,51,BA_8_1,Boise2022_2883,lo,8,1,17,3,Y,143,FG,Y,herbivory,Y,FB,17,2.06,0.56,217,physical_damage,217,Y,4,0,0.25301204819277107,0,4.233213020271256,3.4714633809348796,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,37,BA_8_1,Boise2022_2862,lo,8,1,13,2,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,4,2,0.25301204819277107,2,-2.0710262253809217,-2.8327758647172985,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,32,BA_9_2,Boise2022_3337,hi,9,2,4,7,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,58,23,0.39436619718309857,39.563380281690144,-2.2408764702296002,-3.002626109565977,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,20,BA_4_1,Boise2022_1217,hi,4,1,2,7,Y,NA,NA,N,frost_heave,N,NA,0,0,0,0,NA,0,N,48,16,0.32926829268292684,33.1219512195122,-0.39819996488731113,-1.1599496042236879,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,32,BA_8_4,Boise2022_3157,hi,8,4,6,7,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,81,26,0.30434782608695654,31.782608695652172,-2.2408764702296002,-3.002626109565977,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,17,BA_6_1,Boise2022_2041,lo,6,1,9,1,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,2,1,0.32432432432432434,1.6486486486486487,1.9575075260070696,1.1957578866706928,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,18,BA_5_2,Boise2022_1785,hi,5,2,9,5,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,60,11,0.20689655172413793,19.275862068965516,-0.6387302363718312,-1.400479875708208,0.12451676241538462,5.665413523368422,8.608614848054055
