"row_index","genotype","site"
1,"1","AAFC4"
2,"2","AAFC5"
3,"3","AAFC6"
4,"5","AAFC8"
5,"6","AAFC9"
6,"7","AAFC10"
7,"9","Adler5"
8,"12","Schupp2"
9,"13","Schupp1"
10,"14","Adler13"
11,"16","Adler16"
12,"17","Adler17"
13,"18","Adler18"
14,"19","Barnett1"
15,"20","Baughman3"
16,"21","Baughman2"
17,"26","Chynoweth1"
18,"27","Board1"
19,"28","Bradford1"
20,"29","Chambers1"
21,"30","Chambers2"
22,"31","Urza1"
23,"32","Chambers4"
24,"33","Chambers5"
25,"34","Chambers6"
26,"35","Chambers7"
27,"36","Chambers8"
28,"37","Chambers9"
29,"38","Copeland1"
30,"39","Copeland5"
31,"40","Copeland9"
32,"42","Downs1"
33,"43","Downs2"
34,"44","Downs3"
35,"45","Fleishman1"
36,"46","Fleishman5"
37,"47","Fleishman7"
38,"48","Getts1"
39,"49","Getts3"
40,"51","Holdrege1"
41,"52","Hufft1"
42,"59","Lavin1"
43,"60","Lavin2"
44,"61","Lee1"
45,"62","Lee2"
46,"63","Lee3"
47,"64","Lee4"
48,"65","Leger1"
49,"66","Maron1"
50,"67","Maron2"
51,"71","Porensky30"
52,"72","Pyke3"
53,"73","Pyke8"
54,"74","Pyke21"
55,"75","Pyle1"
56,"76","Pyle9"
57,"77","Pyle10"
58,"79","Pyle15"
59,"81","Pyle17"
60,"82","Pyle19"
61,"83","Reed1"
62,"84","Reed3"
63,"86","Schupp3"
64,"87","Schupp4"
65,"88","Schupp5"
66,"89","Symstad1"
67,"90","Symstad2"
68,"91","Symstad3"
69,"93","Urza2"
70,"95","Wilcox2"
71,"96","Chynoweth2"
72,"97","Chynoweth3"
73,"98","Chynoweth5"
74,"99","Chynoweth7"
75,"100","Chynoweth8"
76,"102","Shriver2"
77,"103","Davies03"
78,"104","GerminoBOP1"
79,"150","Mancillas01"
80,"G200","Boise_High 2022"
81,"G201","Boise_Low 2022"
82,"G202","CG PASTURE 2022"
83,"G203","CaseAoyamaS1 2022"
84,"G204","CastValley 2021"
85,"G205","EOARC 2022"
86,"G206","EnsingS1 SuRDC 2022"
87,"G207","EnsingS2 Summerland-Princeton 2022"
88,"G208","EnsingS3 Bear Creek 2022"
89,"G209","EnsingS4 Lundbom 2022"
90,"G210","FAR NORTH CPER 2022"
91,"G211","FtK_Cottonwood_Coulee 2021"
92,"G212","FtK_Lone_Pine 2021"
93,"G213","GoeblS1 2024"
94,"G214","GreenCanyon 2021"
95,"G215","HPGRS AGCR 2022"
96,"G216","HardwareRanch 2022"
97,"G217","K1_vanDiepen 2022"
98,"G218","L1_vanDiepen 2022"
99,"G219","MPG_IR 2021"
100,"G220","MPG_SR 2021"
101,"G221","MPG_TH 2021"
102,"G222","NEAR 4WAY CPER 2022"
103,"G223","NEAR HQ CPER 2022"
104,"G224","NEAR NUTNET 2022"
105,"G225","OttS1 2022"
106,"G226","PMR- Brome 2021"
107,"G227","Pearlwise 2024"
108,"G228","Peavine 2022"
109,"G229","Plymouth 2022"
110,"G230","RedBluff 2023"
111,"G231","Rush_Valley 2022"
112,"G232","SSHQ 2022"
113,"G233","SSHigh 2022"
114,"G234","SouthEden 2022"
115,"G235","Symstad1 2021"
116,"G236","Symstad2 2022"
117,"G237","TB FIRE 2022"
118,"G238","TB LC Control 2022"
119,"G239","TB PRAIRIE DOG 2022"
120,"G240","Woodruff 2022"
121,"G241","dino 2024"
