"row_index","genotype","site"
1,"7","AAFC10"
2,"151","AAFC2"
3,"1","AAFC4"
4,"2","AAFC5"
5,"3","AAFC6"
6,"5","AAFC8"
7,"6","AAFC9"
8,"152","Adler11"
9,"14","Adler13"
10,"153","Adler14"
11,"16","Adler16"
12,"17","Adler17"
13,"18","Adler18"
14,"154","Adler2"
15,"9","Adler5"
16,"155","Arcata1"
17,"156","ArkansasValley_CO"
18,"19","Barnett1"
19,"21","Baughman2"
20,"20","Baughman3"
21,"157","Baughman5"
22,"158","Blumenthal4"
23,"159","Blumenthal7"
24,"27","Board1"
25,"160","BoiseHigh"
26,"28","Bradford1"
27,"161","ChacoCanyon_NM"
28,"29","Chambers1"
29,"30","Chambers2"
30,"32","Chambers4"
31,"33","Chambers5"
32,"34","Chambers6"
33,"35","Chambers7"
34,"36","Chambers8"
35,"37","Chambers9"
36,"26","Chynoweth1"
37,"96","Chynoweth2"
38,"97","Chynoweth3"
39,"98","Chynoweth5"
40,"99","Chynoweth7"
41,"100","Chynoweth8"
42,"162","ClarkIsland1"
43,"163","ClevelandNF1"
44,"164","Comox1"
45,"38","Copeland1"
46,"165","Copeland10"
47,"39","Copeland5"
48,"40","Copeland9"
49,"103","Davies03"
50,"42","Downs1"
51,"43","Downs2"
52,"44","Downs3"
53,"166","Downs4"
54,"167","DryLakes1"
55,"168","Dubois1"
56,"169","ElPrado_NM"
57,"170","Eshleman1"
58,"171","FinelyNWR1"
59,"45","Fleishman1"
60,"172","Fleishman3"
61,"46","Fleishman5"
62,"47","Fleishman7"
63,"173","FrazierMt1"
64,"104","GerminoBOP1"
65,"48","Getts1"
66,"49","Getts3"
67,"174","Getts4"
68,"175","GilaSpgs_NM"
69,"176","HaynesLease1"
70,"51","Holdrege1"
71,"52","Hufft1"
72,"177","IceCaves_NM"
73,"178","IronCreek_NM"
74,"179","Jemez_NM"
75,"180","KlamathMarshNWR1"
76,"181","Lasky3"
77,"59","Lavin1"
78,"60","Lavin2"
79,"61","Lee1"
80,"62","Lee2"
81,"63","Lee3"
82,"64","Lee4"
83,"182","Lee5"
84,"65","Leger1"
85,"183","LincolnNF1"
86,"150","Mancillas01"
87,"66","Maron1"
88,"67","Maron2"
89,"184","Marysville1"
90,"185","MesaVerde_CO"
91,"186","PagosaSpgs_CO"
92,"71","Porensky30"
93,"74","Pyke21"
94,"72","Pyke3"
95,"73","Pyke8"
96,"187","Pyle 021-1"
97,"188","Pyle 022-1"
98,"75","Pyle1"
99,"77","Pyle10"
100,"189","Pyle12"
101,"79","Pyle15"
102,"81","Pyle17"
103,"82","Pyle19"
104,"76","Pyle9"
105,"83","Reed1"
106,"84","Reed3"
107,"190","RockyPrairie1"
108,"13","Schupp1"
109,"12","Schupp2"
110,"86","Schupp3"
111,"87","Schupp4"
112,"88","Schupp5"
113,"102","Shriver2"
114,"191","SuciaIsland1"
115,"192","SumnerRd1"
116,"89","Symstad1"
117,"90","Symstad2"
118,"91","Symstad3"
119,"31","Urza1"
120,"93","Urza2"
121,"193","Urza3"
122,"194","Wilcox1"
123,"95","Wilcox2"
124,"G200","Boise_High 2022"
125,"G201","Boise_Low 2022"
126,"G202","CG PASTURE 2022"
127,"G203","CaseAoyamaS1 2022"
128,"G204","CastValley 2021"
129,"G205","EOARC 2022"
130,"G206","EnsingS1 SuRDC 2022"
131,"G207","EnsingS2 Summerland-Princeton 2022"
132,"G208","EnsingS3 Bear Creek 2022"
133,"G209","EnsingS4 Lundbom 2022"
134,"G210","FAR NORTH CPER 2022"
135,"G211","FtK_Cottonwood_Coulee 2021"
136,"G212","FtK_Lone_Pine 2021"
137,"G213","GoeblS1 2024"
138,"G214","GreenCanyon 2021"
139,"G215","HPGRS AGCR 2022"
140,"G216","HardwareRanch 2022"
141,"G217","K1_vanDiepen 2022"
142,"G218","L1_vanDiepen 2022"
143,"G219","MPG_IR 2021"
144,"G220","MPG_SR 2021"
145,"G221","MPG_TH 2021"
146,"G222","NEAR 4WAY CPER 2022"
147,"G223","NEAR HQ CPER 2022"
148,"G224","NEAR NUTNET 2022"
149,"G225","OttS1 2022"
150,"G226","PMR- Brome 2021"
151,"G227","Pearlwise 2024"
152,"G228","Peavine 2022"
153,"G229","Plymouth 2022"
154,"G230","RedBluff 2023"
155,"G231","Rush_Valley 2022"
156,"G232","SSHQ 2022"
157,"G233","SSHigh 2022"
158,"G234","SouthEden 2022"
159,"G235","Symstad1 2021"
160,"G236","Symstad2 2022"
161,"G237","TB FIRE 2022"
162,"G238","TB LC Control 2022"
163,"G239","TB PRAIRIE DOG 2022"
164,"G240","Woodruff 2022"
165,"G241","dino 2024"
