site,lat,lon
AAFC04,50.08,-120.65
AAFC05,50.09,-120.45
AAFC06,50.09,-120.75
AAFC07,49.9,-120.6
AAFC08,49.57,-120.55
AAFC09,49.62,-119.8
AAFC10,49.71,-120.05
Adler05,40.79,-111.87
Adler09,43.31,-112.27
Adler13,41.44,-111.08
Adler14,41.81,-111.25
Adler16,41.78,-110.2
Adler17,41.44,-110.11
Adler18,40.86,-114.22
BA,43.286047,-116.986919
Barnett01,43.48,-110.74
Baughman2,43.05,-118.87
Baughman3,42.81,-118.96
Baughman5,42.72,-120.08
Blumenthal01,41.18,-104.9
Blumenthal08,40.64,-104.56
Blumenthal10,40.92,-102.52
Board1,38.84,-117.57
Bradford01,35.23,-111.62
CH,41.18,-104.9
Chambers01,39.55,-119.58
Chambers02,39.95,-118.76
Chambers04,41.31,-117.63
Chambers05,41.54,-117.75
Chambers06,41.54,-117.78
Chambers07,43.94,-116.19
Chambers08,42.24,-114.57
Chambers09,40.66,-116.73
Chynoweth01,39.76604,-109.5635
Chynoweth02,40.29092,-109.68361
Chynoweth03,39.83576,-109.61202
Chynoweth05,40.480805,-109.438229
Chynoweth07,40.533605,-109.523564
Chynoweth08,40.640878,-109.48689
Copeland01,43.7,-117.33
Copeland05,42.27,-118.71
Copeland09,43.47,-119.68
Copeland10,42.77,-118.74
Davies03,42.68,-118.68
Downs01,46.38145,-119.430272
Downs02,46.25045,-119.53334
Downs03,45.9663,-120.3671
Eshleman1,42.9,-107.71
Fleishman_01,38.47,-119.49
Fleishman_05,39.12,-117.27
Fleishman_07,39.17,-117.44
Germino BOP 01,43.4720833,-116.2338306
Getts1,41.17,-120.5
Getts3,40.43,-120.67
Getts4,41.71,-120.28
Holdrege1,41.61,-111.57
Hufbauer01,40.559085,-105.144169
Hufft1,38.6701,-108.3286
Hufft2,39.547444,-105.102111
JackieOtt1,43.65,-102.97
JackieOtt2,43.71,-102.32
JackieOtt5,43.78,-102.61
JackieOtt6,43.84,-101.94
JackieOtt7,43.82,-101.94
Lavin01,44.68,-109.07
Lavin02,45.67,-111.03
Lee1,36.82340833,-116.0163889
Lee2,35.3984,-115.7845
Lee3,36.5247,-115.8987
Lee4,35.4564,-115.52
Leger 1,39.49,-119.84
Maron1,46.68,-114.03
Maron2,46.64,-113.23
Porensky1,43.24,-105.18
Porensky12,43.55,-105.1
Porensky17,43.34,-105.13
Porensky30,40.63,-105.27
Pyke1,44.60203143,-120.1941407
Pyke10,46.74878715,-119.3672737
Pyke12,46.749974,-119.3673257
Pyke15,46.74869655,-119.3533784
Pyke16,46.74939669,-119.3482241
Pyke17,46.74994569,-119.3504083
Pyke19,46.75087139,-119.3487202
Pyke21,47.61803776,-119.6830115
Pyke3,44.60456358,-120.1924183
Pyke8,46.74830998,-119.361636
Pyke9,46.74833678,-119.3603411
Reed01,38.52,-109.47
Reed03,38.75,-109.79
Rinella01,46.19,-105.49
Rinella01,46.19,-105.49
Schupp01,39.85,-112.15
Schupp02,40.2,-112.46
Schupp03,38.6,-113.79
Schupp04,38.52,-113.55
Schupp05,39.11,-112.74
Shriver01,34.06,-116.22
Shriver02,48,-114.04
SS,44.26,-112.2
Symstad1,44.59,-104.71
Symstad2,43.87,-103.46
Symstad3,43.62,-103.47
Symstad4,43.71,-102.58
Symstad6,41.83,-103.71
Urza1,40.35,-119.34
Urza2,40.84,-119.56
Urza3,41.6,-120.2
WI,43.459148,-116.865965
Wilcox02,41.31,-105.66
