"SiteCode","UniqueID","SampleDescription","pH","EC","OMpercent","Protein_g.kg","X..Sand","X..Clay","X..Silt","site_old"
"HPGRS AGCR",1,"Cheyenne, WY PGRS-AGCR 7/15/22 #1",6.73,450.3,6.55,5.19,59.856,18.216,21.928,"HPGRS AGCR"
"HPGRS AGCR",2,"Cheyenne, WY PGRS-AGCR 7/15/22 #2",6.59,323.9,6.69,4.2,59.856,18.216,21.928,"HPGRS AGCR"
"HPGRS AGCR",3,"Cheyenne, WY PGRS-AGCR 7/15/22 #3",6.96,268.1,6.09,3.73,59.856,18.216,21.928,"HPGRS AGCR"
"NEAR HQ CPER",4,"CPER- Near HQ (Patsture BNE) 7/20/22 #1",5.05,251.4,4.47,8.91,74,10,16,"NEAR HQ CPER"
"NEAR HQ CPER",5,"CPER- Near HQ (Patsture BNE) 7/20/22 #2",6.49,168.9,3.48,4.84,74,10,16,"NEAR HQ CPER"
"NEAR HQ CPER",6,"CPER- Near HQ (Patsture BNE) 7/20/22 #3",5.79,217.3,3.56,5.44,74,10,16,"NEAR HQ CPER"
"NEAR NUTNET",7,"CPER- NutNet (Pasture BNE) 7/20/22 #1",5.19,189.9,3.47,4.68,77.856,6.216,15.928,"NEAR NUTNET"
"NEAR NUTNET",8,"CPER- NutNet (Pasture BNE) 7/20/22 #2",6.01,137.3,2.07,2.76,77.856,6.216,15.928,"NEAR NUTNET"
"NEAR NUTNET",9,"CPER- NutNet (Pasture BNE) 7/20/22 #3",5.02,205.8,2.35,3.65,77.856,6.216,15.928,"NEAR NUTNET"
"FAR NORTH CPER",10,"CPER- Far North (Pasture Low) 7/20/22 #1",5.69,125.9,2.77,2.85,67.928,12.144,19.928,"FAR NORTH CPER"
"FAR NORTH CPER",11,"CPER- Far North (Pasture Low) 7/20/22 #2",5.66,328.2,2.74,3.65,67.928,12.144,19.928,"FAR NORTH CPER"
"FAR NORTH CPER",12,"CPER- Far North (Pasture Low) 7/20/22 #3",5.53,130.9,2.26,2.33,67.928,12.144,19.928,"FAR NORTH CPER"
"CG PASTURE",13,"Cheyenne, WY- Native Mixed CO Pasture 7/15/22 #1",5.51,185.4,3.4,3.84,80.144,12.072,7.784,"CG PASTURE"
"CG PASTURE",14,"Cheyenne, WY- Native Mixed CO Pasture 7/15/22 #2",6.21,149,3.44,3.54,80.144,12.072,7.784,"CG PASTURE"
"CG PASTURE",15,"Cheyenne, WY- Native Mixed CO Pasture 7/15/22 #3",5.95,170.3,3.98,3.62,80.144,12.072,7.784,"CG PASTURE"
"TB LC Control",16,"Thunder Basin Control 6/16/22 #1",5.31,93.74,2.76,3.74,54.144,20.144,25.712,"TB LC Control"
"TB LC Control",17,"Thunder Basin Control 6/16/22 #2",5.04,127.5,4.34,6.15,54.144,20.144,25.712,"TB LC Control"
"TB LC Control",18,"Thunder Basin Control 6/16/22 #3",5.48,74.08,2.59,3.51,54.144,20.144,25.712,"TB LC Control"
"TB FIRE",19,"Thunder Basin Fire 6/16/22 #1",5.45,106.5,3.32,4.3,45.928,18.216,35.856,"TB FIRE"
"TB FIRE",20,"Thunder Basin Fire 6/16/22 #2",5.49,120.4,2.99,3.26,45.928,18.216,35.856,"TB FIRE"
"TB FIRE",21,"Thunder Basin Fire 6/16/22 #3",5.26,130.4,3.64,5.66,45.928,18.216,35.856,"TB FIRE"
"TB PRAIRIE DOG",22,"Thunder Basin- PD 6/16/22 #1",5.49,108.8,2.35,3.49,49.784,26.144,24.072,"TB PRAIRIE DOG"
"TB PRAIRIE DOG",23,"Thunder Basin- PD 6/16/22 #2",5.07,90.55,3.49,2.81,49.784,26.144,24.072,"TB PRAIRIE DOG"
"TB PRAIRIE DOG",24,"Thunder Basin- PD 6/16/22 #3",5.12,128.8,4.33,3.15,49.784,26.144,24.072,"TB PRAIRIE DOG"
"NEAR 4WAY CPER",25,"CPER-SE/ 4 way (pasture 19s) 7/20/22 #1",5.72,633.2,3.09,2.47,68,16.144,15.856,"NEAR 4WAY CPER"
"NEAR 4WAY CPER",26,"CPER-SE/ 4 way (pasture 19s) 7/20/22  #2",5.59,267.2,3.51,4.29,68,16.144,15.856,"NEAR 4WAY CPER"
"NEAR 4WAY CPER",27,"CPER-SE/ 4 way (pasture 19s) 7/20/22  #3",7.44,305.6,3.58,2.4,68,16.144,15.856,"NEAR 4WAY CPER"
"Blumenthal01",28,"Satellite soils blumenthal 01 #1",7,205.5,7.42,4.84,58.144,22.072,19.784,"Blumenthal01"
"Blumenthal01",28,"Satellite soils blumenthal 01 #1",7,205.5,7.42,4.84,58.144,22.072,19.784,"Blumenthal01"
"Blumenthal01",29,"Satellite soils blumenthal 01 #2",6.97,207.3,7.03,4.89,58.144,22.072,19.784,"Blumenthal01"
"Blumenthal01",29,"Satellite soils blumenthal 01 #2",6.97,207.3,7.03,4.89,58.144,22.072,19.784,"Blumenthal01"
"Blumenthal01",30,"Satellite soils blumenthal 01 #3",6.71,211.6,6.41,5.44,58.144,22.072,19.784,"Blumenthal01"
"Blumenthal01",30,"Satellite soils blumenthal 01 #3",6.71,211.6,6.41,5.44,58.144,22.072,19.784,"Blumenthal01"
"PMR- Brome",31,"PMR-Brome 7/19/22 #1",6.39,328.1,11.6,NA,62,12,26,"PMR- Brome"
"PMR- Brome",31,"PMR-Brome 7/19/22 #1",6.39,328.1,11.6,NA,57.784,14.216,28,"PMR- Brome"
"PMR- Brome",32,"PMR-Brome 7/19/22 #2",6.04,251.8,7.54,14.92,62,12,26,"PMR- Brome"
"PMR- Brome",32,"PMR-Brome 7/19/22 #2",6.04,251.8,7.54,14.92,57.784,14.216,28,"PMR- Brome"
"PMR- Brome",33,"PMR-Brome 7/19/22 #3",6.46,314.2,10.91,NA,62,12,26,"PMR- Brome"
"PMR- Brome",33,"PMR-Brome 7/19/22 #3",6.46,314.2,10.91,NA,57.784,14.216,28,"PMR- Brome"
