SiteID,SampleIDs,Description_vanDiepenLab,Contributor(s),SiteCode,TotalSoilWeight,remaining soil,Notes,,Contributor(s),SiteCode,,
1,1-3,"Cheyenne, WY PGRS-AGCR 7/15/22 #1",,HPGRS AGCR,80,33.5,,,Lauren Porensky,CG PASTURE (Common Garden site),,
2,4-6,CPER- Near HQ (Patsture BNE) 7/20/22 #1,Lauren Porensky,NEAR HQ CPER,118,71.5,,,,,,
3,7-9,CPER- NutNet (Pasture BNE) 7/20/22 #1,,NEAR NUTNET,100,53.5,,,Lauren Porensky,CPER- Far north,,
4,10-12,CPER- Far North (Pasture Low) 7/20/22 #1,,FAR NORTH CPER,102,55.5,,,Lauren Porensky,CPER- Near NutNet,,
5,13-15,"Cheyenne, WY- Native Mixed CO Pasture 7/15/22 #1",,CG PASTURE,111,64.5,,,,,,
6,16-18,Thunder Basin Control 6/16/22 #1,,TB LC Control,110,63.5,,,Lauren Porensky,Porensky17,,
7,19-21,Thunder Basin Fire 6/16/22 #1,,TB FIRE,125,78.5,,,Lauren Porensky,Porensky18,,
8,22-24,Thunder Basin- PD 6/16/22 #1,,TB PRAIRIE DOG,97,50.5,,,Lauren Porensky,Porensky19,,
9,25-27,CPER-SE/ 4 way (pasture 19s) 7/20/22 #1,Lauren Porensky,NEAR 4WAY CPER,117,70.5,,,,,,
10,28-30,Satellite soils blumenthal 01 #1,Lauren Porensky,Blumenthal01,291,244.5,,,,,,
11,31-33,PMR-Brome 7/19/22 #1,Lauren Porensky,PMR- Brome,52,5.5,,,,,,
12,34-36, PMR-Brome 7/12/22 #1,Lauren Porensky,PMR- Brome,132,85.5,,,,,,
13,37-39,PMR-Pine 7/19/22 #1,Lauren Porensky,PMR- Pine,74,27.5,,,,,,
14,40-42,PMR-Pine 7/21/22 #1,Lauren Porensky,PMR- Pine,184,137.5,,,,,,
15,43-45,Symstad S2 (Pasture) #1,Amy Symstad,Symstad2,195,148.5,,,,,,
16,46-48,Peavine Urza+Shriver #1,Bob Shriver/ Ali Urza / Otis Clyne/Sage Ellis/Martin Genova,Peavine,32,-14.5,,,,,,
17,49-51,Plymouth #1,Bob Shriver/ Ali Urza / Otis Clyne/Sage Ellis/Martin Genova,Plymouth,78,31.5,,,,,,
18,52-54,Fort Keogh Cottonwood Coulee 6/17/22 #1,Jennifer Muscha,FtK_Cottonwood_Coulee,97,50.5,,,,,,
19,55-58,DINO 6/10/24 #1,Brooke Osborne / Daniel Winkler / Sasha Reed,dino,141,94.5,,,,,,
20,59-61,Case Aoyama SI 6/9/22 #1,Lina Aoyama/Maddy Case/Lauren Hallett,CaseAoyamaS1,840,793.5,,,,,,
21,62-64,Pearl Wise #1,Corinne Schroeder,Pearlwise,724,677.5,,,,,,
22,65-67,"Ensing S3 Kelowna, BC (E) #1",David Ensing / Chandra Moffat,EnsingS3 Bear Creek,659,612.5,,,,,,
23,68-70,South Eden 2024 #1,Peter Adler / Annie Schiffer,SouthEden,141,94.5,,,,,,
24,71-73,"Ensing S4 Merritt, BC (N) #1",David Ensing / Chandra Moffat,EnsingS4 Lundbom,515,468.5,,,,,,
25,74-76,Fort Keogh Lone Pine 6/16/22 #1,Jennifer Muscha,FtK_Lone_Pine,99,52.5,,,,,,
26,77-79,Woodruff #1,Peter Adler,Woodruff,163,116.5,,,,,,
27,80-82,"Ensing S1 Summerland, BC #1",David Ensing / Chandra Moffat,EnsingS1 SuRDC,953,906.5,,,,,,
28,83-85,Green Canyon #1,Peter Adler,GreenCanyon,185,138.5,,,,,,
29,86-88,Li-Van Diepen Soil <2mm #1,Linda van Diepen,L1_vanDiepen,275.41,228.91,,,,,,
