UniqueID,SiteID,SampleDescription,TotalSoilWeight,GravelWeight,pH,EC,OMpercent,Protein_g.kg
1,1,"Cheyenne, WY PGRS-AGCR 7/15/22 #1",27,11,6.73,450.3,6.55,5.19
2,1,"Cheyenne, WY PGRS-AGCR 7/15/22 #2",22,18,6.59,323.9,6.69,4.20
3,1,"Cheyenne, WY PGRS-AGCR 7/15/22 #3",31,8,6.96,268.1,6.09,3.73
4,2,CPER- Near HQ (Patsture BNE) 7/20/22 #1,34,0.1,5.05,251.4,4.47,8.91
5,2,CPER- Near HQ (Patsture BNE) 7/20/22 #2,47,0.5,6.49,168.9,3.48,4.84
6,2,CPER- Near HQ (Patsture BNE) 7/20/22 #3,37,0,5.79,217.3,3.56,5.44
7,3,CPER- NutNet (Pasture BNE) 7/20/22 #1,26,0,5.19,189.9,3.47,4.68
8,3,CPER- NutNet (Pasture BNE) 7/20/22 #2,39,3,6.01,137.3,2.07,2.76
9,3,CPER- NutNet (Pasture BNE) 7/20/22 #3,35,1,5.02,205.8,2.35,3.65
10,4,CPER- Far North (Pasture Low) 7/20/22 #1,43,0,5.69,125.9,2.77,2.85
11,4,CPER- Far North (Pasture Low) 7/20/22 #2,30,1,5.66,328.2,2.74,3.65
12,4,CPER- Far North (Pasture Low) 7/20/22 #3,29,3,5.53,130.9,2.26,2.33
13,5,"Cheyenne, WY- Native Mixed CO Pasture 7/15/22 #1",40,3,5.51,185.4,3.40,3.84
14,5,"Cheyenne, WY- Native Mixed CO Pasture 7/15/22 #2",42,3,6.21,149,3.44,3.54
15,5,"Cheyenne, WY- Native Mixed CO Pasture 7/15/22 #3",29,8,5.95,170.3,3.98,3.62
16,6,Thunder Basin Control 6/16/22 #1,39,4,5.31,93.74,2.76,3.74
17,6,Thunder Basin Control 6/16/22 #2,39,6,5.04,127.5,4.34,6.15
18,6,Thunder Basin Control 6/16/22 #3,32,3,5.48,74.08,2.59,3.51
19,7,Thunder Basin Fire 6/16/22 #1,47,1,5.45,106.5,3.32,4.30
20,7,Thunder Basin Fire 6/16/22 #2,39,1,5.49,120.4,2.99,3.26
21,7,Thunder Basin Fire 6/16/22 #3,39,3,5.26,130.4,3.64,5.66
22,8,Thunder Basin- PD 6/16/22 #1,39,1,5.49,108.8,2.35,3.49
23,8,Thunder Basin- PD 6/16/22 #2,29,12,5.07,90.55,3.49,2.81
24,8,Thunder Basin- PD 6/16/22 #3,29,3,5.12,128.8,4.33,3.15
25,9,CPER-SE/ 4 way (pasture 19s) 7/20/22 #1,39,1,5.72,633.2,3.09,2.47
