ID,Category,Latitude ,Longitude
Blumenthal01,Satellite,41.177913,-104.899046
Boise_High,Satellite,43.20847803,-116.9951781
Boise_Low,Satellite,43.333643,-116.708793
CaseAoyamaS1,Satellite,43.47110267,-119.6833963
CastValley,Satellite,38.677,-109.417
CG PASTURE,Satellite,41.21283,-104.852501
CG_BoiseHigh,Satellite,43.208482,-116.995198
CG_BoiseLow,Satellite,43.47437,-116.90177
CG_Cheyenne,Satellite,41.212078,-104.852543
CG_SheepStation,Satellite,44.24559,-112.214337
CPER- Far north,Satellite,40.856915,-104.713075
CPER- Near NutNet,Satellite,40.839464,-104.717125
CPER-4-Way,Satellite,40.812673,-104.714491
CPER-NEAR HQÊ,Satellite,40.835791,-104.763785
EnsingS1_SuRDC,Satellite,49.561619,-119.652027
EnsingS2_SumPrinceRd,Satellite,49.616744,-119.797613
EnsingS3_BearCreek,Satellite,49.939567,-119.505992
EnsingS4_LDBM,Satellite,50.097899,-120.60262
EOARC,Satellite,43.467044,-119.700795
FtK_Cottonwood_Coulee,Satellite,46.3863,-105.9526
FtK_Lone_Pine,Satellite,46.347,-105.8464
GreenCanyon,Satellite,41.766018,-111.789327
HardwareRanch,Satellite,41.613286,-111.567217
K1_vanDiepen,Satellite,41.221569,-106.136433
L1_vanDiepen,Satellite,41.217483,-105.925447
LEHN1,Satellite,36.770889,-105.750886
LEHN2,Satellite,36.770281,105.752939
MPG_IR,Satellite,46.691,-114.022
MPG_SR,Satellite,46.664,-114.001
MPG_TH,Satellite,46.673,-114.006
OttS1,Satellite,43.777398,-102.607243
Peavine,Satellite,39.591003,-119.878406
Plymouth,Satellite,39.072101,-119.783711
PMR- Brome,Satellite,41.21283,-104.852501
PMR- Pine,Satellite,40.63,-105.27
Porensky17,Satellite,43.338797,-105.133254
Porensky18,Satellite,43.327853,-105.112892
Porensky19,Satellite,43.31193,-105.125329
Rush_Valley,Satellite,40.0906,-112.305
SouthEden,Satellite,41.926717,-111.275659
SSHigh,Satellite,44.295988,-112.096947
SSHQ,Satellite,44.246799,-112.213263
SymstadS1,Satellite,43.35653,-103.54075
SymstadS2,Satellite,43.3562,-103.54046
Woodruff,Satellite,41.56042,-111.172565
Baltzor,Common_Garden,43.208482,-116.995198
Wildcat,Common_Garden,43.47437,-116.90177
SheepStation,Common_Garden,44.24559,-112.214337
Cheyenne,Common_Garden,41.212078,-104.852543
