"site1","site2","kinship_avg","lat1","lon1","lat2","lon2"
"AAFC4","AAFC4",1,50.08,-120.65,50.08,-120.65
"AAFC5","AAFC4",0.728308610291814,50.09,-120.45,50.08,-120.65
"AAFC6","AAFC4",0.746383486198972,50.09,-120.75,50.08,-120.65
"AAFC8","AAFC4",0.70516130875666,49.57,-120.55,50.08,-120.65
"AAFC9","AAFC4",0.703457604629719,49.62,-119.8,50.08,-120.65
"AAFC10","AAFC4",0.703595267700076,49.71,-120.05,50.08,-120.65
"Adler5","AAFC4",0.666132394370756,40.79,-111.87,50.08,-120.65
"Schupp2","AAFC4",0.697476329770814,40.2,-112.46,50.08,-120.65
"Schupp1","AAFC4",0.656854853285553,39.85,-112.15,50.08,-120.65
"Adler13","AAFC4",0.677125715970656,41.44,-111.08,50.08,-120.65
"Adler16","AAFC4",0.694802727649233,41.78,-110.2,50.08,-120.65
"Adler17","AAFC4",0.69500654190145,41.44,-110.11,50.08,-120.65
"Adler18","AAFC4",0.664493189367455,40.86,-114.22,50.08,-120.65
"Barnett1","AAFC4",0.669949967876272,43.48,-110.74,50.08,-120.65
"Baughman3","AAFC4",0.717558372975789,42.81,-118.96,50.08,-120.65
"Baughman2","AAFC4",0.672097225644794,43.05,-118.87,50.08,-120.65
"Chynoweth1","AAFC4",0.700579624458054,39.76604,-109.5635,50.08,-120.65
"Board1","AAFC4",0.680170053981203,38.84,-117.57,50.08,-120.65
"Bradford1","AAFC4",0.67978234159392,35.23,-111.62,50.08,-120.65
"Chambers1","AAFC4",0.623072351930736,39.55,-119.58,50.08,-120.65
"Chambers2","AAFC4",0.616542665538344,39.95,-118.76,50.08,-120.65
"Urza1","AAFC4",0.616696158224117,40.35,-119.34,50.08,-120.65
"Chambers4","AAFC4",0.616497311428556,41.31,-117.63,50.08,-120.65
"Chambers5","AAFC4",0.613190058188764,41.54,-117.75,50.08,-120.65
"Chambers6","AAFC4",0.613182482082621,41.54,-117.78,50.08,-120.65
"Chambers7","AAFC4",0.693747258977958,43.94,-116.19,50.08,-120.65
"Chambers8","AAFC4",0.665471999612757,42.24,-114.57,50.08,-120.65
"Chambers9","AAFC4",0.700589007172854,40.66,-116.73,50.08,-120.65
"Copeland1","AAFC4",0.700655694812353,43.7,-117.33,50.08,-120.65
"Copeland5","AAFC4",0.66155187301672,42.27,-118.71,50.08,-120.65
"Copeland9","AAFC4",0.695113895584803,43.47,-119.68,50.08,-120.65
"Downs1","AAFC4",0.641118358896499,46.38145,-119.430272,50.08,-120.65
"Downs2","AAFC4",0.66874248428226,46.25045,-119.53334,50.08,-120.65
"Downs3","AAFC4",0.624333592238629,45.9663,-120.3671,50.08,-120.65
"Fleishman1","AAFC4",0.704675976718699,38.47,-119.49,50.08,-120.65
"Fleishman5","AAFC4",0.661442499588368,39.12,-117.27,50.08,-120.65
"Fleishman7","AAFC4",0.684740268996704,39.17,-117.44,50.08,-120.65
"Getts1","AAFC4",0.644230375403867,41.17,-120.5,50.08,-120.65
"Getts3","AAFC4",0.690822969150041,40.43,-120.67,50.08,-120.65
"Holdrege1","AAFC4",0.669758545809608,41.61,-111.57,50.08,-120.65
"Hufft1","AAFC4",0.658118186835733,38.6701,-108.3286,50.08,-120.65
"Lavin1","AAFC4",0.680187182793563,44.68,-109.07,50.08,-120.65
"Lavin2","AAFC4",0.722222036943145,45.67,-111.03,50.08,-120.65
"Lee1","AAFC4",0.616589222351407,36.82340833,-116.0163889,50.08,-120.65
"Lee2","AAFC4",0.609234791220709,35.3984,-115.7845,50.08,-120.65
"Lee3","AAFC4",0.61644002807473,36.5247,-115.8987,50.08,-120.65
"Lee4","AAFC4",0.612792695962718,35.4564,-115.52,50.08,-120.65
"Leger1","AAFC4",0.630044773104711,39.49,-119.84,50.08,-120.65
"Maron1","AAFC4",0.677072227059615,46.68,-114.03,50.08,-120.65
"Maron2","AAFC4",0.694795441423848,46.64,-113.23,50.08,-120.65
"Porensky30","AAFC4",0.691012907901078,40.63,-105.27,50.08,-120.65
"Pyke3","AAFC4",0.693401718523108,44.60456358,-120.1924183,50.08,-120.65
"Pyke8","AAFC4",0.625129994959147,46.74830998,-119.361636,50.08,-120.65
"Pyke21","AAFC4",0.68205099097182,47.61803776,-119.6830115,50.08,-120.65
"Pyle1","AAFC4",0.750456371410788,42.35,-118.65,50.08,-120.65
"Pyle9","AAFC4",0.694783130791433,43.42,-119.62,50.08,-120.65
"Pyle10","AAFC4",0.661603054438552,43.19,-120,50.08,-120.65
"Pyle15","AAFC4",0.682741102787068,43.8,-119,50.08,-120.65
"Pyle17","AAFC4",0.703245569499124,44.36,-118.93,50.08,-120.65
"Pyle19","AAFC4",0.672071283474136,44.57,-119.65,50.08,-120.65
"Reed1","AAFC4",0.659379906559894,38.52,-109.47,50.08,-120.65
"Reed3","AAFC4",0.655830046862847,38.75,-109.79,50.08,-120.65
"Schupp3","AAFC4",0.663350218106958,38.6,-113.79,50.08,-120.65
"Schupp4","AAFC4",0.700510676361207,38.52,-113.55,50.08,-120.65
"Schupp5","AAFC4",0.695921147706448,39.11,-112.74,50.08,-120.65
"Symstad1","AAFC4",0.660812358217654,44.59,-104.71,50.08,-120.65
"Symstad2","AAFC4",0.645323470349669,43.87,-103.46,50.08,-120.65
"Symstad3","AAFC4",0.718967349081144,43.62,-103.47,50.08,-120.65
"Urza2","AAFC4",0.697219630754661,40.84,-119.56,50.08,-120.65
"Wilcox2","AAFC4",0.631002038402442,41.31,-105.66,50.08,-120.65
"Chynoweth2","AAFC4",0.661838599928177,40.29092,-109.68361,50.08,-120.65
"Chynoweth3","AAFC4",0.631256473609655,39.83576,-109.61202,50.08,-120.65
"Chynoweth5","AAFC4",0.676390362831688,40.480805,-109.438229,50.08,-120.65
"Chynoweth7","AAFC4",0.700919876756593,40.533605,-109.523564,50.08,-120.65
"Chynoweth8","AAFC4",0.661479948048508,40.640878,-109.48689,50.08,-120.65
"Shriver2","AAFC4",0.669997630540757,48,-114.04,50.08,-120.65
"Davies03","AAFC4",0.679904075185433,42.68,-118.68,50.08,-120.65
"GerminoBOP1","AAFC4",0.698231708551901,43.4720833,-116.2338306,50.08,-120.65
"Mancillas01","AAFC4",0.66878234765252,32.368,-106.56,50.08,-120.65
"Boise_High 2022","AAFC4",0.763888701000106,NA,NA,50.08,-120.65
"Boise_Low 2022","AAFC4",0.733420280898565,NA,NA,50.08,-120.65
"CG PASTURE 2022","AAFC4",0.77946446827944,NA,NA,50.08,-120.65
"CaseAoyamaS1 2022","AAFC4",0.766059225568879,NA,NA,50.08,-120.65
"CastValley 2021","AAFC4",0.725419874656659,NA,NA,50.08,-120.65
"EOARC 2022","AAFC4",0.766734195282812,NA,NA,50.08,-120.65
"EnsingS1 SuRDC 2022","AAFC4",0.78008419974449,NA,NA,50.08,-120.65
"EnsingS2 Summerland-Princeton 2022","AAFC4",0.771104253208797,NA,NA,50.08,-120.65
"EnsingS3 Bear Creek 2022","AAFC4",0.761724220022854,NA,NA,50.08,-120.65
"EnsingS4 Lundbom 2022","AAFC4",0.777341620337138,NA,NA,50.08,-120.65
"FAR NORTH CPER 2022","AAFC4",0.774869212004935,NA,NA,50.08,-120.65
"FtK_Cottonwood_Coulee 2021","AAFC4",0.77739927727602,NA,NA,50.08,-120.65
"FtK_Lone_Pine 2021","AAFC4",0.776160654830414,NA,NA,50.08,-120.65
"GoeblS1 2024","AAFC4",0.76186624822301,NA,NA,50.08,-120.65
