"label","id","bdodQ05","bdodQ50","bdodQ95","bdodmean","bdoduncertainty","cecQ05","cecQ50","cecQ95","cecmean","cecuncertainty","cfvoQ05","cfvoQ50","cfvoQ95","cfvomean","cfvouncertainty","clayQ05","clayQ50","clayQ95","claymean","clayuncertainty","nitrogenQ05","nitrogenQ50","nitrogenQ95","nitrogenmean","nitrogenuncertainty","phh2oQ05","phh2oQ50","phh2oQ95","phh2omean","phh2ouncertainty","sandQ05","sandQ50","sandQ95","sandmean","sanduncertainty","siltQ05","siltQ50","siltQ95","siltmean","siltuncertainty","socQ05","socQ50","socQ95","socmean","socuncertainty","ocdQ05","ocdQ50","ocdQ95","ocdmean","ocduncertainty","wv0010Q05","wv0010Q50","wv0010Q95","wv0010mean","wv0010uncertainty","wv0033Q05","wv0033Q50","wv0033Q95","wv0033mean","wv0033uncertainty","wv1500Q05","wv1500Q50","wv1500Q95","wv1500mean","wv1500uncertainty","hzdept","hzdepb","hzID"
"0-5","Baltzor",0.93,1.3,1.63,1.29,0.5,10.6,21.6,50.6,24.1,1.9,0,13,43.1,16.3,3.3,4.3,21.5,70.1,25.8,3.1,0.42,1.33,4.46,1.93,3,6.1,6.8,7.9,6.9,0.3,9.2,30,53,30.3,1.5,11.3,45.3,70.7,43.9,1.3,5.3,18.6,57.4,28.7,2.8,9.5,19.5,54.2,25.6,2.3,28,38.3,48.6,38.3,0.5,18.8,33.6,42.2,31.9,0.7,7,13.8,27.5,14.5,1.5,0,5,"1"
"5-15","Baltzor",0.97,1.31,1.65,1.31,0.5,11.6,21.8,50.8,25.6,1.8,0,12,45,15.7,3.8,4.3,25.7,77.1,30.8,2.8,0.35,1.3,4.67,1.68,3.3,6,6.9,7.9,6.9,0.3,9.1,27.6,49,28,1.4,9.6,41.9,68.9,41.2,1.4,3.5,14.7,37.2,17.4,2.3,7.7,18,48,21.9,2.2,29.8,38.9,49,39,0.5,17.4,33.9,42.2,32.6,0.7,6.3,15.5,30.6,16.1,1.6,5,15,"2"
"15-30","Baltzor",0.97,1.3,1.62,1.31,0.5,13.8,26.4,61.8,31.7,1.8,0,13,47.2,17,3.6,6.3,32.7,84.7,37.8,2.4,0.35,1.04,2.76,1.2,2.3,5.8,7.1,8.1,7.1,0.3,6.6,24.5,48,25.2,1.7,6.6,37.4,67.5,37,1.6,2.6,10.3,33.4,12.5,3,5,13.1,31,15,2,30.3,38.9,49,39.4,0.5,17.4,34.3,43.5,32.8,0.8,7.2,18.7,36.6,19.1,1.6,15,30,"3"
"30-60","Baltzor",1.14,1.43,1.8,1.43,0.5,13.1,33.2,61.8,35.5,1.5,0,16,53.1,19.9,3.3,5.2,32.2,81.9,37.4,2.4,0.28,0.8,2.29,0.99,2.5,6.1,7.4,8.4,7.4,0.3,5.5,24.7,48.2,25.7,1.7,6.8,37,70.1,36.8,1.7,2.5,6,16.8,7.5,2.4,2.3,7.3,15,7.9,1.7,28.4,38.9,47.6,38.6,0.5,16.4,34.7,42.7,32.8,0.8,6.3,20.5,37,20.8,1.5,30,60,"4"
"60-100","Baltzor",1.14,1.39,1.8,1.41,0.5,11.3,33.4,61.8,35.5,1.5,0,16,55.2,20.3,3.5,1.2,20.1,71.9,26.4,3.5,0.07,0.56,1.39,0.66,2.4,6.1,7.8,8.6,7.6,0.3,5.9,34.5,73.5,37.1,2,3.8,32.3,76.8,36.4,2.3,1,3.4,9.9,4.2,2.6,1.3,4.5,10.7,4.9,2.1,22.1,35,43,34.4,0.6,15.2,31.8,42.7,30.2,0.9,5.4,14.3,34.8,16.6,2.1,60,100,"5"
"100-200","Baltzor",1.1,1.39,1.8,1.42,0.5,8.1,32,61.8,34.7,1.7,0,17,60,23.4,3.5,1.2,13.5,64.6,22.4,4.7,0,0.29,1.04,0.46,3.6,6.4,7.8,8.7,7.7,0.3,6.7,44,81,44.2,1.7,3.4,28.5,85.7,33.4,2.9,0.2,1.8,6.1,2.6,3.3,0.7,2.4,5,2.8,1.8,19.8,31.1,42,32.1,0.7,12.2,26,42,27,1.1,4.3,11.8,31.2,14.7,2.3,100,200,"6"
"0-5","Blumenthal01",1.06,1.31,1.58,1.32,0.4,8.6,16.6,39.5,20.6,1.9,0,3,21,5.6,7,4.5,15,54.1,20.6,3.3,0.72,1.52,3.31,1.85,1.7,5.7,6.6,7.8,6.7,0.3,24.4,56.8,80.1,55,1,1.3,22.1,59.5,24.4,2.6,6.7,16.5,40.3,19.7,2,10.1,20.7,44.1,24.2,1.6,23,34.9,44.1,34.2,0.6,18.6,32.4,39.5,31,0.6,5.3,11,24.3,12.8,1.7,0,5,"7"
"5-15","Blumenthal01",1.2,1.44,1.75,1.46,0.4,7.8,16.8,39.3,20.6,1.9,0,3,20,5.4,6.7,4.5,17.1,57.5,22.4,3.1,0.64,1.32,2.4,1.48,1.3,6,7.1,8.1,7.1,0.3,22,54.4,80,53.2,1.1,1.2,21.8,60.9,24.4,2.7,5.9,12.7,26.6,14.7,1.6,7.5,17.4,33.9,18.8,1.5,23,34.9,43.1,34.3,0.6,18.4,32.4,39.8,31.2,0.7,5.2,11.9,26.1,13.7,1.8,5,15,"8"
"15-30","Blumenthal01",1.21,1.47,1.79,1.49,0.4,8.4,20.2,41.7,22.8,1.6,0,3,30,6.1,10,5.2,18.2,63.1,24.2,3.2,0.44,0.97,1.77,1.03,1.4,6.4,7.3,8.2,7.3,0.2,17.4,51.7,77.9,50.5,1.2,1.1,21.9,61,25.3,2.7,4,9,22.1,12.7,2,6.8,13.7,27.6,14.9,1.5,23,35.2,44.7,35,0.6,18.7,33,40.4,32.2,0.7,5.7,14.9,30.4,16.4,1.7,15,30,"9"
"30-60","Blumenthal01",1.27,1.58,1.83,1.56,0.4,6.6,19.4,46,23.2,2,0,2,35,7.4,17.5,4.5,18.4,76.5,25.4,3.9,0.17,0.78,1.36,0.79,1.5,7.1,7.8,8.6,7.8,0.2,14.9,51.3,79.7,49.6,1.3,1.1,20.6,62.1,25,3,2.1,5.8,11.8,7.1,1.7,3.1,9.5,16.8,10,1.4,14.9,35.9,44.8,34.9,0.8,18.7,33.1,40.6,32.2,0.7,5.9,15.7,34.5,17.2,1.8,30,60,"10"
