"site","genotype"
"Boise_High","200"
"Boise_Low","201"
"CaseAoyamaS1","202"
"CastValley","203"
"CG PASTURE","204"
"dino","205"
"EnsingS1 SuRDC","206"
"EnsingS2 Summerland-Princeton","207"
"EnsingS3 Bear Creek","208"
"EnsingS4 Lundbom","209"
"EOARC","210"
"FAR NORTH CPER","211"
"FtK_Cottonwood_Coulee","212"
"FtK_Lone_Pine","213"
"GoeblS1","214"
"GreenCanyon","215"
"HardwareRanch","216"
"HPGRS AGCR","217"
"K1_vanDiepen","218"
"L1_vanDiepen","219"
"MPG_IR","220"
"MPG_SR","221"
"MPG_TH","222"
"NEAR 4WAY CPER","223"
"NEAR HQ CPER","224"
"NEAR NUTNET","225"
"OttS1","226"
"Pearlwise","227"
"Peavine","228"
"Plymouth","229"
"PMR- Brome","230"
"PMR- Pine","231"
"RedBluff","232"
"Rush_Valley","233"
"SouthEden","234"
"SSHigh","235"
"SSHQ","236"
"Symstad1","237"
"Symstad2","238"
"TB FIRE","239"
"TB LC Control","240"
"TB PRAIRIE DOG","241"
"Woodruff","242"
