"","site","site_old","year","Treatment","Transect","Distance","Emerged","Reproduced","neighbors","Fecundity","Biomass","fecundityflag","notesFlag","Lat","Lon","annual","unknown","perennial","shrub","Type","plantID","albedo","x","y","genotype","block","plot","note_standard_harvest","note_standard_phen","Transect_Site_Year","total_precip","MAT","seasonality","prcp.Spr","prcp.Sum","prcp.Win","prcp.Fall","tmean.Spr","tmean.Sum","tmean.Win","tmean.Fall","swe_mean.Spr","swe_mean.Sum","swe_mean.Win","swe_mean.Fall","prcp_center30d_mean","tmin_center30d_mean","tmax_center30d_mean","tavg_center30d_mean","tmin_center30d_min","tmax_center30d_max","pH","EC","OMpercent","Protein_g.kg","X..Sand","X..Clay","X..Silt","site_year","site_numeric","site_year_numeric","year_numeric","neighbors.s","perennial.s","shrub.s","annual.s","Dataset","r_train","e_train","plot_index","idx","idx_site","Obs_Fitness","Obs_Fitness_log","Predicted_Fitness_PostPred_fixed","Predicted_Fitness_log_PostPred_fixed"
"1","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",0.2,"N","N",0,0,NA,0,NA,43.47110267,-119.6833963,5,0,1,0,"Satellite","301",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.243057921026025,-0.111867181655941,0.223597112804655,"Training",0,0,0,3,3,0,-Inf,13.06325,-Inf
"2","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",0.6,"N","N",0,0,0.00769,0,NA,43.47110267,-119.6833963,6,0,1,0,"Satellite","303",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.243057921026025,-0.111867181655941,0.324441474338455,"Training",0,0,0,3,3,0,-Inf,13.98275,-Inf
"3","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",1,"N","N",0,0,0.01116,0,NA,43.47110267,-119.6833963,20,0,1,0,"Satellite","304",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.243057921026025,-0.111867181655941,1.73626253581167,"Training",0,0,0,3,3,0,-Inf,17.6835,-Inf
"4","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",1.2,"Y","Y",0,19,0.02111,0,NA,43.47110267,-119.6833963,15,0,45,0,"Satellite","305",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,3.36929526510463,-0.111867181655941,1.23204072814266,"Training",1,1,0,3,3,19,2.94443897916644,6.2515,-Inf
"5","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",1.4,"Y","Y",0,9,0.01297,0,NA,43.47110267,-119.6833963,5,0,1,0,"Satellite","306",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.243057921026025,-0.111867181655941,0.223597112804655,"Training",1,1,0,3,3,9,2.19722457733622,12.61775,-Inf
"6","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",1.6,"Y","Y",0,3,0.00624,0,"",43.47110267,-119.6833963,31,0,30,0,"Satellite","307",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,2.13781122437827,-0.111867181655941,2.84555051268347,"Training",1,1,0,3,3,3,1.09861228866811,10.78925,-Inf
"7","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",1.8,"Y","Y",0,3,0.00303,0,NA,43.47110267,-119.6833963,11,0,0,10,"Satellite","308",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.325156857074449,1.46794552596509,0.828663282007459,"Training",1,1,0,3,3,3,1.09861228866811,14.02375,-Inf
"8","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",2,"Y","Y",0,18,0.03168,0,NA,43.47110267,-119.6833963,5,0,20,0,"Satellite","309",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,1.31682186389403,-0.111867181655941,0.223597112804655,"Training",1,1,0,3,3,18,2.89037175789616,8.48,-Inf
"9","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",2.2,"Y","Y",0,7,0.00935,0,NA,43.47110267,-119.6833963,0,0,1,0,"Satellite","310",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,-0.243057921026025,-0.111867181655941,-0.280624694864349,"Training",1,1,0,3,3,7,1.94591014905531,12.17125,-Inf
"10","CaseAoyamaS1","CaseAoyamaS1","2022","control","E",2.4,"Y","Y",0,3,0.00595,0,NA,43.47110267,-119.6833963,0,0,5,0,"Satellite","311",NA,NA,NA,"G203",NA,NA,NA,NA,"E - CaseAoyamaS1 - 2022",577.9,8.52072602739726,20,242.02,24.8,70.3,240.78,8.96417582417582,20.622,1.3002688172043,3.48813186813187,0.0446153846153845,0,33.8863440860215,1.53527472527472,0.807338709677419,-3.86879032258065,10.9121774193548,3.5216935483871,-11.31,22.04,6.61666666666667,117.566666666667,5.92666666666667,6.58,51.928,12.144,35.928,"CaseAoyamaS1 2022",5,5,1,-0.651015980058869,0.0853378231676708,-0.111867181655941,-0.280624694864349,"Training",1,1,0,3,3,3,1.09861228866811,10.07075,-Inf
