"site_old","Type","genotype","Lat","Lon"
"Boise_High","Satellite","G200",43.20847803,-116.9951781
"Boise_Low","Satellite","G201",43.333643,-116.708793
"CaseAoyamaS1","Satellite","G203",43.47110267,-119.6833963
"CastValley","Satellite","G204",38.677,-109.417
"CG PASTURE","Satellite","G202",41.21283,-104.852501
"dino","Satellite","G241",40.422908,-109.249642
"EnsingS1 SuRDC","Satellite","G206",49.561619,-119.652027
"EnsingS2 Summerland-Princeton","Satellite","G207",49.616744,-119.797613
"EnsingS3 Bear Creek","Satellite","G208",49.939567,-119.505992
"EnsingS4 Lundbom","Satellite","G209",50.097899,-120.60262
"EOARC","Satellite","G205",43.467044,-119.700795
"FAR NORTH CPER","Satellite","G210",40.856915,-104.713075
"FtK_Cottonwood_Coulee","Satellite","G211",46.3863,-105.9526
"FtK_Lone_Pine","Satellite","G212",46.347,-105.8464
"GreenCanyon","Satellite","G214",41.766018,-111.789327
"HardwareRanch","Satellite","G216",41.613286,-111.567217
"HPGRS AGCR","Satellite","G215",41.177913,-104.899046
"MPG_IR","Satellite","G219",46.691,-114.022
"MPG_SR","Satellite","G220",46.664,-114.001
"MPG_TH","Satellite","G221",46.673,-114.006
"NEAR 4WAY CPER","Satellite","G222",40.812673,-104.714491
"NEAR HQ CPER","Satellite","G223",40.835791,-104.763785
"OttS1","Satellite","G225",43.777398,-102.607243
"Pearlwise","Satellite","G227",42.33939,-118.80428
"Peavine","Satellite","G228",39.591003,-119.878406
"Plymouth","Satellite","G229",39.072101,-119.783711
"PMR- Brome","Satellite","G226",40.625,-105.271
"PMR- Pine","Satellite","G226",40.625,-105.271
"RedBluff","Satellite","G230",45.579969,-111.664617
"SouthEden","Satellite","G234",41.926717,-111.275659
"SSHigh","Satellite","G233",44.295988,-112.096947
"SSHQ","Satellite","G232",44.246799,-112.213263
"Symstad1","Satellite","G235",43.35653,-103.541
"Symstad2","Satellite","G236",43.3562,-103.54046
"TB FIRE","Satellite","G237",43.31193,-105.125329
"TB LC Control","Satellite","G238",43.327853,-105.112892
"TB PRAIRIE DOG","Satellite","G239",43.338797,-105.133254
"Woodruff","Satellite","G240",41.56042,-111.172565
"BA","Common_Garden","14",43.208482,-116.995198
"BA","Common_Garden","26",43.208482,-116.995198
"BA","Common_Garden","40",43.208482,-116.995198
"BA","Common_Garden","29",43.208482,-116.995198
"BA","Common_Garden","28",43.208482,-116.995198
"BA","Common_Garden","20",43.208482,-116.995198
"BA","Common_Garden","11",43.208482,-116.995198
"BA","Common_Garden","34",43.208482,-116.995198
"BA","Common_Garden","9",43.208482,-116.995198
"BA","Common_Garden","60",43.208482,-116.995198
"BA","Common_Garden","68",43.208482,-116.995198
"BA","Common_Garden","49",43.208482,-116.995198
"BA","Common_Garden","51",43.208482,-116.995198
"BA","Common_Garden","100",43.208482,-116.995198
"BA","Common_Garden","75",43.208482,-116.995198
"BA","Common_Garden","1",43.208482,-116.995198
"BA","Common_Garden","56",43.208482,-116.995198
"BA","Common_Garden","5",43.208482,-116.995198
"BA","Common_Garden","2",43.208482,-116.995198
