site_year,Lat,Lon,Type,site_old,Year,geometry,SOS_doy,SOS_date
Boise_High 2022,43.20847803,-116.9951781,Satellite,Boise_High,2022,POINT (-116.9951781 43.20847803),72.0,2022-03-14
Boise_Low 2022,43.333643,-116.708793,Satellite,Boise_Low,2022,POINT (-116.708793 43.333643),73.0,2022-03-15
CaseAoyamaS1 2022,43.47110267,-119.6833963,Satellite,CaseAoyamaS1,2022,POINT (-119.6833963 43.47110267),95.0,2022-04-06
CaseAoyamaS1 2023,43.47110267,-119.6833963,Satellite,CaseAoyamaS1,2023,POINT (-119.6833963 43.47110267),100.0,2023-04-11
CastValley 2021,38.677,-109.417,Satellite,CastValley,2021,POINT (-109.417 38.677),30.0,2021-01-31
CG PASTURE 2022,41.21283,-104.852501,Satellite,CG PASTURE,2022,POINT (-104.852501 41.21283),86.0,2022-03-28
CG PASTURE 2023,41.21283,-104.852501,Satellite,CG PASTURE,2023,POINT (-104.852501 41.21283),111.0,2023-04-22
dino 2024,40.422908,-109.249642,Satellite,dino,2024,POINT (-109.249642 40.422908),76.0,2024-03-17
EnsingS1 SuRDC 2022,49.561619,-119.652027,Satellite,EnsingS1 SuRDC,2022,POINT (-119.652027 49.561619),72.0,2022-03-14
EnsingS2 Summerland-Princeton 2022,49.616744,-119.797613,Satellite,EnsingS2 Summerland-Princeton,2022,POINT (-119.797613 49.616744),115.0,2022-04-26
EnsingS3 Bear Creek 2022,49.939567,-119.505992,Satellite,EnsingS3 Bear Creek,2022,POINT (-119.505992 49.939567),111.0,2022-04-22
EnsingS4 Lundbom 2022,50.097899,-120.60262,Satellite,EnsingS4 Lundbom,2022,POINT (-120.60262 50.097899),103.0,2022-04-14
EOARC 2022,43.467044,-119.700795,Satellite,EOARC,2022,POINT (-119.700795 43.467044),85.0,2022-03-27
FAR NORTH CPER 2022,40.856915,-104.713075,Satellite,FAR NORTH CPER,2022,POINT (-104.713075 40.856915),110.0,2022-04-21
FAR NORTH CPER 2023,40.856915,-104.713075,Satellite,FAR NORTH CPER,2023,POINT (-104.713075 40.856915),103.0,2023-04-14
FtK_Cottonwood_Coulee 2021,46.3863,-105.9526,Satellite,FtK_Cottonwood_Coulee,2021,POINT (-105.9526 46.3863),81.0,2021-03-23
FtK_Cottonwood_Coulee 2022,46.3863,-105.9526,Satellite,FtK_Cottonwood_Coulee,2022,POINT (-105.9526 46.3863),94.0,2022-04-05
FtK_Lone_Pine 2021,46.347,-105.8464,Satellite,FtK_Lone_Pine,2021,POINT (-105.8464 46.347),72.0,2021-03-14
FtK_Lone_Pine 2022,46.347,-105.8464,Satellite,FtK_Lone_Pine,2022,POINT (-105.8464 46.347),87.0,2022-03-29
GoeblS1 2024,39.550182,-105.095917,Satellite,GoeblS1,2024,POINT (-105.095917 39.550182),70.0,2024-03-11
GreenCanyon 2021,41.766018,-111.789327,Satellite,GreenCanyon,2021,POINT (-111.789327 41.766018),87.0,2021-03-29
GreenCanyon 2022,41.766018,-111.789327,Satellite,GreenCanyon,2022,POINT (-111.789327 41.766018),100.0,2022-04-11
GreenCanyon 2023,41.766018,-111.789327,Satellite,GreenCanyon,2023,POINT (-111.789327 41.766018),111.0,2023-04-22
HardwareRanch 2022,41.613286,-111.567217,Satellite,HardwareRanch,2022,POINT (-111.567217 41.613286),80.0,2022-03-22
HardwareRanch 2023,41.613286,-111.567217,Satellite,HardwareRanch,2023,POINT (-111.567217 41.613286),111.0,2023-04-22
HPGRS AGCR 2022,41.177913,-104.899046,Satellite,HPGRS AGCR,2022,POINT (-104.899046 41.177913),51.0,2022-02-21
HPGRS AGCR 2023,41.177913,-104.899046,Satellite,HPGRS AGCR,2023,POINT (-104.899046 41.177913),87.0,2023-03-29
K1_vanDiepen 2022,41.221569,-106.136433,Satellite,K1_vanDiepen,2022,POINT (-106.136433 41.221569),98.0,2022-04-09
L1_vanDiepen 2022,41.217483,-105.925447,Satellite,L1_vanDiepen,2022,POINT (-105.925447 41.217483),75.0,2022-03-17
MPG_IR 2021,46.691,-114.022,Satellite,MPG_IR,2021,POINT (-114.022 46.691),73.0,2021-03-15
MPG_IR 2022,46.691,-114.022,Satellite,MPG_IR,2022,POINT (-114.022 46.691),77.0,2022-03-19
MPG_SR 2021,46.664,-114.001,Satellite,MPG_SR,2021,POINT (-114.001 46.664),30.0,2021-01-31
MPG_SR 2022,46.664,-114.001,Satellite,MPG_SR,2022,POINT (-114.001 46.664),71.0,2022-03-13
MPG_TH 2021,46.673,-114.006,Satellite,MPG_TH,2021,POINT (-114.006 46.673),67.0,2021-03-09
MPG_TH 2022,46.673,-114.006,Satellite,MPG_TH,2022,POINT (-114.006 46.673),73.0,2022-03-15
NEAR 4WAY CPER 2022,40.812673,-104.714491,Satellite,NEAR 4WAY CPER,2022,POINT (-104.714491 40.812673),107.0,2022-04-18
NEAR 4WAY CPER 2023,40.812673,-104.714491,Satellite,NEAR 4WAY CPER,2023,POINT (-104.714491 40.812673),118.0,2023-04-29
NEAR HQ CPER 2022,40.835791,-104.763785,Satellite,NEAR HQ CPER,2022,POINT (-104.763785 40.835791),127.0,2022-05-08
NEAR HQ CPER 2023,40.835791,-104.763785,Satellite,NEAR HQ CPER,2023,POINT (-104.763785 40.835791),120.0,2023-05-01
NEAR NUTNET 2022,40.839464,-104.717125,Satellite,NEAR NUTNET,2022,POINT (-104.717125 40.839464),121.0,2022-05-02
NEAR NUTNET 2023,40.839464,-104.717125,Satellite,NEAR NUTNET,2023,POINT (-104.717125 40.839464),119.0,2023-04-30
OttS1 2022,43.777398,-102.607243,Satellite,OttS1,2022,POINT (-102.607243 43.777398),71.0,2022-03-13
Pearlwise 2024,42.33939,-118.80428,Satellite,Pearlwise,2024,POINT (-118.80428 42.33939),73.0,2024-03-14
Peavine 2022,39.591003,-119.878406,Satellite,Peavine,2022,POINT (-119.878406 39.591003),45.0,2022-02-14
Peavine 2024,39.591003,-119.878406,Satellite,Peavine,2024,POINT (-119.878406 39.591003),75.0,2024-03-16
Plymouth 2022,39.072101,-119.783711,Satellite,Plymouth,2022,POINT (-119.783711 39.072101),69.0,2022-03-11
Plymouth 2024,39.072101,-119.783711,Satellite,Plymouth,2024,POINT (-119.783711 39.072101),49.0,2024-02-19
PMR- Brome 2021,40.625,-105.271,Satellite,PMR- Brome,2021,POINT (-105.271 40.625),81.0,2021-03-22
PMR- Brome 2022,40.625,-105.271,Satellite,PMR- Brome,2022,POINT (-105.271 40.625),117.0,2022-04-28
PMR- Pine 2021,40.625,-105.271,Satellite,PMR- Pine,2021,POINT (-105.271 40.625),81.0,2021-03-22
PMR- Pine 2022,40.625,-105.271,Satellite,PMR- Pine,2022,POINT (-105.271 40.625),117.0,2022-04-28
RedBluff 2023,45.579969,-111.664617,Satellite,RedBluff,2023,POINT (-111.664617 45.579969),109.0,2023-04-20
Rush_Valley 2022,40.0906,-112.305,Satellite,Rush_Valley,2022,POINT (-112.305 40.0906),51.0,2022-02-20
SouthEden 2022,41.926717,-111.275659,Satellite,SouthEden,2022,POINT (-111.275659 41.926717),104.0,2022-04-15
SouthEden 2023,41.926717,-111.275659,Satellite,SouthEden,2023,POINT (-111.275659 41.926717),116.0,2023-04-27
SouthEden 2024,41.926717,-111.275659,Satellite,SouthEden,2024,POINT (-111.275659 41.926717),93.0,2024-04-03
SSHigh 2022,44.295988,-112.096947,Satellite,SSHigh,2022,POINT (-112.096947 44.295988),102.0,2022-04-13
SSHigh 2023,44.295988,-112.096947,Satellite,SSHigh,2023,POINT (-112.096947 44.295988),120.0,2023-05-01
SSHigh 2024,44.295988,-112.096947,Satellite,SSHigh,2024,POINT (-112.096947 44.295988),107.0,2024-04-17
SSHQ 2022,44.246799,-112.213263,Satellite,SSHQ,2022,POINT (-112.213263 44.246799),96.0,2022-04-07
SSHQ 2023,44.246799,-112.213263,Satellite,SSHQ,2023,POINT (-112.213263 44.246799),119.0,2023-04-30
SSHQ 2024,44.246799,-112.213263,Satellite,SSHQ,2024,POINT (-112.213263 44.246799),86.0,2024-03-27
Symstad1 2021,43.35653,-103.541,Satellite,Symstad1,2021,POINT (-103.541 43.35653),105.0,2021-04-16
Symstad1 2022,43.35653,-103.541,Satellite,Symstad1,2022,POINT (-103.541 43.35653),97.0,2022-04-08
Symstad2 2022,43.3562,-103.54046,Satellite,Symstad2,2022,POINT (-103.54046 43.3562),95.0,2022-04-06
TB FIRE 2022,43.31193,-105.125329,Satellite,TB FIRE,2022,POINT (-105.125329 43.31193),80.0,2022-03-22
TB FIRE 2023,43.31193,-105.125329,Satellite,TB FIRE,2023,POINT (-105.125329 43.31193),102.0,2023-04-13
TB LC Control 2022,43.327853,-105.112892,Satellite,TB LC Control,2022,POINT (-105.112892 43.327853),84.0,2022-03-26
TB LC Control 2023,43.327853,-105.112892,Satellite,TB LC Control,2023,POINT (-105.112892 43.327853),95.0,2023-04-06
TB PRAIRIE DOG 2022,43.338797,-105.133254,Satellite,TB PRAIRIE DOG,2022,POINT (-105.133254 43.338797),75.0,2022-03-17
TB PRAIRIE DOG 2023,43.338797,-105.133254,Satellite,TB PRAIRIE DOG,2023,POINT (-105.133254 43.338797),103.0,2023-04-14
Woodruff 2022,41.56042,-111.172565,Satellite,Woodruff,2022,POINT (-111.172565 41.56042),44.0,2022-02-14
Woodruff 2023,41.56042,-111.172565,Satellite,Woodruff,2023,POINT (-111.172565 41.56042),124.0,2023-05-05
