"site_year","genotype","Type"
"CaseAoyamaS1 2022",40,"Satellite"
"CaseAoyamaS1 2023",40,"Satellite"
"CastValley 2021",83,"Satellite"
"CG PASTURE 2022",8,"Satellite"
"CG PASTURE 2023",8,"Satellite"
"dino 2024",98,"Satellite"
"EnsingS1 SuRDC 2022",6,"Satellite"
"EnsingS2 Summerland-Princeton 2022",6,"Satellite"
"EnsingS4 Lundbom 2022",1,"Satellite"
"EOARC 2022",40,"Satellite"
"FAR NORTH CPER 2022",24,"Satellite"
"FAR NORTH CPER 2023",24,"Satellite"
"FtK_Cottonwood_Coulee 2021",89,"Satellite"
"FtK_Cottonwood_Coulee 2022",89,"Satellite"
"FtK_Lone_Pine 2021",89,"Satellite"
"FtK_Lone_Pine 2022",89,"Satellite"
"GoeblS1 2024",53,"Satellite"
"GreenCanyon 2022",51,"Satellite"
"GreenCanyon 2023",51,"Satellite"
"HardwareRanch 2022",51,"Satellite"
"HardwareRanch 2023",51,"Satellite"
"HPGRS AGCR 2022",8,"Satellite"
"HPGRS AGCR 2023",8,"Satellite"
"MPG_IR 2021",66,"Satellite"
"MPG_IR 2022",66,"Satellite"
"MPG_SR 2021",66,"Satellite"
"MPG_SR 2022",66,"Satellite"
"MPG_TH 2021",66,"Satellite"
"MPG_TH 2022",66,"Satellite"
"NEAR 4WAY CPER 2022",24,"Satellite"
"NEAR 4WAY CPER 2023",24,"Satellite"
"NEAR HQ CPER 2022",24,"Satellite"
"NEAR HQ CPER 2023",24,"Satellite"
"NEAR NUTNET 2022",24,"Satellite"
"NEAR NUTNET 2023",24,"Satellite"
"OttS1 2022",56,"Satellite"
"Pearlwise 2024",39,"Satellite"
"Peavine 2022",65,"Satellite"
"Peavine 2024",65,"Satellite"
"Plymouth 2022",65,"Satellite"
"Plymouth 2024",65,"Satellite"
"PMR- Brome 2021",71,"Satellite"
"PMR- Brome 2022",71,"Satellite"
"PMR- Pine 2021",71,"Satellite"
"PMR- Pine 2022",71,"Satellite"
"RedBluff 2023",60,"Satellite"
"SSHigh 2022",19,"Satellite"
"SSHigh 2023",19,"Satellite"
"SSHigh 2024",19,"Satellite"
"SSHQ 2022",19,"Satellite"
"SSHQ 2023",19,"Satellite"
"SSHQ 2024",19,"Satellite"
"Symstad1 2021",91,"Satellite"
"Symstad1 2022",91,"Satellite"
"Symstad2 2022",91,"Satellite"
"TB FIRE 2022",69,"Satellite"
"TB FIRE 2023",69,"Satellite"
"TB LC Control 2022",69,"Satellite"
"TB LC Control 2023",69,"Satellite"
"TB PRAIRIE DOG 2022",69,"Satellite"
"TB PRAIRIE DOG 2023",69,"Satellite"
"Woodruff 2022",14,"Satellite"
"Woodruff 2023",14,"Satellite"
