"","site_year","PC1","PC1_future"
"1","Boise_High 2022",-1.05308295,-2.69758096816132
"2","Boise_Low 2022",-3.0475766,-4.69207461816132
"3","CaseAoyamaS1 2022",-0.38833586,-2.03283387816132
"4","CaseAoyamaS1 2023",1.5637929,-0.0807051181613172
"5","CastValley 2021",-5.3421412,-6.98663921816132
"6","CG PASTURE 2022",-0.77528939,-2.41978740816132
"7","CG PASTURE 2023",1.5028955,-0.141602518161317
"8","dino 2024",-2.59413475,-4.23863276816132
"9","EnsingS1 SuRDC 2022",-1.15444675,-2.79894476816132
"10","EnsingS2 Summerland-Princeton 2022",1.3501606,-0.294337418161317
"11","EnsingS3 Bear Creek 2022",-0.33323236,-1.97773037816132
"12","EnsingS4 Lundbom 2022",2.66807355,1.02357553183868
"13","EOARC 2022",-0.67120368,-2.31570169816132
"14","FAR NORTH CPER 2022",-1.0707514,-2.71524941816132
"15","FAR NORTH CPER 2023",0.372694385,-1.27180363316132
"16","FtK_Cottonwood_Coulee 2021",-1.16644745,-2.81094546816132
"17","FtK_Cottonwood_Coulee 2022",-0.393421995,-2.03792001316132
"18","FtK_Lone_Pine 2021",-1.39251555,-3.03701356816132
"19","FtK_Lone_Pine 2022",-0.46150972,-2.10600773816132
"20","GoeblS1 2024",-2.7438587,-4.38835671816132
"21","GreenCanyon 2022",0.524264735,-1.12023328316132
"22","GreenCanyon 2023",2.7525698,1.10807178183868
"23","HardwareRanch 2022",0.46386485,-1.18063316816132
"24","HardwareRanch 2023",2.59892835,0.954430331838683
"25","HPGRS AGCR 2022",-1.6266972,-3.27119521816132
"26","HPGRS AGCR 2023",0.845766415,-0.798731603161317
"27","MPG_IR 2021",0.41298535,-1.23151266816132
"28","MPG_IR 2022",0.66563818,-0.978859838161317
"29","MPG_SR 2021",-0.290121365,-1.93461938316132
"30","MPG_SR 2022",0.509717415,-1.13478060316132
"31","MPG_TH 2021",0.166867065,-1.47763095316132
"32","MPG_TH 2022",0.606557815,-1.03794020316132
"33","NEAR 4WAY CPER 2022",-1.26875315,-2.91325116816132
"34","NEAR 4WAY CPER 2023",0.51244447,-1.13205354816132
"35","NEAR HQ CPER 2022",-0.56444465,-2.20894266816132
"36","NEAR HQ CPER 2023",0.70899918,-0.935498838161317
"37","NEAR NUTNET 2022",-0.844555735,-2.48905375316132
"38","NEAR NUTNET 2023",0.630042605,-1.01445541316132
"39","OttS1 2022",-1.90560705,-3.55010506816132
"40","Pearlwise 2024",-2.0501345,-3.69463251816132
"41","Peavine 2022",-2.0337423,-3.67824031816132
"42","Peavine 2024",-2.08622065,-3.73071866816132
"43","Plymouth 2022",-2.721706,-4.36620401816132
"44","Plymouth 2024",-2.734139,-4.37863701816132
"45","PMR- Brome 2021",0.37610516,-1.26839285816132
"46","PMR- Brome 2022",0.12045547,-1.52404254816132
"47","PMR- Pine 2021",0.399383895,-1.24511412316132
"48","PMR- Pine 2022",0.108214235,-1.53628378316132
"49","RedBluff 2023",1.75461995,0.110121931838683
"50","SouthEden 2022",2.56189275,0.917394731838683
"51","SouthEden 2023",4.9775851,3.33308708183868
"52","SouthEden 2024",2.1529887,0.508490681838683
"53","SSHigh 2022",2.29636725,0.651869231838683
"54","SSHigh 2023",4.4429003,2.79840228183868
"55","SSHigh 2024",1.3265259,-0.317972118161317
"56","SSHQ 2022",1.0282988,-0.616199218161317
"57","SSHQ 2023",3.28125155,1.63675353183868
"58","SSHQ 2024",0.191808105,-1.45268991316132
"59","Symstad1 2021",-0.30956064,-1.95405865816132
"60","Symstad1 2022",-1.0452581,-2.68975611816132
"61","Symstad2 2022",-1.68167055,-3.32616856816132
"62","TB FIRE 2022",-0.84774192,-2.49223993816132
"63","TB FIRE 2023",0.99892914,-0.645568878161317
"64","TB LC Control 2022",-0.749580065,-2.39407808316132
"65","TB LC Control 2023",0.830712135,-0.813785883161317
"66","TB PRAIRIE DOG 2022",-0.89773993,-2.54223794816132
"67","TB PRAIRIE DOG 2023",0.9649661,-0.679531918161317
"68","Woodruff 2022",0.13083457,-1.51366344816132
"69","Woodruff 2023",4.12939235,2.48489433183868
"70","BA_black 2022",-1.67238455,-3.31688256816132
"71","BA_white 2022",-0.46219703,-2.10669504816132
"72","CH_black 2022",-1.750491,-3.39498901816132
"73","CH_black 2023",0.39520977,-1.24928824816132
"74","CH_white 2022",0.118333725,-1.52616429316132
"75","CH_white 2023",2.293278,0.648779981838683
"76","SS_black 2022",-0.075513766,-1.72001178416132
"77","SS_black 2023",1.78597415,0.141476131838683
"78","SS_white 2022",1.60705355,-0.0374444681613175
"79","SS_white 2023",3.44226505,1.79776703183868
"80","WI_black 2022",-3.504765,-5.14926301816132
"81","WI_black 2023",-2.7325397,-4.37703771816132
"82","WI_white 2022",-2.4691658,-4.11366381816132
"83","WI_white 2023",-1.6561668,-3.30066481816132
