"","site_year","PC1","PC1_future"
"1","Boise_High 2022",-1.0538114,-2.54098373669256
"2","Boise_Low 2022",-1.96035165,-3.44752398669256
"3","CaseAoyamaS1 2022",-0.39397031,-1.88114264669256
"4","CaseAoyamaS1 2023",1.44230135,-0.0448709866925625
"5","CastValley 2021",-3.99364595,-5.48081828669256
"6","CG PASTURE 2023",0.98344437,-0.503727966692563
"7","dino 2024",-2.1521741,-3.63934643669256
"8","EnsingS1 SuRDC 2022",-1.2117832,-2.69895553669256
"9","EnsingS2 Summerland-Princeton 2022",1.61534145,0.128169113307437
"10","EnsingS3 Bear Creek 2022",0.43067456,-1.05649777669256
"11","EnsingS4 Lundbom 2022",2.02278735,0.535615013307437
"12","EOARC 2022",-0.791977105,-2.27914944169256
"13","FAR NORTH CPER 2022",-0.46461692,-1.95178925669256
"14","FAR NORTH CPER 2023",0.60423535,-0.882936986692563
"15","FtK_Cottonwood_Coulee 2021",-1.31070115,-2.79787348669256
"16","FtK_Cottonwood_Coulee 2022",-0.37708562,-1.86425795669256
"17","FtK_Lone_Pine 2021",-1.5901359,-3.07730823669256
"18","FtK_Lone_Pine 2022",-0.35817622,-1.84534855669256
"19","GreenCanyon 2022",0.78014871,-0.707023626692563
"20","GreenCanyon 2023",3.2405659,1.75339356330744
"21","HardwareRanch 2022",0.0803817985,-1.40679053819256
"22","HardwareRanch 2023",2.6255017,1.13832936330744
"23","HPGRS AGCR 2022",-2.3372909,-3.82446323669256
"24","HPGRS AGCR 2023",0.64961131,-0.837561026692563
"25","MPG_IR 2021",0.0961743365,-1.39099800019256
"26","MPG_IR 2022",0.44691557,-1.04025676669256
"27","MPG_SR 2021",-1.40126695,-2.88843928669256
"28","MPG_SR 2022",-0.465384055,-1.95255639169256
"29","MPG_TH 2021",-1.2174866,-2.70465893669256
"30","MPG_TH 2022",-0.99348454,-2.48065687669256
"31","NEAR 4WAY CPER 2023",1.10788995,-0.379282386692563
"32","NEAR HQ CPER 2023",1.3912618,-0.0959105366925626
"33","OttS1 2022",-2.0780469,-3.56521923669256
"34","Pearlwise 2024",-1.9259043,-3.41307663669256
"35","Peavine 2022",-2.1561819,-3.64335423669256
"36","Peavine 2024",-2.00021885,-3.48739118669256
"37","Plymouth 2022",-2.3494692,-3.83664153669256
"38","Plymouth 2024",-2.5641657,-4.05133803669256
"39","PMR- Brome 2021",0.97945321,-0.507719126692563
"40","PMR- Brome 2022",1.1738534,-0.313318936692563
"41","PMR- Pine 2021",1.8259842,0.338811863307437
"42","PMR- Pine 2022",0.496864495,-0.990307841692563
"43","RedBluff 2023",1.7379013,0.250728963307437
"44","SouthEden 2022",2.09614345,0.608971113307437
"45","SouthEden 2023",4.6374308,3.15025846330744
"46","SouthEden 2024",1.3605579,-0.126614436692563
"47","SSHigh 2022",1.93603835,0.448866013307437
"48","SSHigh 2023",4.46459475,2.97742241330744
"49","SSHigh 2024",1.0775076,-0.409664736692563
"50","SSHQ 2022",0.730921445,-0.756250891692563
"51","SSHQ 2023",3.45139325,1.96422091330744
"52","SSHQ 2024",-0.281360125,-1.76853246169256
"53","Symstad1 2021",0.0740098835,-1.41316245319256
"54","Symstad1 2022",-0.77417366,-2.26134599669256
"55","Symstad2 2022",-1.4889349,-2.97610723669256
"56","TB FIRE 2022",-1.0368966,-2.52406893669256
"57","TB FIRE 2023",0.911556725,-0.575615611692563
"58","TB LC Control 2022",-0.89422106,-2.38139339669256
"59","TB LC Control 2023",0.63306146,-0.854110876692563
"60","TB PRAIRIE DOG 2022",-1.15574115,-2.64291348669256
"61","Woodruff 2022",-1.3675136,-2.85468593669256
"62","Woodruff 2023",4.2180029,2.73083056330744
"63","BA_black 2022",-1.6619861,-3.14915843669256
"64","BA_white 2022",-0.915017585,-2.40218992169256
"65","CH_black 2022",-1.53924375,-3.02641608669256
"66","CH_black 2023",0.79469342,-0.692478916692563
"67","CH_white 2022",-0.330909195,-1.81808153169256
"68","CH_white 2023",1.9716321,0.484459763307437
"69","SS_black 2022",0.0033919898,-1.48378034689256
"70","SS_black 2023",2.038305,0.551132663307438
"71","SS_white 2022",1.02342395,-0.463748386692563
"72","SS_white 2023",3.06252745,1.57535511330744
"73","WI_black 2022",-3.18099715,-4.66816948669256
"74","WI_black 2023",-2.54520815,-4.03238048669256
"75","WI_white 2022",-2.53123745,-4.01840978669256
"76","WI_white 2023",-1.9017971,-3.38896943669256
