"","site_year","PC1","PC1_future"
"1","Boise_High 2022",-1.25304735,-2.89754536816132
"2","Boise_Low 2022",-2.96436505,-4.60886306816132
"3","CaseAoyamaS1 2022",-0.3955096,-2.04000761816132
"4","CaseAoyamaS1 2023",1.4955085,-0.148989518161317
"5","CastValley 2021",-4.48030955,-6.12480756816132
"6","CG PASTURE 2022",-1.28426835,-2.92876636816132
"7","CG PASTURE 2023",0.932666155,-0.711831863161317
"8","dino 2024",-2.966176,-4.61067401816132
"9","EnsingS1 SuRDC 2022",-1.1942158,-2.83871381816132
"10","EnsingS2 Summerland-Princeton 2022",1.2295734,-0.414924618161317
"11","EnsingS3 Bear Creek 2022",-0.42082465,-2.06532266816132
"12","EnsingS4 Lundbom 2022",2.5349367,0.890438681838683
"13","EOARC 2022",-0.721537045,-2.36603506316132
"14","FAR NORTH CPER 2022",-1.10110095,-2.74559896816132
"15","FAR NORTH CPER 2023",0.32531897,-1.31917904816132
"16","FtK_Cottonwood_Coulee 2021",-1.1993753,-2.84387331816132
"17","FtK_Cottonwood_Coulee 2022",-0.41761172,-2.06210973816132
"18","FtK_Lone_Pine 2021",-1.4357794,-3.08027741816132
"19","FtK_Lone_Pine 2022",-0.4641695,-2.10866751816132
"20","GreenCanyon 2022",0.575620575,-1.06887744316132
"21","GreenCanyon 2023",2.80024255,1.15574453183868
"22","HardwareRanch 2022",0.42641278,-1.21808523816132
"23","HardwareRanch 2023",2.5194753,0.874977281838683
"24","HPGRS AGCR 2022",-1.5906375,-3.23513551816132
"25","HPGRS AGCR 2023",0.7725221,-0.871975918161317
"26","MPG_IR 2021",0.363599665,-1.28089835316132
"27","MPG_IR 2022",0.385267015,-1.25923100316132
"28","MPG_SR 2021",-0.74651485,-2.39101286816132
"29","MPG_SR 2022",1.0205685,-0.623929518161317
"30","MPG_TH 2021",0.0298618195,-1.61463619866132
"31","MPG_TH 2022",0.57393944,-1.07055857816132
"32","NEAR 4WAY CPER 2022",-1.2428337,-2.88733171816132
"33","NEAR 4WAY CPER 2023",0.438810325,-1.20568769316132
"34","NEAR HQ CPER 2022",-0.624268365,-2.26876638316132
"35","NEAR HQ CPER 2023",0.650638315,-0.993859703161317
"36","NEAR NUTNET 2022",-0.85861273,-2.50311074816132
"37","NEAR NUTNET 2023",0.593360675,-1.05113734316132
"38","OttS1 2022",-1.9625849,-3.60708291816132
"39","Pearlwise 2024",-2.2010716,-3.84556961816132
"40","Peavine 2022",-1.7904584,-3.43495641816132
"41","Peavine 2024",-2.8253948,-4.46989281816132
"42","Plymouth 2022",-2.2126815,-3.85717951816132
"43","Plymouth 2024",-2.70897995,-4.35347796816132
"44","PMR- Brome 2021",0.406702765,-1.23779525316132
"45","PMR- Brome 2022",0.104026745,-1.54047127316132
"46","PMR- Pine 2021",0.403780525,-1.24071749316132
"47","PMR- Pine 2022",0.09393474,-1.55056327816132
"48","RedBluff 2023",1.6187449,-0.0257531181613173
"49","SouthEden 2022",2.5417331,0.897235081838683
"50","SouthEden 2023",4.93509455,3.29059653183868
"51","SouthEden 2024",2.0702534,0.425755381838683
"52","SSHigh 2022",2.2447394,0.600241381838683
"53","SSHigh 2023",4.3655343,2.72103628183868
"54","SSHigh 2024",1.1729922,-0.471505818161317
"55","SSHQ 2022",0.924542035,-0.719955983161317
"56","SSHQ 2023",3.14518095,1.50068293183868
"57","SSHQ 2024",0.0355419095,-1.60895610866132
"58","Symstad1 2021",-0.29956525,-1.94406326816132
"59","Symstad1 2022",-1.0096586,-2.65415661816132
"60","Symstad2 2022",-1.6686591,-3.31315711816132
"61","TB FIRE 2022",-0.838238045,-2.48273606316132
"62","TB FIRE 2023",0.930216335,-0.714281683161317
"63","TB LC Control 2022",-0.74601252,-2.39051053816132
"64","TB LC Control 2023",0.78391645,-0.860581568161317
"65","TB PRAIRIE DOG 2022",-0.89862425,-2.54312226816132
"66","TB PRAIRIE DOG 2023",0.92130088,-0.723197138161317
"67","Woodruff 2022",0.139744235,-1.50475378316132
"68","Woodruff 2023",3.9667253,2.32222728183868
"69","BA_black 2022",-1.69620535,-3.34070336816132
"70","BA_white 2022",-0.527909535,-2.17240755316132
"71","CH_black 2022",-1.7107093,-3.35520731816132
"72","CH_black 2023",0.390453935,-1.25404408316132
"73","CH_white 2022",0.0865028695,-1.55799514866132
"74","CH_white 2023",2.1929331,0.548435081838683
"75","SS_black 2022",-0.12899884,-1.77349685816132
"76","SS_black 2023",1.67211675,0.0276187318386827
"77","SS_white 2022",1.4404438,-0.204054218161317
"78","SS_white 2023",3.2722586,1.62776058183868
"79","WI_black 2022",-3.4194247,-5.06392271816132
"80","WI_black 2023",-2.6688882,-4.31338621816132
"81","WI_white 2022",-2.4354623,-4.07996031816132
"82","WI_white 2023",-1.660033,-3.30453101816132
