"","x"
"beta[1,1]",-0.020716325
"beta[2,1]",-0.0392255305
"beta[3,1]",-0.0384480345
"beta[4,1]",-0.056638903
"beta[5,1]",-0.036266692
"beta[6,1]",-0.036027922
"beta[7,1]",-0.0429569085
"beta[8,1]",-0.0568720155
"beta[9,1]",-0.0344679585
"beta[10,1]",-0.050680898
"beta[11,1]",-0.034321064
"beta[12,1]",-0.034657874
"beta[13,1]",-0.023297124
"beta[14,1]",-0.034679644
"beta[15,1]",-0.0433939075
"beta[16,1]",-0.0386646425
"beta[17,1]",-0.049140506
"beta[18,1]",-0.02756865
"beta[19,1]",-0.027460596
"beta[20,1]",-0.047097015
"beta[21,1]",-0.050147271
"beta[22,1]",-0.0500619995
"beta[23,1]",-0.049995933
"beta[24,1]",-0.0454922045
"beta[25,1]",-0.0455087135
"beta[26,1]",-0.0415676175
"beta[27,1]",-0.0342790575
"beta[28,1]",-0.0489086735
"beta[29,1]",-0.048606801
"beta[30,1]",-0.03308751
"beta[31,1]",-0.034731947
"beta[32,1]",-0.045571557
"beta[33,1]",-0.0351033865
"beta[34,1]",-0.047618623
"beta[35,1]",-0.050721616
"beta[36,1]",-0.0463687375
"beta[37,1]",-0.027953895
"beta[38,1]",-0.0334444225
"beta[39,1]",-0.029213051
"beta[40,1]",-0.034600007
"beta[41,1]",-0.0438949775
"beta[42,1]",-0.0414975775
"beta[43,1]",-0.049201266
"beta[44,1]",-0.049904093
"beta[45,1]",-0.0413496005
"beta[46,1]",-0.0499010265
"beta[47,1]",-0.041114665
"beta[48,1]",-0.0351931735
"beta[49,1]",-0.0542155525
"beta[50,1]",-0.034858076
"beta[51,1]",-0.0352161235
"beta[52,1]",-0.039132942
"beta[53,1]",-0.05171442
"beta[54,1]",-0.0338405075
"beta[55,1]",-0.031906571
"beta[56,1]",-0.0344221895
"beta[57,1]",-0.0462580615
"beta[58,1]",-0.046510723
"beta[59,1]",-0.0514120095
"beta[60,1]",-0.044755556
"beta[61,1]",-0.0385689435
"beta[62,1]",-0.0425123605
"beta[63,1]",-0.0513765385
"beta[64,1]",-0.049434687
"beta[65,1]",-0.045036417
"beta[66,1]",-0.0597212495
"beta[67,1]",-0.0506222115
"beta[68,1]",-0.0305298025
"beta[69,1]",-0.0341051475
"beta[70,1]",-0.045095271
"beta[71,1]",-0.0459864985
"beta[72,1]",-0.0444748755
"beta[73,1]",-0.036466912
"beta[74,1]",-0.0480239755
"beta[75,1]",-0.046263892
"beta[76,1]",-0.0346540155
"beta[77,1]",-0.027078717
"beta[78,1]",-0.059126297
"beta[79,1]",-0.042269621
"beta[80,1]",-0.0357424975
"beta[81,1]",-0.0406089615
"beta[82,1]",-0.037905354
"beta[83,1]",-0.0360880735
"beta[84,1]",-0.047252992
"beta[85,1]",-0.036453854
"beta[86,1]",-0.0387584125
"beta[87,1]",-0.0359133085
"beta[88,1]",-0.0357551045
"beta[89,1]",-0.034630367
"beta[90,1]",-0.040132239
"beta[91,1]",-0.041138983
"beta[92,1]",-0.0427903085
"beta[93,1]",-0.0403214905
"beta[94,1]",-0.04008381
"beta[95,1]",-0.0372540075
"beta[96,1]",-0.0384783865
"beta[97,1]",-0.0353635245
"beta[98,1]",-0.0382620285
"beta[99,1]",-0.0380367055
"beta[100,1]",-0.037541608
"beta[101,1]",-0.038606865
"beta[102,1]",-0.0403153925
"beta[103,1]",-0.0386377855
"beta[104,1]",-0.0404337535
"beta[105,1]",-0.040091767
"beta[106,1]",-0.0361075805
"beta[107,1]",-0.0366809715
"beta[108,1]",-0.034869606
"beta[109,1]",-0.0379074255
"beta[110,1]",-0.038082248
"beta[111,1]",-0.039672444
"beta[112,1]",-0.039056804
"beta[113,1]",-0.037647721
"beta[114,1]",-0.038280014
"beta[115,1]",-0.039989129
"beta[116,1]",-0.0402368645
"beta[117,1]",-0.0405493215
"beta[118,1]",-0.040376831
"beta[119,1]",-0.040252591
"beta[120,1]",-0.0388933965
"beta[121,1]",-0.0447452365
