"","x"
"beta[1,1]",-0.0963269815
"beta[2,1]",-0.0615473325
"beta[3,1]",0.0187946095
"beta[4,1]",-0.065004208
"beta[5,1]",-0.18630491
"beta[6,1]",-0.186726975
"beta[7,1]",0.0677655925
"beta[8,1]",-0.051750341
"beta[9,1]",-0.0191202705
"beta[10,1]",0.0304266425
"beta[11,1]",0.0451458935
"beta[12,1]",0.046497723
"beta[13,1]",0.12421645
"beta[14,1]",0.084681312
"beta[15,1]",-0.052807898
"beta[16,1]",-0.0066753
"beta[17,1]",0.123190685
"beta[18,1]",0.037214594
"beta[19,1]",0.0372715025
"beta[20,1]",0.138240955
"beta[21,1]",0.152258575
"beta[22,1]",0.15166795
"beta[23,1]",0.15207421
"beta[24,1]",0.158449245
"beta[25,1]",0.1592171
"beta[26,1]",-0.0331005355
"beta[27,1]",0.12454004
"beta[28,1]",0.12279817
"beta[29,1]",0.123255475
"beta[30,1]",0.033388895
"beta[31,1]",0.0447606895
"beta[32,1]",0.119461465
"beta[33,1]",0.18866607
"beta[34,1]",-0.016662708
"beta[35,1]",0.0285275655
"beta[36,1]",0.0617912485
"beta[37,1]",0.074670345
"beta[38,1]",0.038909745
"beta[39,1]",0.111898135
"beta[40,1]",0.084019268
"beta[41,1]",0.13022699
"beta[42,1]",0.1064639
"beta[43,1]",-0.06900928
"beta[44,1]",0.151182105
"beta[45,1]",0.13494783
"beta[46,1]",0.15150591
"beta[47,1]",0.124805375
"beta[48,1]",0.15810764
"beta[49,1]",0.055147437
"beta[50,1]",0.0453363515
"beta[51,1]",-0.201655575
"beta[52,1]",0.0486408915
"beta[53,1]",-0.00119317655
"beta[54,1]",0.063126293
"beta[55,1]",0.069112829
"beta[56,1]",0.045065351
"beta[57,1]",0.0619731995
"beta[58,1]",-0.058751159
"beta[59,1]",-0.0417936315
"beta[60,1]",-0.0163071935
"beta[61,1]",0.069119456
"beta[62,1]",-0.00682378575
"beta[63,1]",-0.053071245
"beta[64,1]",0.124216055
"beta[65,1]",0.10911109
"beta[66,1]",-0.016113696
"beta[67,1]",0.0218158305
"beta[68,1]",-0.0673820415
"beta[69,1]",0.096784392
"beta[70,1]",0.0537906495
"beta[71,1]",0.0629909495
"beta[72,1]",0.0531883105
"beta[73,1]",0.00143124485
"beta[74,1]",0.123147085
"beta[75,1]",0.062185167
"beta[76,1]",0.0852143985
"beta[77,1]",0.0366757965
"beta[78,1]",0.13603158
"beta[79,1]",0.0338495905
"beta[80,1]",0.0549329555
"beta[81,1]",0.10271875
"beta[82,1]",0.0344439615
"beta[83,1]",0.062163622
"beta[84,1]",0.1085266
"beta[85,1]",0.059366387
"beta[86,1]",0.043667311
"beta[87,1]",0.0248565205
"beta[88,1]",0.0549178755
"beta[89,1]",-0.00273160845
"beta[90,1]",0.0515870785
"beta[91,1]",0.036835808
"beta[92,1]",0.0383407415
"beta[93,1]",0.0724213915
"beta[94,1]",0.054113744
"beta[95,1]",0.0335982455
"beta[96,1]",0.037921661
"beta[97,1]",0.014056918
"beta[98,1]",0.026651434
"beta[99,1]",0.0323380715
"beta[100,1]",0.033350212
"beta[101,1]",0.0334599335
"beta[102,1]",0.0522683095
"beta[103,1]",0.0516331755
"beta[104,1]",0.050528126
"beta[105,1]",0.037834336
"beta[106,1]",0.030200798
"beta[107,1]",0.0734061915
"beta[108,1]",0.081657108
"beta[109,1]",0.10446935
"beta[110,1]",0.0251651785
"beta[111,1]",0.080074197
"beta[112,1]",0.040205908
"beta[113,1]",0.0225517765
"beta[114,1]",0.029696463
"beta[115,1]",0.036056922
"beta[116,1]",0.036360927
"beta[117,1]",0.043127833
"beta[118,1]",0.041938215
"beta[119,1]",0.042874367
"beta[120,1]",0.033839421
"beta[121,1]",0.071657097
