"","x"
"beta[1,1]",0.002426745
"beta[2,1]",0.141293455
"beta[3,1]",-0.16839344
"beta[4,1]",-0.105686335
"beta[5,1]",-0.026595178
"beta[6,1]",-0.0275029515
"beta[7,1]",-0.175075475
"beta[8,1]",-0.11222039
"beta[9,1]",-0.14755222
"beta[10,1]",-0.10268051
"beta[11,1]",-0.186332105
"beta[12,1]",-0.185419845
"beta[13,1]",-0.044786328
"beta[14,1]",-0.137711765
"beta[15,1]",-0.000928787035
"beta[16,1]",-0.0669644065
"beta[17,1]",-0.10970265
"beta[18,1]",-0.122294105
"beta[19,1]",-0.122251035
"beta[20,1]",-0.0678955885
"beta[21,1]",-0.0644772735
"beta[22,1]",-0.063746672
"beta[23,1]",-0.063066503
"beta[24,1]",-0.093824022
"beta[25,1]",-0.093638723
"beta[26,1]",-0.09083972
"beta[27,1]",-0.0686492895
"beta[28,1]",-0.10896986
"beta[29,1]",-0.10838934
"beta[30,1]",-0.11728242
"beta[31,1]",-0.18546204
"beta[32,1]",-0.070348204
"beta[33,1]",-0.075783943
"beta[34,1]",-0.10431574
"beta[35,1]",-0.106877375
"beta[36,1]",-0.184090375
"beta[37,1]",-0.089700499
"beta[38,1]",-0.0673599655
"beta[39,1]",-0.130140335
"beta[40,1]",-0.13672421
"beta[41,1]",-0.18244176
"beta[42,1]",-0.193836885
"beta[43,1]",0.0734660715
"beta[44,1]",-0.0638220235
"beta[45,1]",-0.00675545305
"beta[46,1]",-0.0633614685
"beta[47,1]",-0.0303335565
"beta[48,1]",-0.09021613
"beta[49,1]",-0.194751305
"beta[50,1]",-0.184625265
"beta[51,1]",-0.072861566
"beta[52,1]",-0.0913182205
"beta[53,1]",-0.131203005
"beta[54,1]",-0.16679175
"beta[55,1]",-0.0664078665
"beta[56,1]",-0.1853613
"beta[57,1]",-0.184153285
"beta[58,1]",-0.0187815975
"beta[59,1]",0.0850494945
"beta[60,1]",-0.084131435
"beta[61,1]",-0.0875529805
"beta[62,1]",-0.185043755
"beta[63,1]",-0.122857
"beta[64,1]",-0.10973836
"beta[65,1]",-0.144723985
"beta[66,1]",-0.163668545
"beta[67,1]",-0.17292793
"beta[68,1]",-0.171973095
"beta[69,1]",-0.10197934
"beta[70,1]",-0.081690964
"beta[71,1]",-0.18406053
"beta[72,1]",-0.083562535
"beta[73,1]",-0.11321868
"beta[74,1]",-0.108578465
"beta[75,1]",-0.184900755
"beta[76,1]",-0.136722555
"beta[77,1]",-0.122330765
"beta[78,1]",-0.13120263
"beta[79,1]",-0.10100775
"beta[80,1]",-0.072774976
"beta[81,1]",-0.076985658
"beta[82,1]",-0.091251231
"beta[83,1]",-0.07780343
"beta[84,1]",-0.107920545
"beta[85,1]",-0.0775969345
"beta[86,1]",-0.0863816705
"beta[87,1]",-0.066552635
"beta[88,1]",-0.0662128985
"beta[89,1]",-0.0781800185
"beta[90,1]",-0.10074403
"beta[91,1]",-0.1071539
"beta[92,1]",-0.10851679
"beta[93,1]",-0.08455984
"beta[94,1]",-0.092109179
"beta[95,1]",-0.0914311745
"beta[96,1]",-0.0886984315
"beta[97,1]",-0.096780952
"beta[98,1]",-0.0926608305
"beta[99,1]",-0.094943063
"beta[100,1]",-0.094725792
"beta[101,1]",-0.095164409
"beta[102,1]",-0.100561945
"beta[103,1]",-0.10043431
"beta[104,1]",-0.1016531
"beta[105,1]",-0.0956997565
"beta[106,1]",-0.083810239
"beta[107,1]",-0.0805471765
"beta[108,1]",-0.0699384775
"beta[109,1]",-0.0709051685
"beta[110,1]",-0.087149965
"beta[111,1]",-0.0922090265
"beta[112,1]",-0.1001752
"beta[113,1]",-0.0965878115
"beta[114,1]",-0.093476198
"beta[115,1]",-0.0998815325
"beta[116,1]",-0.10283268
"beta[117,1]",-0.10233871
"beta[118,1]",-0.10297213
"beta[119,1]",-0.103425
"beta[120,1]",-0.0986512095
"beta[121,1]",-0.115582325
