"","x"
"beta_0_centered[1]",0.9849196085
"beta_0_centered[2]",1.007801638
"beta_0_centered[3]",0.9915657295
"beta_0_centered[4]",0.986712308
"beta_0_centered[5]",1.114633408
"beta_0_centered[6]",1.11329464805
"beta_0_centered[7]",1.4484332435
"beta_0_centered[8]",1.28418439
"beta_0_centered[9]",0.9447291495
"beta_0_centered[10]",1.081014705
"beta_0_centered[11]",0.84862446
"beta_0_centered[12]",0.84800547
"beta_0_centered[13]",1.05036126475
"beta_0_centered[14]",1.444359195
"beta_0_centered[15]",1.178144721
"beta_0_centered[16]",0.777920975
"beta_0_centered[17]",0.733187495
"beta_0_centered[18]",1.425632595
"beta_0_centered[19]",1.422811605
"beta_0_centered[20]",1.2350536
"beta_0_centered[21]",1.0734594405
"beta_0_centered[22]",1.0741535955
"beta_0_centered[23]",1.0754185215
"beta_0_centered[24]",1.49079377
"beta_0_centered[25]",1.485687155
"beta_0_centered[26]",1.267016155
"beta_0_centered[27]",1.20592989
"beta_0_centered[28]",0.73285276
"beta_0_centered[29]",0.72600841
"beta_0_centered[30]",1.417082585
"beta_0_centered[31]",0.84852113
"beta_0_centered[32]",1.23599188
"beta_0_centered[33]",1.23741445
"beta_0_centered[34]",1.41917687
"beta_0_centered[35]",1.2279250315
"beta_0_centered[36]",1.2001249215
"beta_0_centered[37]",1.547900695
"beta_0_centered[38]",0.861945823
"beta_0_centered[39]",1.48723184
"beta_0_centered[40]",1.44434086
"beta_0_centered[41]",1.03996313
"beta_0_centered[42]",0.98833896
"beta_0_centered[43]",0.786780227
"beta_0_centered[44]",1.07510202
"beta_0_centered[45]",1.31429829
"beta_0_centered[46]",1.0736978415
"beta_0_centered[47]",1.1111045375
"beta_0_centered[48]",1.26379915
"beta_0_centered[49]",1.039262577
"beta_0_centered[50]",0.846611495
"beta_0_centered[51]",1.0516786195
"beta_0_centered[52]",1.366228495
"beta_0_centered[53]",1.178514925
"beta_0_centered[54]",1.21804645
"beta_0_centered[55]",0.915286835
"beta_0_centered[56]",0.84680423
"beta_0_centered[57]",1.198786462
"beta_0_centered[58]",1.1031772138
"beta_0_centered[59]",1.1166776275
"beta_0_centered[60]",1.102052137
"beta_0_centered[61]",1.0027940265
"beta_0_centered[62]",1.185684306
"beta_0_centered[63]",0.408620795
"beta_0_centered[64]",0.729433295
"beta_0_centered[65]",0.893563902
"beta_0_centered[66]",1.36850675
"beta_0_centered[67]",1.1392824895
"beta_0_centered[68]",1.228079642
"beta_0_centered[69]",0.926592185
"beta_0_centered[70]",0.67949898
"beta_0_centered[71]",1.1970315945
"beta_0_centered[72]",0.66883836
"beta_0_centered[73]",0.66539422
"beta_0_centered[74]",0.73163133
"beta_0_centered[75]",1.19429393
"beta_0_centered[76]",1.44281014
"beta_0_centered[77]",1.42551729
"beta_0_centered[78]",1.27109125
"beta_0_centered[79]",0.75958417
"beta_0_centered[80]",1.162700366
"beta_0_centered[81]",1.098648625
"beta_0_centered[82]",0.992480218
"beta_0_centered[83]",1.0899580815
"beta_0_centered[84]",0.97423511
"beta_0_centered[85]",1.0979905945
"beta_0_centered[86]",0.99776238955
"beta_0_centered[87]",1.1874437685
"beta_0_centered[88]",1.1590466575
"beta_0_centered[89]",1.108746925
"beta_0_centered[90]",0.93719814
"beta_0_centered[91]",0.871107205
"beta_0_centered[92]",0.869729735
"beta_0_centered[93]",1.0386856052
"beta_0_centered[94]",0.997797184
"beta_0_centered[95]",0.9916422145
"beta_0_centered[96]",1.03362187
"beta_0_centered[97]",1.06874725585
"beta_0_centered[98]",0.9486685585
"beta_0_centered[99]",1.000200755
"beta_0_centered[100]",0.99039594
"beta_0_centered[101]",0.9943098765
"beta_0_centered[102]",0.9343875325
"beta_0_centered[103]",0.94206915805
"beta_0_centered[104]",0.934062008
"beta_0_centered[105]",0.933025965
"beta_0_centered[106]",1.0672061746
"beta_0_centered[107]",1.0877192372
"beta_0_centered[108]",1.2481182495
"beta_0_centered[109]",1.180113398
"beta_0_centered[110]",1.0031537485
"beta_0_centered[111]",1.0042369315
"beta_0_centered[112]",0.922554425
"beta_0_centered[113]",0.984268978
"beta_0_centered[114]",1.0071302475
"beta_0_centered[115]",0.91898175
"beta_0_centered[116]",0.91444309
"beta_0_centered[117]",0.90527408
"beta_0_centered[118]",0.901263634
"beta_0_centered[119]",0.90177889
"beta_0_centered[120]",0.9582342205
"beta_0_centered[121]",0.885744688
