"","x"
"beta_0_centered[1]",3.4816518915
"beta_0_centered[2]",3.3029510145
"beta_0_centered[3]",3.541263443
"beta_0_centered[4]",3.378380718
"beta_0_centered[5]",3.255383285
"beta_0_centered[6]",3.256030625
"beta_0_centered[7]",3.531076477
"beta_0_centered[8]",3.5402544215
"beta_0_centered[9]",3.350478145
"beta_0_centered[10]",3.4935050465
"beta_0_centered[11]",3.4768115865
"beta_0_centered[12]",3.4770874635
"beta_0_centered[13]",3.478055383
"beta_0_centered[14]",3.516024967
"beta_0_centered[15]",3.378232235
"beta_0_centered[16]",3.4054485765
"beta_0_centered[17]",3.5148681455
"beta_0_centered[18]",3.5189640365
"beta_0_centered[19]",3.5197826995
"beta_0_centered[20]",3.58013636085
"beta_0_centered[21]",3.485993596
"beta_0_centered[22]",3.4865930515
"beta_0_centered[23]",3.487436471
"beta_0_centered[24]",3.607736625
"beta_0_centered[25]",3.607921416
"beta_0_centered[26]",3.4946410965
"beta_0_centered[27]",3.486611375
"beta_0_centered[28]",3.5145259865
"beta_0_centered[29]",3.5147801325
"beta_0_centered[30]",3.5238538435
"beta_0_centered[31]",3.4765394363
"beta_0_centered[32]",3.3029166
"beta_0_centered[33]",3.4497940085
"beta_0_centered[34]",3.383461765
"beta_0_centered[35]",3.576531658
"beta_0_centered[36]",3.556619846
"beta_0_centered[37]",3.60212896
"beta_0_centered[38]",3.3813697215
"beta_0_centered[39]",3.53383167135
"beta_0_centered[40]",3.5153806225
"beta_0_centered[41]",3.4976139495
"beta_0_centered[42]",3.5370051025
"beta_0_centered[43]",3.25871854
"beta_0_centered[44]",3.487698726
"beta_0_centered[45]",3.536863018
"beta_0_centered[46]",3.486656966
"beta_0_centered[47]",3.10413703
"beta_0_centered[48]",3.429708225
"beta_0_centered[49]",3.4439243955
"beta_0_centered[50]",3.4774398158
"beta_0_centered[51]",3.3865316495
"beta_0_centered[52]",3.4873089295
"beta_0_centered[53]",3.487537713
"beta_0_centered[54]",3.375201915
"beta_0_centered[55]",3.524573321
"beta_0_centered[56]",3.47734373
"beta_0_centered[57]",3.55740557
"beta_0_centered[58]",3.4328734885
"beta_0_centered[59]",3.3456200545
"beta_0_centered[60]",3.502420705
"beta_0_centered[61]",3.533909018
"beta_0_centered[62]",3.4584414885
"beta_0_centered[63]",3.5191689182
"beta_0_centered[64]",3.515749798
"beta_0_centered[65]",3.4949332085
"beta_0_centered[66]",3.5554118445
"beta_0_centered[67]",3.45830186995
"beta_0_centered[68]",3.546525883
"beta_0_centered[69]",3.467614001
"beta_0_centered[70]",3.3931129955
"beta_0_centered[71]",3.557919368
"beta_0_centered[72]",3.3929513925
"beta_0_centered[73]",3.496248918
"beta_0_centered[74]",3.5153515515
"beta_0_centered[75]",3.557121481
"beta_0_centered[76]",3.516196271
"beta_0_centered[77]",3.519916825
"beta_0_centered[78]",3.504372515
"beta_0_centered[79]",3.4793866645
"beta_0_centered[80]",3.447748665
"beta_0_centered[81]",3.4655335545
"beta_0_centered[82]",3.4519551205
"beta_0_centered[83]",3.4471754915
"beta_0_centered[84]",3.498504979
"beta_0_centered[85]",3.445576162
"beta_0_centered[86]",3.453349971
"beta_0_centered[87]",3.4342546125
"beta_0_centered[88]",3.4385750655
"beta_0_centered[89]",3.4345371795
"beta_0_centered[90]",3.4636687995
"beta_0_centered[91]",3.4580489881
"beta_0_centered[92]",3.4578721315
"beta_0_centered[93]",3.4592758805
"beta_0_centered[94]",3.4630784145
"beta_0_centered[95]",3.45222911535
"beta_0_centered[96]",3.453548785
"beta_0_centered[97]",3.458196105
"beta_0_centered[98]",3.44822913065
"beta_0_centered[99]",3.4521231365
"beta_0_centered[100]",3.4531298095
"beta_0_centered[101]",3.4532700275
"beta_0_centered[102]",3.4661704445
"beta_0_centered[103]",3.463187214
"beta_0_centered[104]",3.46513382895
"beta_0_centered[105]",3.453323573
"beta_0_centered[106]",3.449815873
"beta_0_centered[107]",3.458077812
"beta_0_centered[108]",3.45280385635
"beta_0_centered[109]",3.4596059
"beta_0_centered[110]",3.4443595085
"beta_0_centered[111]",3.46930973
"beta_0_centered[112]",3.457299415
"beta_0_centered[113]",3.4546405515
"beta_0_centered[114]",3.4498176268
"beta_0_centered[115]",3.4599892105
"beta_0_centered[116]",3.4599378255
"beta_0_centered[117]",3.457468926
"beta_0_centered[118]",3.4578955808
"beta_0_centered[119]",3.4570816405
"beta_0_centered[120]",3.45464858885
"beta_0_centered[121]",3.4850457204
