"","site_year.site_year","site_year.idx","site_year_effect"
"site_year_effect_train_scaled_centered[1]","BA_black 2022",1,0.21825276
"site_year_effect_train_scaled_centered[2]","BA_white 2022",2,-1.2381621
"site_year_effect_train_scaled_centered[3]","CaseAoyamaS1 2022",3,-0.93622032
"site_year_effect_train_scaled_centered[4]","CastValley 2021",4,-0.42581369
"site_year_effect_train_scaled_centered[5]","CH_black 2022",5,-0.174474465
"site_year_effect_train_scaled_centered[6]","CH_black 2023",6,0.029888682
"site_year_effect_train_scaled_centered[7]","CH_white 2022",7,1.4135627
"site_year_effect_train_scaled_centered[8]","CH_white 2023",8,0.77266188
"site_year_effect_train_scaled_centered[9]","dino 2024",9,2.2377366
"site_year_effect_train_scaled_centered[10]","EnsingS1 SuRDC 2022",10,2.1975416
"site_year_effect_train_scaled_centered[11]","EnsingS2 Summerland-Princeton 2022",11,2.87952815
"site_year_effect_train_scaled_centered[12]","FAR NORTH CPER 2023",12,-1.1784303
"site_year_effect_train_scaled_centered[13]","FtK_Cottonwood_Coulee 2021",13,-1.34857275
"site_year_effect_train_scaled_centered[14]","GreenCanyon 2022",14,0.60812549
"site_year_effect_train_scaled_centered[15]","MPG_IR 2021",15,-0.53192095
"site_year_effect_train_scaled_centered[16]","MPG_IR 2022",16,-1.78105995
"site_year_effect_train_scaled_centered[17]","MPG_SR 2021",17,-0.71395075
"site_year_effect_train_scaled_centered[18]","MPG_SR 2022",18,-1.1276305
"site_year_effect_train_scaled_centered[19]","MPG_TH 2021",19,-0.343475845
"site_year_effect_train_scaled_centered[20]","NEAR 4WAY CPER 2023",20,-1.1325042
"site_year_effect_train_scaled_centered[21]","Peavine 2022",21,2.78600085
"site_year_effect_train_scaled_centered[22]","Peavine 2024",22,3.4820132
"site_year_effect_train_scaled_centered[23]","Plymouth 2022",23,-0.745413645
"site_year_effect_train_scaled_centered[24]","PMR- Pine 2022",24,-4.01574555
"site_year_effect_train_scaled_centered[25]","RedBluff 2023",25,3.4303408
"site_year_effect_train_scaled_centered[26]","SouthEden 2022",26,1.80397625
"site_year_effect_train_scaled_centered[27]","SS_black 2022",27,1.3419535
"site_year_effect_train_scaled_centered[28]","SS_black 2023",28,-1.09577905
"site_year_effect_train_scaled_centered[29]","SS_white 2022",29,1.15905135
"site_year_effect_train_scaled_centered[30]","SS_white 2023",30,-0.3164032
"site_year_effect_train_scaled_centered[31]","SSHigh 2023",31,-1.80211275
"site_year_effect_train_scaled_centered[32]","SSHigh 2024",32,-0.921523985
"site_year_effect_train_scaled_centered[33]","SSHQ 2022",33,2.1716419
"site_year_effect_train_scaled_centered[34]","SSHQ 2023",34,-1.43963275
"site_year_effect_train_scaled_centered[35]","SSHQ 2024",35,0.252925275
"site_year_effect_train_scaled_centered[36]","Symstad1 2022",36,-0.19500974
"site_year_effect_train_scaled_centered[37]","TB LC Control 2023",37,-1.73787035
"site_year_effect_train_scaled_centered[38]","TB PRAIRIE DOG 2022",38,-3.15249295
"site_year_effect_train_scaled_centered[39]","WI_black 2022",39,0.15954839
"site_year_effect_train_scaled_centered[40]","WI_black 2023",40,-0.17270434
"site_year_effect_train_scaled_centered[41]","WI_white 2022",41,-0.084320173
"site_year_effect_train_scaled_centered[42]","WI_white 2023",42,-0.72055582
