"site_code","lon","lat"
"AAFC04",-120.65,50.08
"AAFC05",-120.45,50.09
"AAFC06",-120.75,50.09
"AAFC08",-120.55,49.57
"AAFC09",-119.8,49.62
"AAFC10",-120.05,49.71
"Blumenthal01",-104.9,41.18
"Adler05",-111.87,40.79
"Schupp02",-112.46,40.2
"Schupp01",-112.15,39.85
"Adler13",-111.08,41.44
"Adler16",-110.2,41.78
"Adler17",-110.11,41.44
"Adler18",-114.22,40.86
"Barnett01",-110.74,43.48
"Baughman3",-118.96,42.81
"Baughman2",-118.87,43.05
"Blumenthal08",-104.56,40.64
"Symstad6",-103.71,41.83
"Chynoweth01",-109.5635,39.76604
"Board1",-117.57,38.84
"Bradford01",-111.62,35.23
"Chambers01",-119.58,39.55
"Chambers02",-118.76,39.95
"Urza1",-119.34,40.35
"Chambers04",-117.63,41.31
"Chambers05",-117.75,41.54
"Chambers06",-117.78,41.54
"Chambers07",-116.19,43.94
"Chambers08",-114.57,42.24
"Chambers09",-116.73,40.66
"Copeland01",-117.33,43.7
"Copeland05",-118.71,42.27
"Copeland09",-119.68,43.47
"Downs01",-119.430272,46.38145
"Downs02",-119.53334,46.25045
"Downs03",-120.3671,45.9663
"Fleishman_01",-119.49,38.47
"Fleishman_05",-117.27,39.12
"Fleishman_07",-117.44,39.17
"Getts1",-120.5,41.17
"Getts3",-120.67,40.43
"Holdrege1",-111.57,41.61
"Hufft1",-108.3286,38.6701
"Hufft2",-105.102111,39.547444
"JackieOtt1",-102.97,43.65
"JackieOtt2",-102.32,43.71
"JackieOtt5",-102.61,43.78
"JackieOtt6",-101.94,43.84
"JackieOtt7",-101.94,43.82
"Lavin01",-109.07,44.68
"Lavin02",-111.03,45.67
"Lee1",-116.0163889,36.82340833
"Lee2",-115.7845,35.3984
"Lee3",-115.8987,36.5247
"Lee4",-115.52,35.4564
"Leger 1",-119.84,39.49
"Maron1",-114.03,46.68
"Maron2",-113.23,46.64
"Porensky1",-105.18,43.24
"Porensky17",-105.13,43.34
"Porensky12",-105.1,43.55
"Porensky30",-105.27,40.63
"Pyke3",-120.1924183,44.60456358
"Pyke8",-119.361636,46.74830998
"Pyke21",-119.6830115,47.61803776
"Pyke1",-120.1941407,44.60203143
"Pyke9",-119.3603411,46.74833678
"Pyke10",-119.3672737,46.74878715
"Pyke15",-119.3533784,46.74869655
"Pyke17",-119.3504083,46.74994569
"Pyke19",-119.3487202,46.75087139
"Reed01",-109.47,38.52
"Reed03",-109.79,38.75
"Schupp03",-113.79,38.6
"Schupp04",-113.55,38.52
"Schupp05",-112.74,39.11
"Symstad1",-104.71,44.59
"Symstad2",-103.46,43.87
"Symstad3",-103.47,43.62
"Symstad4",-102.58,43.71
"Urza2",-119.56,40.84
"Wilcox02",-105.66,41.31
"Chynoweth02",-109.68361,40.29092
"Chynoweth03",-109.61202,39.83576
"Chynoweth05",-109.438229,40.480805
"Chynoweth07",-109.523564,40.533605
"Chynoweth08",-109.48689,40.640878
"Shriver02",-114.04,48
"Davies03",-118.68,42.68
"Germino BOP 01",-116.2338306,43.4720833
"Blumenthal10",-102.52,40.92
