"label","id","bdodQ05","bdodQ50","bdodQ95","bdodmean","bdoduncertainty","cecQ05","cecQ50","cecQ95","cecmean","cecuncertainty","cfvoQ05","cfvoQ50","cfvoQ95","cfvomean","cfvouncertainty","clayQ05","clayQ50","clayQ95","claymean","clayuncertainty","nitrogenQ05","nitrogenQ50","nitrogenQ95","nitrogenmean","nitrogenuncertainty","phh2oQ05","phh2oQ50","phh2oQ95","phh2omean","phh2ouncertainty","sandQ05","sandQ50","sandQ95","sandmean","sanduncertainty","siltQ05","siltQ50","siltQ95","siltmean","siltuncertainty","socQ05","socQ50","socQ95","socmean","socuncertainty","ocdQ05","ocdQ50","ocdQ95","ocdmean","ocduncertainty","wv0010Q05","wv0010Q50","wv0010Q95","wv0010mean","wv0010uncertainty","wv0033Q05","wv0033Q50","wv0033Q95","wv0033mean","wv0033uncertainty","wv1500Q05","wv1500Q50","wv1500Q95","wv1500mean","wv1500uncertainty","hzdept","hzdepb","hzID"
"0-5","GoeblS1",1,1.39,1.72,1.36,0.5,4.7,17.4,37.5,18.1,1.9,0,1,41.3,7.5,41.3,1.3,17,61.7,22.7,3.6,0.45,1.96,8.3,2.44,4,4.6,7.2,8.3,6.9,0.5,11.1,48.6,79.9,46.1,1.4,6.2,27.2,79.1,31.2,2.7,4,17.9,37.9,18.6,1.9,9.2,26,63.8,30,2.1,19.2,37.7,47.7,36,0.8,12.8,31,41.6,29.5,0.9,4.2,12.7,26.3,13.6,1.7,0,5,"1"
"5-15","GoeblS1",1.1,1.54,1.75,1.48,0.4,4,14.9,36.1,17.5,2.2,0,1,47.2,8,47.3,1.4,17.2,61.3,23.3,3.5,0.48,1.2,3.25,1.53,2.3,5,7.2,8.4,7.1,0.5,11.7,48.9,79.9,46.4,1.4,5.9,26.6,77.9,30.3,2.7,5,12.6,33.1,15.7,2.2,8.8,18.5,39.7,21.1,1.7,19.2,36.1,46.2,34.7,0.7,13.3,31.4,41,29.7,0.9,3.9,13.6,26.3,13.8,1.6,5,15,"2"
"15-30","GoeblS1",1.1,1.54,1.81,1.5,0.5,3.9,16.4,37.5,18.3,2,0,1,55,8.1,55.1,2,26.9,69.1,30.6,2.5,0.31,1.11,2.55,1.15,2,4.9,7.2,8.6,7.1,0.5,9.2,37.1,78.8,42,1.9,3.6,22.4,74.5,27.4,3.2,2.5,10.5,22.2,10.6,1.9,3.6,14.7,28.6,14.4,1.7,18.6,37,44.1,34.6,0.7,13.3,32.8,41.1,30.4,0.8,4.5,16.6,28.9,16.3,1.5,15,30,"3"
"30-60","GoeblS1",1.27,1.72,1.88,1.65,0.4,3.6,16.1,34.8,17.6,1.9,0,1,53,8,53.1,2.1,27.9,69.6,30.9,2.4,0.19,0.65,1.76,0.76,2.4,5.6,7.8,8.7,7.6,0.4,11,36.3,75.6,40.5,1.8,4.1,24,75.8,28.6,3,1,5.1,15.8,6.3,2.9,3.5,9,18.6,10,1.7,19.1,37,43.6,34.7,0.7,13.1,32.5,40.3,29.9,0.8,4.9,18.3,31,17.9,1.4,30,60,"4"
"60-100","GoeblS1",1.32,1.73,1.89,1.65,0.3,3.3,17.4,36,17.7,1.9,0,1,55,8.7,55.1,2.2,29.1,62.7,29.9,2.1,0.07,0.44,1.5,0.64,3.3,5.5,8,8.7,7.7,0.4,10.3,36.5,76.1,40.5,1.8,4.1,25.4,77.8,29.6,2.9,0.5,3.2,14,4.4,4.2,2.1,5.8,13.1,6.1,1.9,19.1,37,43.6,34.8,0.7,13.1,32.2,40.2,29.5,0.8,4.9,18.1,30.5,17.6,1.4,60,100,"5"
"100-200","GoeblS1",1.3,1.72,1.88,1.65,0.3,3,16.8,36,17.5,2,0,1,57.1,9.5,57.1,1.2,24.9,69.8,28.7,2.8,0,0.37,1.14,0.5,3.1,5.9,8,8.6,7.8,0.3,9.8,35.8,78.8,39.2,1.9,2.9,26,77.4,32.1,2.9,0.2,1.5,5.8,2.6,3.7,1.1,4,8.8,4.7,1.9,13,36.7,43.6,33.6,0.8,12.7,32,40.9,29.2,0.9,4.5,18,30.4,17.1,1.4,100,200,"6"
"0-5","RedBluff",0.74,1.34,1.63,1.29,0.7,8.5,18.2,45.8,21.8,2,0,5,50.3,12,10.1,3.3,23.4,71,27.9,2.9,0.86,3.13,16.47,5.13,5,5.3,7.1,8.2,6.9,0.4,5.7,29,67.8,32.9,2.1,4,35.6,83.4,39.3,2.2,8.7,28.7,129,44,4.2,12.6,34.8,73.6,35.1,1.8,25.9,39.9,47.9,38.9,0.6,17,33.6,42.5,31.9,0.8,8.3,16.9,31.4,18.2,1.4,0,5,"7"
"5-15","RedBluff",0.98,1.46,1.8,1.43,0.6,8.5,20.6,44.9,22.2,1.8,0,5,56.1,12.6,11.2,3.2,24.3,71.4,29,2.8,0.55,1.71,6.02,2.52,3.2,5.2,7.2,8.2,7.1,0.4,5.7,28.3,68.3,32.6,2.2,4,33.8,83.3,38.3,2.3,6.8,18.8,64.1,28,3,9.3,20.4,47.9,26.5,1.9,26.2,39.2,47.9,38.5,0.6,17.2,33,42.1,31.6,0.8,7.3,17.1,31.3,18.2,1.4,5,15,"8"
"15-30","RedBluff",1,1.52,1.82,1.48,0.5,7.5,19.8,46.2,22.4,2,0,5,58,12.8,11.6,2.5,23.8,71.4,28.8,2.9,0.4,1.14,3.66,1.65,2.9,5.2,7.4,8.4,7.2,0.4,5.4,28,68.4,32.5,2.3,4,35.2,85.2,38.7,2.3,4.5,11,49.8,19.5,4.1,6.8,16.6,59.9,21.5,3.2,23.9,38.9,47.7,37.9,0.6,19.9,33.7,42,32.5,0.7,8.2,19,32.5,19.9,1.3,15,30,"9"
"30-60","RedBluff",1.12,1.53,1.83,1.51,0.5,7.3,16.4,52.3,21,2.7,0,5.5,60,15.6,10.9,1.6,21.7,71.2,27.2,3.2,0.25,0.82,2.52,1.42,2.8,5,8,8.8,7.6,0.5,6.1,28.3,75.9,33.4,2.5,3.9,37.9,85.2,39.4,2.1,1.9,6.7,22,11.7,3,3.2,9.5,35.2,12.9,3.4,24,38.1,47,37.1,0.6,19.4,33.5,41.1,32,0.6,6.6,15.9,31.3,17.1,1.6,30,60,"10"
